relative_path	bytes
CONTENTS.md	966
GPT_WEB_Q1研究交接说明_20260925.md	11191
README_UPLOAD_FIRST.md	1204
configs/alignment_review.csv	39919
configs/q1.yaml	1491
configs/q1_review_experiment.yaml	3250
configs/target_face_segments.csv	62
core_code/README_CODE_INDEX.md	1587
core_code/scripts/build_review_risk.py	689
core_code/scripts/evaluate_review_results.py	956
core_code/scripts/lock_review_submissions.py	2950
core_code/scripts/review_annotation_workflow.py	4240
core_code/scripts/review_workflow.py	2251
core_code/src/quality.py	7921
core_code/src/review_annotations.py	33519
core_code/src/review_evaluation.py	6933
core_code/src/review_experiment.py	27579
core_code/src/review_risk.py	5668
core_code/src/runner.py	59681
data_summaries/alignment_issues.csv	62548
data_summaries/anchor_sample_selection.csv	2334
data_summaries/annotation_manifest.json	1076
data_summaries/quality_analysis_table.csv	13177
data_summaries/review_progress.json	1122
data_summaries/reviewer_anchors_schema.csv	76
data_summaries/reviewer_segments_schema.csv	92
data_summaries/reviewer_summary_schema.csv	306
data_summaries/risk_ranking_ctc_only.csv	12922
data_summaries/talknet_download_status.json	750
data_summaries/validation.json	4063
metadata/SOURCE_REVISION	41
metadata/download-record.json	363
metadata/pyproject.toml	238
operations/Q1双盲审核与辅助诊断操作指南.md	8061
operations/Q1多片段与锚点词审核执行清单.md	6369
operations/服务器运行指南.md	13167
reports/FINAL_ACCEPTANCE.md	6384
reports/Q1下一阶段实验实施报告.md	5854
reports/Q1待解决问题报告.md	12221
reports/Q1数据质量策略实施记录.md	7380
reports/实验结果报告.md	16128
tests/test_pipeline_state.py	8499
tests/test_review_annotations.py	6115
tests/test_review_evaluation.py	631
tests/test_review_experiment.py	2465
tests/test_review_risk.py	498
tests/test_review_workflow_integration.py	4057
