sample_id,video_id,selection_group,risk_quintile,risk_score,existing_ctc_alert
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,existing_text_alert,,0.76262626,true
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,existing_text_alert,,0.57575758,true
-NFrJFQijFE$_$1,-NFrJFQijFE,existing_text_alert,,0.90909091,true
-NFrJFQijFE$_$2,-NFrJFQijFE,existing_text_alert,,0.89393939,true
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,existing_text_alert,,0.83333333,true
-hnBHBN8p5A$_$6,-hnBHBN8p5A,existing_text_alert,,0.81313131,true
-hnBHBN8p5A$_$7,-hnBHBN8p5A,existing_text_alert,,0.90909091,true
-iRBcNs9oI8$_$3,-iRBcNs9oI8,existing_text_alert,,0.88888889,true
-iRBcNs9oI8$_$6,-iRBcNs9oI8,existing_text_alert,,0.95202020,true
-iRBcNs9oI8$_$7,-iRBcNs9oI8,existing_text_alert,,0.92929293,true
-iRBcNs9oI8$_$8,-iRBcNs9oI8,existing_text_alert,,0.91919192,true
-iRBcNs9oI8$_$9,-iRBcNs9oI8,existing_text_alert,,0.60101010,true
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,existing_text_alert,,0.91919192,true
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,existing_text_alert,,0.91414141,true
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,existing_text_alert,,0.94191919,true
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,existing_text_alert,,0.90909091,true
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,existing_text_alert,,0.91919192,true
-ri04Z7vwnc$_$0,-ri04Z7vwnc,existing_text_alert,,0.83838384,true
-ri04Z7vwnc$_$2,-ri04Z7vwnc,existing_text_alert,,0.86616162,true
-ri04Z7vwnc$_$5,-ri04Z7vwnc,existing_text_alert,,0.94696970,true
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,existing_text_alert,,0.86868687,true
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,existing_text_alert,,0.93939394,true
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,existing_text_alert,,0.89898990,true
-MeTTeMJBNc$_$13,-MeTTeMJBNc,clean_stratified_control,1,0.22727273,false
-egA8-b7-3M$_$20,-egA8-b7-3M,clean_stratified_control,1,0.19696970,false
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,clean_stratified_control,2,0.29292929,false
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,clean_stratified_control,2,0.32828283,false
-THoVjtIkeU$_$2,-THoVjtIkeU,clean_stratified_control,3,0.35606061,false
-tPCytz4rww$_$12,-tPCytz4rww,clean_stratified_control,3,0.39898990,false
-UacrmKiTn4$_$4,-UacrmKiTn4,clean_stratified_control,4,0.46464646,false
-aNfi7CP8vM$_$7,-aNfi7CP8vM,clean_stratified_control,4,0.47474747,false
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,clean_stratified_control,5,0.51515152,false
-qDkUB0GgYY$_$6,-qDkUB0GgYY,clean_stratified_control,5,0.55050505,false
