sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage,conflict_cause,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction
-3g5yACwYnA$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,15,1.0,0.2525345982142859,0.1787979910714288,0.22719456845238106,0.35742767857142854,0.8120565476190474,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,4.25,1.25,0,0.7727272727272727
-3g5yACwYnA$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.26155139372822367,0.2077325783972137,0.22993592116724826,0.4262716735627179,0.6633266550522654,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,3.5,5.866666666666667,0,0.3736654804270462
-3g5yACwYnA$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,29,1.0,0.19737989373601783,0.1386382829977606,0.20741722595078027,0.350187765659954,0.5558250838926169,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.8666666666666671,12.5,0,0.12993039443155455
-3g5yACwYnA$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,1.0,0.26357541512915095,0.19219557195571912,0.24043150369003596,0.38380846402214,0.9527802121771209,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,5.0,3.75,0.049999999999998934,0.5681818181818182
-3nNcZdcdvU$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.287222623966942,0.21011647727272686,0.24530126549586706,0.35982102272727257,0.6596420454545449,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,4.25,3.6166666666666663,0,0.5402542372881356
-571d8cVauQ$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2657606854838712,0.23296754032258082,0.2636165322580648,0.283665433467742,0.47270362903225815,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,0.5,4.666666666666666,0,0.09677419354838711
-571d8cVauQ$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,43,1.0,0.30783200636942687,0.24890684713375855,0.2571583067940564,0.4251429670912965,0.6639527600849267,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,15.266666666666666,0,0.0
-6rXp3zJ3kc$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,34,1.0,0.26099244332493843,0.16684760705289714,0.22052518891687695,0.351202015113351,1.0133047858942081,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,12.25,0.5499999999999989,0,0.9570312500000001
-9y-fZ3swSY$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,0.9545454545454546,0.3202357142857144,0.2498452380952383,0.28057857142857223,0.3903428571428569,0.6019666666666663,0.9545454545454546,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,6.8999999999999995,0,0.0
-9y-fZ3swSY$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.2697877286585366,0.20639519817073193,0.219048018292683,0.3221965701219513,0.548847179878049,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,2.75,0,0.04999999999999982,0.9821428571428572
