group,sample_count,midpoint_median_max_s,midpoint_p90_max_s,is_primary_threshold,verified,partial,failed,not_applicable
all100,100,0.2,0.4,0,9,72,0,19
all100,100,0.2,0.6,0,9,72,0,19
all100,100,0.2,0.8,0,9,72,0,19
all100,100,0.3,0.4,0,55,26,0,19
all100,100,0.3,0.6,1,71,10,0,19
all100,100,0.3,0.8,0,71,10,0,19
all100,100,0.4,0.4,0,55,26,0,19
all100,100,0.4,0.6,0,76,5,0,19
all100,100,0.4,0.8,0,76,5,0,19
original_23_ta_risk,23,0.2,0.4,0,0,5,0,18
original_23_ta_risk,23,0.2,0.6,0,0,5,0,18
original_23_ta_risk,23,0.2,0.8,0,0,5,0,18
original_23_ta_risk,23,0.3,0.4,0,1,4,0,18
original_23_ta_risk,23,0.3,0.6,1,1,4,0,18
original_23_ta_risk,23,0.3,0.8,0,1,4,0,18
original_23_ta_risk,23,0.4,0.4,0,1,4,0,18
original_23_ta_risk,23,0.4,0.6,0,1,4,0,18
original_23_ta_risk,23,0.4,0.8,0,1,4,0,18
