group,sample_count,version,text_observed_fraction,audio_observed_fraction,vision_observed_fraction,trimodal_observed_fraction,text_coverage_mean,audio_coverage_mean,vision_coverage_mean
all100,100,formal,0.6256,0.995,0.5746,0.3906,0.588512158203125,0.9856662109375,0.476901318359375
all100,100,repair_candidate,0.6256,0.7828,0.701,0.4916,0.588512158203125,0.756925,0.576671142578125
original_49_normal,49,formal,0.8057142857142857,0.9938775510204082,0.9828571428571429,0.7971428571428572,0.7534703344228316,0.9846659757653061,0.8115303631218113
original_49_normal,49,repair_candidate,0.8057142857142857,0.9469387755102041,0.9828571428571429,0.7665306122448979,0.7534703344228316,0.9133035714285714,0.8115303631218113
original_51_isolated,51,formal,0.45254901960784316,0.996078431372549,0.18235294117647058,0.0,0.43002293007046566,0.9866272212009803,0.15539498123468137
original_51_isolated,51,repair_candidate,0.45254901960784316,0.6250980392156863,0.43019607843137253,0.22745098039215686,0.43002293007046566,0.6066789215686275,0.3510220875459559
original_19_semantic_conflict,19,formal,0.0,0.9989473684210526,0.38421052631578945,0.0,0.0,0.9899439761513158,0.33003109580592105
original_19_semantic_conflict,19,repair_candidate,0.0,0.0431578947368421,0.391578947368421,0.0,0.0,0.0364636913098787,0.3342949475740132
original_37_visual_risk,37,formal,0.6237837837837837,0.9951351351351352,0.0,0.0,0.5927342430320945,0.9854490867820946,0.0
original_37_visual_risk,37,repair_candidate,0.6237837837837837,0.8254054054054054,0.34162162162162163,0.31351351351351353,0.5927342430320945,0.8068507179054054,0.2696481900601774
