sample_id,video_id,true_pair_rank,true_pair_score,top1_sample_id,top1_video_id,top1_score,top1_minus_true_margin,top5
-3g5yACwYnA$_$13,-3g5yACwYnA,1,0.8997509339975094,-3g5yACwYnA$_$13,-3g5yACwYnA,0.8997509339975094,0.0,"[{""sample_id"":""-3g5yACwYnA$_$13"",""score"":0.8997509339975094},{""sample_id"":""-s9qJ7ATP7w$_$1"",""score"":0.24957264957264957},{""sample_id"":""-UacrmKiTn4$_$4"",""score"":0.22652519893899206},{""sample_id"":""-tPCytz4rww$_$16"",""score"":0.22634271099744244},{""sample_id"":""-wny0OAz3g8$_$3"",""score"":0.2248427672955975}]"
-3g5yACwYnA$_$2,-3g5yACwYnA,1,0.9210302256279268,-3g5yACwYnA$_$2,-3g5yACwYnA,0.9210302256279268,0.0,"[{""sample_id"":""-3g5yACwYnA$_$2"",""score"":0.9210302256279268},{""sample_id"":""-3g5yACwYnA$_$3"",""score"":0.3057648214870619},{""sample_id"":""-mJ2ud6oKI8$_$6"",""score"":0.2419974391805378},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.2399770904925544},{""sample_id"":""-hnBHBN8p5A$_$6"",""score"":0.23082942097026604}]"
-3g5yACwYnA$_$3,-3g5yACwYnA,1,1.0,-3g5yACwYnA$_$3,-3g5yACwYnA,1.0,0.0,"[{""sample_id"":""-3g5yACwYnA$_$3"",""score"":1.0},{""sample_id"":""-3g5yACwYnA$_$2"",""score"":0.31562099871959026},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.27105771886219276},{""sample_id"":""-s9qJ7ATP7w$_$7"",""score"":0.2566098344452681},{""sample_id"":""-3g5yACwYnA$_$9"",""score"":0.25622968580715055}]"
-3g5yACwYnA$_$9,-3g5yACwYnA,1,1.0,-3g5yACwYnA$_$9,-3g5yACwYnA,1.0,0.0,"[{""sample_id"":""-3g5yACwYnA$_$9"",""score"":1.0},{""sample_id"":""-3g5yACwYnA$_$3"",""score"":0.25622968580715055},{""sample_id"":""-I_e4mIh0yE$_$1"",""score"":0.20474967907573816},{""sample_id"":""-s9qJ7ATP7w$_$4"",""score"":0.20175438596491227},{""sample_id"":""-UacrmKiTn4$_$10"",""score"":0.1969604243166055}]"
-3nNcZdcdvU$_$5,-3nNcZdcdvU,1,0.9549808429118773,-3nNcZdcdvU$_$5,-3nNcZdcdvU,0.9549808429118773,0.0,"[{""sample_id"":""-3nNcZdcdvU$_$5"",""score"":0.9549808429118773},{""sample_id"":""-I_e4mIh0yE$_$1"",""score"":0.27713178294573637},{""sample_id"":""-s9qJ7ATP7w$_$1"",""score"":0.26124031007751936},{""sample_id"":""-iRBcNs9oI8$_$7"",""score"":0.25421010425020046},{""sample_id"":""-egA8-b7-3M$_$20"",""score"":0.23623011015911874}]"
-571d8cVauQ$_$0,-571d8cVauQ,1,0.9498587570621468,-571d8cVauQ$_$0,-571d8cVauQ,0.9498587570621468,0.0,"[{""sample_id"":""-571d8cVauQ$_$0"",""score"":0.9498587570621468},{""sample_id"":""-yRb-Jum7EQ$_$6"",""score"":0.21956521739130433},{""sample_id"":""-egA8-b7-3M$_$16"",""score"":0.21772575250836118},{""sample_id"":""-NFrJFQijFE$_$2"",""score"":0.20540758676351895},{""sample_id"":""-MeTTeMJBNc$_$0"",""score"":0.19729206963249515}]"
-571d8cVauQ$_$5,-571d8cVauQ,1,0.9256410256410256,-571d8cVauQ$_$5,-571d8cVauQ,0.9256410256410256,0.0,"[{""sample_id"":""-571d8cVauQ$_$5"",""score"":0.9256410256410256},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.24738631534211647},{""sample_id"":""-tPCytz4rww$_$16"",""score"":0.2395294956335769},{""sample_id"":""-a55Q6RWvTA$_$3"",""score"":0.23897370653095845},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.2298956414978514}]"
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,1,0.9371819960861056,-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0.9371819960861056,0.0,"[{""sample_id"":""-6rXp3zJ3kc$_$8"",""score"":0.9371819960861056},{""sample_id"":""-s9qJ7ATP7w$_$0"",""score"":0.27510141987829617},{""sample_id"":""-ri04Z7vwnc$_$5"",""score"":0.2551150895140665},{""sample_id"":""-a55Q6RWvTA$_$3"",""score"":0.24525792273883879},{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.2340455049944506}]"
-9y-fZ3swSY$_$0,-9y-fZ3swSY,1,0.7473469387755102,-9y-fZ3swSY$_$0,-9y-fZ3swSY,0.7473469387755102,0.0,"[{""sample_id"":""-9y-fZ3swSY$_$0"",""score"":0.7473469387755102},{""sample_id"":""-wMB_hJL-3o$_$7"",""score"":0.26405228758169935},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.24250325945241197},{""sample_id"":""-UacrmKiTn4$_$4"",""score"":0.23239687055476532},{""sample_id"":""-egA8-b7-3M$_$13"",""score"":0.22639318885448914}]"
-9y-fZ3swSY$_$4,-9y-fZ3swSY,1,0.9010526315789473,-9y-fZ3swSY$_$4,-9y-fZ3swSY,0.9010526315789473,0.0,"[{""sample_id"":""-9y-fZ3swSY$_$4"",""score"":0.9010526315789473},{""sample_id"":""-s9qJ7ATP7w$_$1"",""score"":0.22356215213358066},{""sample_id"":""-I_e4mIh0yE$_$1"",""score"":0.21964285714285714},{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.20479962721342032},{""sample_id"":""-s9qJ7ATP7w$_$0"",""score"":0.19411764705882356}]"
-9y-fZ3swSY$_$8,-9y-fZ3swSY,1,0.9286363636363636,-9y-fZ3swSY$_$8,-9y-fZ3swSY,0.9286363636363636,0.0,"[{""sample_id"":""-9y-fZ3swSY$_$8"",""score"":0.9286363636363636},{""sample_id"":""-egA8-b7-3M$_$20"",""score"":0.26190476190476186},{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.26013513513513514},{""sample_id"":""-mJ2ud6oKI8$_$6"",""score"":0.24640088593576964},{""sample_id"":""-tPCytz4rww$_$18"",""score"":0.23529411764705885}]"
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,1,0.9427301968053208,-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0.9427301968053208,0.0,"[{""sample_id"":""-AUZQgSxyPQ$_$2"",""score"":0.9427301968053208},{""sample_id"":""-yRb-Jum7EQ$_$1"",""score"":0.21348196812971768},{""sample_id"":""-wny0OAz3g8$_$7"",""score"":0.20783410138248848},{""sample_id"":""-dxfTGcXJoc$_$2"",""score"":0.19290322580645164},{""sample_id"":""-dxfTGcXJoc$_$1"",""score"":0.18621700879765393}]"
-HeZS2-Prhc$_$2,-HeZS2-Prhc,1,0.8638095238095238,-HeZS2-Prhc$_$2,-HeZS2-Prhc,0.8638095238095238,0.0,"[{""sample_id"":""-HeZS2-Prhc$_$2"",""score"":0.8638095238095238},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.23026315789473684},{""sample_id"":""-MeTTeMJBNc$_$13"",""score"":0.22568973315241975},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.21866521975040693},{""sample_id"":""-lzEya4AM_4$_$6"",""score"":0.21118308249190323}]"
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,89,0.06944444444444442,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0.484375,0.4149305555555556,"[{""sample_id"":""-HwX2H8Z4hY$_$5"",""score"":0.484375},{""sample_id"":""-UacrmKiTn4$_$4"",""score"":0.20279146141215104},{""sample_id"":""-9y-fZ3swSY$_$4"",""score"":0.1875},{""sample_id"":""-egA8-b7-3M$_$26"",""score"":0.1872455902306649},{""sample_id"":""-3g5yACwYnA$_$13"",""score"":0.1827397260273973}]"
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1,1.0,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1.0,0.0,"[{""sample_id"":""-HwX2H8Z4hY$_$5"",""score"":1.0},{""sample_id"":""-wny0OAz3g8$_$9"",""score"":0.21329541414859582},{""sample_id"":""-I_e4mIh0yE$_$3"",""score"":0.19874213836477989},{""sample_id"":""-yRb-Jum7EQ$_$6"",""score"":0.1936392914653784},{""sample_id"":""-MeTTeMJBNc$_$0"",""score"":0.18368794326241134}]"
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,1,0.8885714285714286,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0.8885714285714286,0.0,"[{""sample_id"":""-HwX2H8Z4hY$_$6"",""score"":0.8885714285714286},{""sample_id"":""-UuX1xuaiiE$_$0"",""score"":0.19761904761904758},{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.18503118503118504},{""sample_id"":""-iRBcNs9oI8$_$7"",""score"":0.17777777777777778},{""sample_id"":""-vxjVxOeScU$_$4"",""score"":0.1714285714285714}]"
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,1,0.9679639297579496,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0.9679639297579496,0.0,"[{""sample_id"":""-HwX2H8Z4hY$_$9"",""score"":0.9679639297579496},{""sample_id"":""-wMB_hJL-3o$_$7"",""score"":0.24628942486085342},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.23330241187384043},{""sample_id"":""-HeZS2-Prhc$_$2"",""score"":0.23021403683424588},{""sample_id"":""-dxfTGcXJoc$_$6"",""score"":0.226875}]"
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,1.0,-I_e4mIh0yE$_$1,-I_e4mIh0yE,1.0,0.0,"[{""sample_id"":""-I_e4mIh0yE$_$1"",""score"":1.0},{""sample_id"":""-s9qJ7ATP7w$_$1"",""score"":0.29791666666666666},{""sample_id"":""-3nNcZdcdvU$_$5"",""score"":0.27586206896551724},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.2547782185358817},{""sample_id"":""-yRb-Jum7EQ$_$6"",""score"":0.2361111111111111}]"
-I_e4mIh0yE$_$3,-I_e4mIh0yE,1,0.9279715762273901,-I_e4mIh0yE$_$3,-I_e4mIh0yE,0.9279715762273901,0.0,"[{""sample_id"":""-I_e4mIh0yE$_$3"",""score"":0.9279715762273901},{""sample_id"":""-wMB_hJL-3o$_$7"",""score"":0.28914141414141414},{""sample_id"":""-t217m2on-s$_$7"",""score"":0.25576662143826323},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.23905723905723905},{""sample_id"":""-egA8-b7-3M$_$20"",""score"":0.2347883597883598}]"
-MeTTeMJBNc$_$0,-MeTTeMJBNc,1,1.0,-MeTTeMJBNc$_$0,-MeTTeMJBNc,1.0,0.0,"[{""sample_id"":""-MeTTeMJBNc$_$0"",""score"":1.0},{""sample_id"":""-MeTTeMJBNc$_$13"",""score"":0.2544792833146697},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.2513559322033898},{""sample_id"":""-yRb-Jum7EQ$_$6"",""score"":0.21863066012002183},{""sample_id"":""-571d8cVauQ$_$5"",""score"":0.21063348416289593}]"
-MeTTeMJBNc$_$13,-MeTTeMJBNc,1,0.8620606644198363,-MeTTeMJBNc$_$13,-MeTTeMJBNc,0.8620606644198363,0.0,"[{""sample_id"":""-MeTTeMJBNc$_$13"",""score"":0.8620606644198363},{""sample_id"":""-egA8-b7-3M$_$20"",""score"":0.2799847211611918},{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.26986076986076984},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.2677548682703322},{""sample_id"":""-hnBHBN8p5A$_$6"",""score"":0.26421957671957674}]"
-MeTTeMJBNc$_$7,-MeTTeMJBNc,1,1.0,-MeTTeMJBNc$_$7,-MeTTeMJBNc,1.0,0.0,"[{""sample_id"":""-MeTTeMJBNc$_$7"",""score"":1.0},{""sample_id"":""-t217m2on-s$_$7"",""score"":0.2603668261562998},{""sample_id"":""-tANM6ETl_M$_$3"",""score"":0.2557091346153846},{""sample_id"":""-s9qJ7ATP7w$_$0"",""score"":0.25227272727272726},{""sample_id"":""-hnBHBN8p5A$_$7"",""score"":0.24869791666666666}]"
-NFrJFQijFE$_$1,-NFrJFQijFE,97,0.0,-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,0.28846153846153844,0.28846153846153844,"[{""sample_id"":""-mJ2ud6oKI8$_$6"",""score"":0.28846153846153844},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.23982637004883342},{""sample_id"":""-THoVjtIkeU$_$12"",""score"":0.2100624721106649},{""sample_id"":""-tPCytz4rww$_$10"",""score"":0.20897435897435895},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.2075329566854991}]"
-NFrJFQijFE$_$2,-NFrJFQijFE,77,0.12048192771084337,-tPCytz4rww$_$16,-tPCytz4rww,0.26164115923152065,0.14115923152067728,"[{""sample_id"":""-tPCytz4rww$_$16"",""score"":0.26164115923152065},{""sample_id"":""-3g5yACwYnA$_$3"",""score"":0.2579412646089302},{""sample_id"":""-s9qJ7ATP7w$_$7"",""score"":0.24947235120303923},{""sample_id"":""-egA8-b7-3M$_$26"",""score"":0.24151150054764509},{""sample_id"":""-mJ2ud6oKI8$_$8"",""score"":0.23532841041585698}]"
-RfYyzHpjk4$_$11,-RfYyzHpjk4,1,1.0,-RfYyzHpjk4$_$11,-RfYyzHpjk4,1.0,0.0,"[{""sample_id"":""-RfYyzHpjk4$_$11"",""score"":1.0},{""sample_id"":""-RfYyzHpjk4$_$8"",""score"":0.21742957746478875},{""sample_id"":""-wMB_hJL-3o$_$7"",""score"":0.20633484162895926},{""sample_id"":""-s9qJ7ATP7w$_$0"",""score"":0.20344332855093256},{""sample_id"":""-MeTTeMJBNc$_$7"",""score"":0.1953125}]"
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1,0.9638709677419355,-RfYyzHpjk4$_$2,-RfYyzHpjk4,0.9638709677419355,0.0,"[{""sample_id"":""-RfYyzHpjk4$_$2"",""score"":0.9638709677419355},{""sample_id"":""-tPCytz4rww$_$16"",""score"":0.2773704789833822},{""sample_id"":""-6rXp3zJ3kc$_$8"",""score"":0.24146642712777905},{""sample_id"":""-t217m2on-s$_$7"",""score"":0.24054834054834054},{""sample_id"":""-RfYyzHpjk4$_$8"",""score"":0.23602150537634406}]"
-RfYyzHpjk4$_$8,-RfYyzHpjk4,1,0.8343253968253967,-RfYyzHpjk4$_$8,-RfYyzHpjk4,0.8343253968253967,0.0,"[{""sample_id"":""-RfYyzHpjk4$_$8"",""score"":0.8343253968253967},{""sample_id"":""-RfYyzHpjk4$_$2"",""score"":0.26992753623188404},{""sample_id"":""-tPCytz4rww$_$16"",""score"":0.2475845410628019},{""sample_id"":""-I_e4mIh0yE$_$3"",""score"":0.23460774577954324},{""sample_id"":""-3g5yACwYnA$_$13"",""score"":0.22270058708414872}]"
-THoVjtIkeU$_$12,-THoVjtIkeU,1,0.9805194805194806,-THoVjtIkeU$_$12,-THoVjtIkeU,0.9805194805194806,0.0,"[{""sample_id"":""-THoVjtIkeU$_$12"",""score"":0.9805194805194806},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.2623444598064389},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.24415308291991497},{""sample_id"":""-a55Q6RWvTA$_$3"",""score"":0.22394304169113333},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.22052142998222396}]"
-THoVjtIkeU$_$2,-THoVjtIkeU,1,1.0,-THoVjtIkeU$_$2,-THoVjtIkeU,1.0,0.0,"[{""sample_id"":""-THoVjtIkeU$_$2"",""score"":1.0},{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.23413733159495873},{""sample_id"":""-s9qJ7ATP7w$_$6"",""score"":0.2308546059933407},{""sample_id"":""-ri04Z7vwnc$_$5"",""score"":0.20240137221269294},{""sample_id"":""-egA8-b7-3M$_$17"",""score"":0.17930660888407365}]"
-THoVjtIkeU$_$6,-THoVjtIkeU,1,0.9367611451360206,-THoVjtIkeU$_$6,-THoVjtIkeU,0.9367611451360206,0.0,"[{""sample_id"":""-THoVjtIkeU$_$6"",""score"":0.9367611451360206},{""sample_id"":""-qDkUB0GgYY$_$6"",""score"":0.28705882352941176},{""sample_id"":""-I_e4mIh0yE$_$1"",""score"":0.2718837535014006},{""sample_id"":""-iRBcNs9oI8$_$8"",""score"":0.26486748545572075},{""sample_id"":""-wMB_hJL-3o$_$7"",""score"":0.26486748545572075}]"
-UUCSKoHeMA$_$0,-UUCSKoHeMA,1,0.972972972972973,-UUCSKoHeMA$_$0,-UUCSKoHeMA,0.972972972972973,0.0,"[{""sample_id"":""-UUCSKoHeMA$_$0"",""score"":0.972972972972973},{""sample_id"":""-egA8-b7-3M$_$1"",""score"":0.2812046444121916},{""sample_id"":""-tPCytz4rww$_$18"",""score"":0.2597285067873303},{""sample_id"":""-UuX1xuaiiE$_$1"",""score"":0.2562146892655367},{""sample_id"":""-uywlfIYOS8$_$4"",""score"":0.24871134020618557}]"
-UacrmKiTn4$_$10,-UacrmKiTn4,1,0.9207430340557277,-UacrmKiTn4$_$10,-UacrmKiTn4,0.9207430340557277,0.0,"[{""sample_id"":""-UacrmKiTn4$_$10"",""score"":0.9207430340557277},{""sample_id"":""-UacrmKiTn4$_$4"",""score"":0.26973684210526316},{""sample_id"":""-aNfi7CP8vM$_$7"",""score"":0.2611111111111111},{""sample_id"":""-9y-fZ3swSY$_$0"",""score"":0.2266439909297052},{""sample_id"":""-mqbVkbCndg$_$0"",""score"":0.22532894736842107}]"
