sample_id,sample_index,status,transcript_source,word_count,timed_word_count,aligned_word_fraction,error_type,error
-3g5yACwYnA$_$13,0,ok,official_manifest_raw_text,15,15,1.0,,
-3g5yACwYnA$_$2,1,ok,official_manifest_raw_text,14,14,1.0,,
-3g5yACwYnA$_$3,2,ok,official_manifest_raw_text,29,29,1.0,,
-3g5yACwYnA$_$9,3,ok,official_manifest_raw_text,21,21,1.0,,
-3nNcZdcdvU$_$5,4,ok,official_manifest_raw_text,18,18,1.0,,
-571d8cVauQ$_$0,5,ok,official_manifest_raw_text,12,12,1.0,,
-571d8cVauQ$_$5,6,ok,official_manifest_raw_text,43,43,1.0,,
-6rXp3zJ3kc$_$8,7,ok,official_manifest_raw_text,34,34,1.0,,
-9y-fZ3swSY$_$0,8,ok,official_manifest_raw_text,22,22,1.0,,
-9y-fZ3swSY$_$4,9,ok,official_manifest_raw_text,9,9,1.0,,
-9y-fZ3swSY$_$8,10,ok,official_manifest_raw_text,12,12,1.0,,
-AUZQgSxyPQ$_$2,11,ok,official_manifest_raw_text,41,41,1.0,,
-HeZS2-Prhc$_$2,12,ok,official_manifest_raw_text,16,16,1.0,,
-HwX2H8Z4hY$_$2,13,ok,official_manifest_raw_text,8,8,1.0,,
-HwX2H8Z4hY$_$5,14,ok,official_manifest_raw_text,10,10,1.0,,
-HwX2H8Z4hY$_$6,15,ok,official_manifest_raw_text,7,7,1.0,,
-HwX2H8Z4hY$_$9,16,ok,official_manifest_raw_text,22,22,1.0,,
-I_e4mIh0yE$_$1,17,ok,official_manifest_raw_text,18,18,1.0,,
-I_e4mIh0yE$_$3,18,ok,official_manifest_raw_text,22,22,1.0,,
-MeTTeMJBNc$_$0,19,ok,official_manifest_raw_text,21,21,1.0,,
-MeTTeMJBNc$_$13,20,ok,official_manifest_raw_text,14,14,1.0,,
-MeTTeMJBNc$_$7,21,ok,official_manifest_raw_text,31,31,1.0,,
-NFrJFQijFE$_$1,22,ok,official_manifest_raw_text,16,16,1.0,,
-NFrJFQijFE$_$2,23,ok,official_manifest_raw_text,18,18,1.0,,
-RfYyzHpjk4$_$11,24,ok,official_manifest_raw_text,17,17,1.0,,
-RfYyzHpjk4$_$2,25,ok,official_manifest_raw_text,25,25,1.0,,
-RfYyzHpjk4$_$8,26,ok,official_manifest_raw_text,17,17,1.0,,
-THoVjtIkeU$_$12,27,ok,official_manifest_raw_text,39,39,1.0,,
-THoVjtIkeU$_$2,28,ok,official_manifest_raw_text,10,10,1.0,,
-THoVjtIkeU$_$6,29,ok,official_manifest_raw_text,30,30,1.0,,
-UUCSKoHeMA$_$0,30,ok,official_manifest_raw_text,18,18,1.0,,
-UacrmKiTn4$_$10,31,ok,official_manifest_raw_text,18,18,1.0,,
-UacrmKiTn4$_$4,32,ok,official_manifest_raw_text,14,14,1.0,,
-UuX1xuaiiE$_$0,33,ok,official_manifest_raw_text,9,9,1.0,,
-UuX1xuaiiE$_$1,34,ok,official_manifest_raw_text,27,27,1.0,,
