sample_id,start,end,visible_clusters,cluster_logits,active_cluster,window_status,av_sync_evidence,quality_flag
-3g5yACwYnA$_$13,0.0,0.5,[0],"{""0"":1.9072030782699585}",0,verified,neutral,
-3g5yACwYnA$_$13,0.25,0.75,[0],"{""0"":1.7051235437393188}",0,verified,neutral,
-3g5yACwYnA$_$13,0.5,1.0,[0],"{""0"":-0.009718929417431355}",,no_active,neutral,
-3g5yACwYnA$_$13,0.75,1.25,[0],"{""0"":-0.10754167102277279}",,no_active,neutral,
-3g5yACwYnA$_$13,1.0,1.5,[0],"{""0"":0.7342698574066162}",0,verified,neutral,
-3g5yACwYnA$_$13,1.25,1.75,[0],"{""0"":1.1371005773544312}",0,verified,neutral,
-3g5yACwYnA$_$13,1.5,2.0,[0],"{""0"":0.828347384929657}",0,verified,neutral,
-3g5yACwYnA$_$13,1.75,2.25,[0],"{""0"":0.7907676100730896}",0,verified,neutral,
-3g5yACwYnA$_$13,2.0,2.5,[0],"{""0"":1.0249637365341187}",0,verified,neutral,
-3g5yACwYnA$_$13,2.25,2.75,[0],"{""0"":0.9425765872001648}",0,verified,neutral,
-3g5yACwYnA$_$13,2.5,3.0,[0],"{""0"":0.7772471904754639}",0,verified,neutral,
-3g5yACwYnA$_$13,2.75,3.25,[0],"{""0"":0.8209151923656464}",0,verified,neutral,
-3g5yACwYnA$_$13,3.0,3.5,[0],"{""0"":1.3076735734939575}",0,verified,neutral,
-3g5yACwYnA$_$13,3.25,3.75,[0],"{""0"":1.3449434041976929}",0,verified,neutral,
-3g5yACwYnA$_$13,3.5,4.0,[0],"{""0"":1.3885821104049683}",0,verified,neutral,
-3g5yACwYnA$_$13,3.75,4.25,[0],"{""0"":1.2662001848220825}",0,verified,neutral,
-3g5yACwYnA$_$13,4.0,4.5,[0],"{""0"":0.9010398387908936}",0,verified,neutral,
-3g5yACwYnA$_$13,4.25,4.75,[0],"{""0"":0.5560094714164734}",0,verified,neutral,
-3g5yACwYnA$_$13,4.5,5.0,[0],"{""0"":0.16702914237976074}",0,verified,neutral,
-3g5yACwYnA$_$13,4.75,5.25,[0],"{""0"":-0.5071762204170227}",,no_active,neutral,
-3g5yACwYnA$_$13,5.0,5.5,[0],"{""0"":-0.735529363155365}",,no_active,neutral,
-3g5yACwYnA$_$13,5.25,5.5,[0],"{""0"":-1.0002670288085938}",,no_active,neutral,
-3g5yACwYnA$_$2,0.0,0.5,[0],"{""0"":0.48723864555358887}",0,verified,support,
-3g5yACwYnA$_$2,0.25,0.75,[0],"{""0"":-0.10996973514556885}",,no_active,neutral,
-3g5yACwYnA$_$2,0.5,1.0,[0],"{""0"":-0.5732496380805969}",,no_active,neutral,
-3g5yACwYnA$_$2,0.75,1.25,[0],"{""0"":-0.6172197461128235}",,no_active,neutral,
-3g5yACwYnA$_$2,1.0,1.5,[0],"{""0"":-0.5589462518692017}",,no_active,neutral,
-3g5yACwYnA$_$2,1.25,1.75,[0],"{""0"":-0.005507908761501312}",,no_active,neutral,
-3g5yACwYnA$_$2,1.5,2.0,[0],"{""0"":-0.005507908761501312}",,no_active,neutral,
-3g5yACwYnA$_$2,1.75,2.25,[0],"{""0"":0.8704107403755188}",0,verified,support,
-3g5yACwYnA$_$2,2.0,2.5,[0],"{""0"":1.5769551992416382}",0,verified,support,
-3g5yACwYnA$_$2,2.25,2.75,[0],"{""0"":0.736510694026947}",0,verified,support,
-3g5yACwYnA$_$2,2.5,3.0,[0],"{""0"":0.5376819968223572}",0,verified,support,
-3g5yACwYnA$_$2,2.75,3.25,[0],"{""0"":0.664260596036911}",0,verified,support,
-3g5yACwYnA$_$2,3.0,3.5,[0],"{""0"":1.12803316116333}",0,verified,support,
-3g5yACwYnA$_$2,3.25,3.75,[0],"{""0"":1.4267406463623047}",0,verified,support,
-3g5yACwYnA$_$2,3.5,4.0,[0],"{""0"":1.1626442670822144}",0,verified,support,
-3g5yACwYnA$_$2,3.75,4.25,[0],"{""0"":0.21765226870775223}",0,verified,support,
-3g5yACwYnA$_$2,4.0,4.5,[0],"{""0"":-0.04703497886657715}",,no_active,neutral,
-3g5yACwYnA$_$2,4.25,4.75,[0],"{""0"":-0.44405826926231384}",,no_active,neutral,
-3g5yACwYnA$_$2,4.5,5.0,[0],"{""0"":-0.8111903667449951}",,no_active,neutral,
-3g5yACwYnA$_$2,4.75,5.25,[0],"{""0"":-0.9595888555049896}",,no_active,neutral,
-3g5yACwYnA$_$2,5.0,5.5,[0],"{""0"":-1.100362777709961}",,no_active,neutral,
-3g5yACwYnA$_$2,5.25,5.75,[0],"{""0"":-0.9874749183654785}",,no_active,neutral,
-3g5yACwYnA$_$2,5.5,6.0,[0],"{""0"":-1.1042879819869995}",,no_active,neutral,
