sample_id,original_identity_risk,original_no_face,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction,talknet_is_primary_active_speaker_evidence,av_sync_role
-3g5yACwYnA$_$13,0,0,partially_verified,4.25,1.25,0,0.7727272727272727,1,auxiliary_only
-3g5yACwYnA$_$2,0,0,partially_verified,3.5,5.866666666666667,0,0.3736654804270462,1,auxiliary_only
-3g5yACwYnA$_$3,0,0,partially_verified,1.8666666666666671,12.5,0,0.12993039443155455,1,auxiliary_only
-3g5yACwYnA$_$9,0,0,partially_verified,5.0,3.75,0.049999999999998934,0.5681818181818182,1,auxiliary_only
-3nNcZdcdvU$_$5,0,0,partially_verified,4.25,3.6166666666666663,0,0.5402542372881356,1,auxiliary_only
-571d8cVauQ$_$0,0,0,partially_verified,0.5,4.666666666666666,0,0.09677419354838711,1,auxiliary_only
-571d8cVauQ$_$5,0,0,unresolved,0,15.266666666666666,0,0.0,1,auxiliary_only
-6rXp3zJ3kc$_$8,0,0,fully_verified,12.25,0.5499999999999989,0,0.9570312500000001,1,auxiliary_only
-9y-fZ3swSY$_$0,0,0,unresolved,0,6.8999999999999995,0,0.0,1,auxiliary_only
-9y-fZ3swSY$_$4,0,0,fully_verified,2.75,0,0.04999999999999982,0.9821428571428572,1,auxiliary_only
-9y-fZ3swSY$_$8,1,0,unresolved,0,4.966666666666667,0,0.0,1,auxiliary_only
-AUZQgSxyPQ$_$2,0,0,partially_verified,1.5,21.0,0,0.06666666666666667,1,auxiliary_only
-HeZS2-Prhc$_$2,0,0,fully_verified,7.0,1.2333333333333325,0,0.8502024291497977,1,auxiliary_only
-HwX2H8Z4hY$_$2,1,0,unresolved,0,1.4666666666666663,2.5,0.0,1,auxiliary_only
-HwX2H8Z4hY$_$5,1,0,unresolved,0,2.383333333333333,3.25,0.0,1,auxiliary_only
-HwX2H8Z4hY$_$6,1,0,unresolved,0,2.083333333333333,1.25,0.0,1,auxiliary_only
-HwX2H8Z4hY$_$9,1,0,partially_verified,1.9833333333333334,4.25,1.5,0.25646551724137934,1,auxiliary_only
-I_e4mIh0yE$_$1,0,0,partially_verified,5.25,2.25,0.09999999999999964,0.6907894736842105,1,auxiliary_only
-I_e4mIh0yE$_$3,0,0,fully_verified,8.5,0.6333333333333329,0,0.9306569343065694,1,auxiliary_only
-MeTTeMJBNc$_$0,1,0,partially_verified,1.25,8.083333333333334,0,0.13392857142857142,1,auxiliary_only
-MeTTeMJBNc$_$13,0,0,unresolved,0,5.3999999999999995,0,0.0,1,auxiliary_only
-MeTTeMJBNc$_$7,1,0,unresolved,0,10.5,0,0.0,1,auxiliary_only
-NFrJFQijFE$_$1,0,1,missing,0,0,5.720000000000001,0.0,1,auxiliary_only
-NFrJFQijFE$_$2,0,1,missing,0,0,6.840000000000001,0.0,1,auxiliary_only
-RfYyzHpjk4$_$11,0,0,partially_verified,2.0,3.2333333333333334,0,0.38216560509554137,1,auxiliary_only
-RfYyzHpjk4$_$2,1,0,partially_verified,1.5,4.0,0,0.2727272727272727,1,auxiliary_only
-RfYyzHpjk4$_$8,0,0,partially_verified,1.3166666666666664,3.25,0,0.28832116788321166,1,auxiliary_only
-THoVjtIkeU$_$12,0,0,partially_verified,4.0,10.866666666666667,0,0.26905829596412556,1,auxiliary_only
-THoVjtIkeU$_$2,0,0,partially_verified,2.0,2.2666666666666666,0,0.46875,1,auxiliary_only
-THoVjtIkeU$_$6,1,0,partially_verified,6.25,1.8166666666666664,0,0.7747933884297521,1,auxiliary_only
-UUCSKoHeMA$_$0,0,0,partially_verified,2.25,5.616666666666666,0,0.2860169491525424,1,auxiliary_only
-UacrmKiTn4$_$10,0,0,partially_verified,0.25,7.083333333333333,0,0.034090909090909095,1,auxiliary_only
-UacrmKiTn4$_$4,0,0,partially_verified,1.5,3.2333333333333334,0,0.31690140845070425,1,auxiliary_only
-UuX1xuaiiE$_$0,1,0,unresolved,0,3.6999999999999997,0,0.0,1,auxiliary_only
-UuX1xuaiiE$_$1,1,0,unresolved,0,10.333333333333334,0,0.0,1,auxiliary_only
-UuX1xuaiiE$_$3,1,0,partially_verified,0.5,3.5999999999999996,0,0.12195121951219513,1,auxiliary_only
-UuX1xuaiiE$_$6,1,0,partially_verified,2.25,5.85,0,0.2777777777777778,1,auxiliary_only
-a55Q6RWvTA$_$3,0,0,partially_verified,17.0,5.133333333333333,0,0.7680722891566265,1,auxiliary_only
-aNfi7CP8vM$_$7,0,0,partially_verified,1.666666666666666,7.0,0,0.19230769230769226,1,auxiliary_only
-aqamKhZ1Ec$_$0,0,0,unresolved,0,11.0,0,0.0,1,auxiliary_only
-dxfTGcXJoc$_$0,0,0,partially_verified,14.75,1.5333333333333314,4.25,0.7183441558441559,1,auxiliary_only
-dxfTGcXJoc$_$1,1,0,fully_verified,14.75,1.3833333333333329,0,0.9142561983471075,1,auxiliary_only
-dxfTGcXJoc$_$2,0,0,fully_verified,15.75,0.9166666666666643,0,0.9450000000000002,1,auxiliary_only
-dxfTGcXJoc$_$6,1,0,fully_verified,11.75,0.9833333333333325,0,0.9227748691099477,1,auxiliary_only
-egA8-b7-3M$_$1,0,0,unresolved,0,10.233333333333333,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$13,0,0,unresolved,0,4.166666666666666,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$16,0,0,unresolved,0,5.533333333333333,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$17,0,0,unresolved,0,7.266666666666667,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$18,0,0,unresolved,0,8.366666666666667,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$20,0,0,unresolved,0,6.633333333333333,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$26,0,0,unresolved,0,6.0,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$6,0,0,unresolved,0,6.233333333333333,0,0.0,1,auxiliary_only
-egA8-b7-3M$_$9,0,0,unresolved,0,5.066666666666666,0,0.0,1,auxiliary_only
-hnBHBN8p5A$_$6,1,0,unresolved,0,5.25,1.1313777777777778,0.0,1,auxiliary_only
-hnBHBN8p5A$_$7,1,0,unresolved,0,6.3406666666666665,1.0,0.0,1,auxiliary_only
