sample_id,segment_id,start,end,visual_status,active_cluster,candidate_action,av_sync_evidence,quality_flag
-3g5yACwYnA$_$13,0,0.0,0.5,verified,0,candidate_usable,neutral,
-3g5yACwYnA$_$13,1,0.5,1.0,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$13,2,1.0,4.75,verified,0,candidate_usable,neutral,
-3g5yACwYnA$_$13,3,4.75,5.5,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$2,0,0.0,0.25,verified,0,candidate_usable,support,
-3g5yACwYnA$_$2,1,0.25,1.75,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$2,2,1.75,4.0,verified,0,candidate_usable,support,
-3g5yACwYnA$_$2,3,4.0,6.0,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$2,4,6.0,7.0,verified,0,candidate_usable,support,
-3g5yACwYnA$_$2,5,7.0,9.366666666666667,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$3,0,0.0,2.0,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$3,1,2.0,3.0,verified,0,candidate_usable,neutral,
-3g5yACwYnA$_$3,2,3.0,10.0,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$3,3,10.0,10.25,verified,0,candidate_usable,neutral,
-3g5yACwYnA$_$3,4,10.25,13.75,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$3,5,13.75,14.366666666666667,verified,0,candidate_usable,neutral,
-3g5yACwYnA$_$9,0,0.0,0.5,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$9,1,0.5,2.75,verified,0,candidate_usable,support,
-3g5yACwYnA$_$9,2,2.75,3.25,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$9,3,3.25,4.75,verified,0,candidate_usable,support,
-3g5yACwYnA$_$9,4,4.75,5.5,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$9,5,5.5,5.75,verified,0,candidate_usable,support,
-3g5yACwYnA$_$9,6,5.75,6.25,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$9,7,6.25,7.25,verified,0,candidate_usable,support,
-3g5yACwYnA$_$9,8,7.25,8.75,no_active,,candidate_mask,neutral,
-3g5yACwYnA$_$9,9,8.75,8.799999999999999,missing,,candidate_mask,neutral,
-3nNcZdcdvU$_$5,0,0.0,0.5,no_active,,candidate_mask,neutral,
-3nNcZdcdvU$_$5,1,0.5,3.75,verified,0,candidate_usable,support,
-3nNcZdcdvU$_$5,2,3.75,6.0,no_active,,candidate_mask,neutral,
-3nNcZdcdvU$_$5,3,6.0,7.0,verified,0,candidate_usable,support,
-3nNcZdcdvU$_$5,4,7.0,7.866666666666666,no_active,,candidate_mask,neutral,
-571d8cVauQ$_$0,0,0.0,2.25,no_active,,candidate_mask,neutral,
-571d8cVauQ$_$0,1,2.25,2.75,verified,0,candidate_usable,support,
