sample_id,stage1_visual_evidence_level,stage1_visual_candidate_status,stage1_talknet_status,stage2_talknet_segment_status,stage2_usable_fraction
-9y-fZ3swSY$_$8,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-HwX2H8Z4hY$_$2,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-HwX2H8Z4hY$_$5,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-HwX2H8Z4hY$_$6,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-HwX2H8Z4hY$_$9,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.25646551724137934
-MeTTeMJBNc$_$0,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.13392857142857142
-MeTTeMJBNc$_$7,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-RfYyzHpjk4$_$2,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.2727272727272727
-THoVjtIkeU$_$6,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.7747933884297521
-UuX1xuaiiE$_$0,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-UuX1xuaiiE$_$1,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-UuX1xuaiiE$_$3,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.12195121951219513
-UuX1xuaiiE$_$6,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.2777777777777778
-dxfTGcXJoc$_$1,V_STRONG,verified,completed_with_explicit_short_episode_gaps,fully_verified,0.9142561983471075
-dxfTGcXJoc$_$6,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.9227748691099477
-hnBHBN8p5A$_$6,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-hnBHBN8p5A$_$7,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-iRBcNs9oI8$_$9,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-lzEya4AM_4$_$6,V_STRONG,verified,completed_with_explicit_short_episode_gaps,partially_verified,0.5925507900677202
-mJ2ud6oKI8$_$2,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-mJ2ud6oKI8$_$9,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-s9qJ7ATP7w$_$0,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-s9qJ7ATP7w$_$1,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.2097902097902098
-s9qJ7ATP7w$_$4,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.17045454545454547
-s9qJ7ATP7w$_$7,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-s9qJ7ATP7w$_$8,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.15306122448979592
-tANM6ETl_M$_$3,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.7797029702970297
-wMB_hJL-3o$_$7,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.8701657458563536
-wny0OAz3g8$_$0,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.8250000000000001
-wny0OAz3g8$_$1,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.951219512195122
-wny0OAz3g8$_$2,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.7875000000000001
-wny0OAz3g8$_$3,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.6521739130434783
-wny0OAz3g8$_$5,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.9057971014492754
-wny0OAz3g8$_$7,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.8987603305785125
-wny0OAz3g8$_$9,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,fully_verified,0.8467741935483871
-yRb-Jum7EQ$_$1,V_PARTIAL,uncertain,completed_with_explicit_short_episode_gaps,unresolved,0.0
-yRb-Jum7EQ$_$5,V_UNCERTAIN,uncertain,completed_with_explicit_short_episode_gaps,partially_verified,0.0949367088607595
