sample_id,sample_index,original_paired_use,original_group,semantic_status,temporal_status,stage2_visual_status,stage3_visual_status,visual_status,mapping_status,resolution_status,resolution_reason,candidate_only,production_written,usable_text,usable_audio_fraction,usable_visual_fraction,usable_trimodal_fraction,reason
-3g5yACwYnA$_$13,0,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.68,1.0,1.0,0.68,semantic_time_and_visual_evidence_are_sufficient
-3g5yACwYnA$_$2,1,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.54,1.0,1.0,0.54,semantic_time_and_visual_evidence_are_sufficient
-3g5yACwYnA$_$3,2,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient
-3g5yACwYnA$_$9,3,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,1.0,0.86,semantic_time_and_visual_evidence_are_sufficient
-3nNcZdcdvU$_$5,4,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,1.0,1.0,0.88,semantic_time_and_visual_evidence_are_sufficient
-571d8cVauQ$_$0,5,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.7,0.98,0.96,0.7,semantic_time_and_visual_evidence_are_sufficient
-571d8cVauQ$_$5,6,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.92,1.0,1.0,0.92,semantic_time_and_visual_evidence_are_sufficient
-6rXp3zJ3kc$_$8,7,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.9,1.0,1.0,0.9,semantic_time_and_visual_evidence_are_sufficient
-9y-fZ3swSY$_$0,8,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.9,0.98,1.0,0.9,semantic_time_and_visual_evidence_are_sufficient
-9y-fZ3swSY$_$4,9,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,0.96,0.96,0.82,semantic_time_and_visual_evidence_are_sufficient
-9y-fZ3swSY$_$8,10,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.82,1.0,0.0,0.0,target_visual_identity_remains_unresolved
-AUZQgSxyPQ$_$2,11,1,no_alert,MATCH_STRONG,PARTIAL,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.98,0.94,1.0,0.94,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-HeZS2-Prhc$_$2,12,1,no_alert,MATCH_STRONG,PARTIAL,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.76,0.68,1.0,0.62,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-HwX2H8Z4hY$_$2,13,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved
-HwX2H8Z4hY$_$5,14,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.82,1.0,0.0,0.0,target_visual_identity_remains_unresolved
-HwX2H8Z4hY$_$6,15,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.68,0.98,0.0,0.0,target_visual_identity_remains_unresolved
-HwX2H8Z4hY$_$9,16,0,identity_and_text_audio,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,1.0,0.54,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
