sample_id,cluster_id,positive_window_count,positive_duration,median_positive_logit,max_logit,positive_window_fraction,anchor_component_count,anchored_components
-9y-fZ3swSY$_$8,0,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$2,0,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$2,1,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$5,0,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$6,0,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$6,1,0,0.0,,,0.0,0,[]
-HwX2H8Z4hY$_$9,0,8,2.0,0.6812599003314972,1.045051097869873,0.32,1,[1]
-MeTTeMJBNc$_$0,0,5,1.25,0.23538334667682648,0.6413886547088623,0.13157894736842105,1,[0]
-MeTTeMJBNc$_$7,0,0,0.0,,,0.0,0,[]
-MeTTeMJBNc$_$7,1,0,0.0,,,0.0,0,[]
-RfYyzHpjk4$_$2,0,6,1.5,0.2557346671819687,0.3747483789920807,0.2727272727272727,1,[0]
-RfYyzHpjk4$_$2,1,0,0.0,,,0.0,0,[]
-THoVjtIkeU$_$6,0,25,6.25,1.0152562856674194,1.7845798134803772,0.7575757575757576,1,[0]
-UuX1xuaiiE$_$0,0,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$0,1,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$0,2,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$0,3,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$0,4,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,0,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,1,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,2,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,3,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,4,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,5,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,6,0,0.0,,,0.0,0,[]
