sample_id,label,annotation
-3g5yACwYnA$_$13,0.6666666865348816,Positive
-3g5yACwYnA$_$2,0.0,Neutral
-3g5yACwYnA$_$3,0.0,Neutral
-3g5yACwYnA$_$9,0.6666666865348816,Positive
-3nNcZdcdvU$_$5,0.0,Neutral
-571d8cVauQ$_$0,0.0,Neutral
-571d8cVauQ$_$5,0.3333333432674408,Positive
-6rXp3zJ3kc$_$8,-1.0,Negative
-9y-fZ3swSY$_$0,1.0,Positive
-9y-fZ3swSY$_$4,0.0,Neutral
-9y-fZ3swSY$_$8,1.6666666269302368,Positive
-AUZQgSxyPQ$_$2,0.6666666865348816,Positive
-HeZS2-Prhc$_$2,0.6666666865348816,Positive
-HwX2H8Z4hY$_$2,0.0,Neutral
-HwX2H8Z4hY$_$5,-1.0,Negative
-HwX2H8Z4hY$_$6,0.0,Neutral
-HwX2H8Z4hY$_$9,-0.3333333432674408,Negative
-I_e4mIh0yE$_$1,-0.6666666865348816,Negative
-I_e4mIh0yE$_$3,0.6666666865348816,Positive
-MeTTeMJBNc$_$0,0.3333333432674408,Positive
-MeTTeMJBNc$_$13,0.3333333432674408,Positive
-MeTTeMJBNc$_$7,1.3333333730697632,Positive
-NFrJFQijFE$_$1,0.3333333432674408,Positive
-NFrJFQijFE$_$2,0.0,Neutral
-RfYyzHpjk4$_$11,2.0,Positive
-RfYyzHpjk4$_$2,0.3333333432674408,Positive
-RfYyzHpjk4$_$8,0.3333333432674408,Positive
-THoVjtIkeU$_$12,2.0,Positive
-THoVjtIkeU$_$2,1.3333333730697632,Positive
-THoVjtIkeU$_$6,2.6666667461395264,Positive
-UUCSKoHeMA$_$0,0.0,Neutral
-UacrmKiTn4$_$10,-0.6666666865348816,Negative
-UacrmKiTn4$_$4,-1.3333333730697632,Negative
-UuX1xuaiiE$_$0,2.6666667461395264,Positive
-UuX1xuaiiE$_$1,1.6666666269302368,Positive
-UuX1xuaiiE$_$3,0.3333333432674408,Positive
-UuX1xuaiiE$_$6,-0.3333333432674408,Negative
-a55Q6RWvTA$_$3,0.6666666865348816,Positive
-aNfi7CP8vM$_$7,0.0,Neutral
-aqamKhZ1Ec$_$0,-2.0,Negative
-dxfTGcXJoc$_$0,1.0,Positive
-dxfTGcXJoc$_$1,1.6666666269302368,Positive
-dxfTGcXJoc$_$2,0.6666666865348816,Positive
-dxfTGcXJoc$_$6,0.6666666865348816,Positive
-egA8-b7-3M$_$1,0.6666666865348816,Positive
-egA8-b7-3M$_$13,0.3333333432674408,Positive
-egA8-b7-3M$_$16,0.6666666865348816,Positive
-egA8-b7-3M$_$17,0.3333333432674408,Positive
-egA8-b7-3M$_$18,1.0,Positive
-egA8-b7-3M$_$20,0.3333333432674408,Positive
-egA8-b7-3M$_$26,1.6666666269302368,Positive
-egA8-b7-3M$_$6,0.6666666865348816,Positive
-egA8-b7-3M$_$9,0.3333333432674408,Positive
-hnBHBN8p5A$_$6,1.0,Positive
-hnBHBN8p5A$_$7,0.6666666865348816,Positive
-iRBcNs9oI8$_$3,0.6666666865348816,Positive
-iRBcNs9oI8$_$6,0.3333333432674408,Positive
-iRBcNs9oI8$_$7,0.6666666865348816,Positive
-iRBcNs9oI8$_$8,1.0,Positive
-iRBcNs9oI8$_$9,1.3333333730697632,Positive
-lzEya4AM_4$_$5,-0.6666666865348816,Negative
-lzEya4AM_4$_$6,-0.3333333432674408,Negative
-mJ2ud6oKI8$_$1,0.0,Neutral
-mJ2ud6oKI8$_$2,0.0,Neutral
-mJ2ud6oKI8$_$6,0.3333333432674408,Positive
-mJ2ud6oKI8$_$8,-0.3333333432674408,Negative
-mJ2ud6oKI8$_$9,0.0,Neutral
-mqbVkbCndg$_$0,0.0,Neutral
-qDkUB0GgYY$_$6,1.3333333730697632,Positive
-ri04Z7vwnc$_$0,0.0,Neutral
-ri04Z7vwnc$_$2,-0.3333333432674408,Negative
-ri04Z7vwnc$_$5,0.3333333432674408,Positive
-s9qJ7ATP7w$_$0,-0.3333333432674408,Negative
-s9qJ7ATP7w$_$1,0.6666666865348816,Positive
-s9qJ7ATP7w$_$4,0.0,Neutral
-s9qJ7ATP7w$_$5,-2.0,Negative
-s9qJ7ATP7w$_$6,0.0,Neutral
-s9qJ7ATP7w$_$7,1.0,Positive
-s9qJ7ATP7w$_$8,1.3333333730697632,Positive
-t217m2on-s$_$2,0.6666666865348816,Positive
-t217m2on-s$_$7,-0.6666666865348816,Negative
-tANM6ETl_M$_$3,0.3333333432674408,Positive
-tPCytz4rww$_$10,0.0,Neutral
-tPCytz4rww$_$11,0.0,Neutral
-tPCytz4rww$_$12,0.0,Neutral
-tPCytz4rww$_$16,0.0,Neutral
-tPCytz4rww$_$18,0.0,Neutral
-uywlfIYOS8$_$4,0.3333333432674408,Positive
-vxjVxOeScU$_$4,1.0,Positive
-wMB_hJL-3o$_$7,0.3333333432674408,Positive
-wny0OAz3g8$_$0,0.3333333432674408,Positive
-wny0OAz3g8$_$1,0.3333333432674408,Positive
-wny0OAz3g8$_$2,-0.3333333432674408,Negative
-wny0OAz3g8$_$3,-1.3333333730697632,Negative
-wny0OAz3g8$_$5,1.0,Positive
-wny0OAz3g8$_$7,0.0,Neutral
-wny0OAz3g8$_$9,0.6666666865348816,Positive
-yRb-Jum7EQ$_$1,0.0,Neutral
-yRb-Jum7EQ$_$5,-0.6666666865348816,Negative
-yRb-Jum7EQ$_$6,0.0,Neutral
