sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,0,1,0,0.9265565276145935,12,12,0.12958335876464844,0.09045293927192688
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,0,1,0,-0.04911617189645767,1,12,0.0,0.028072983026504517
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,1,0,0.8301467895507812,1,2,0.0,0.00994783639907837
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,2,0,0.7815917134284973,1,7,0.0,0.037350982427597046
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,3,0,0.878192663192749,1,2,0.0,0.029761016368865967
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1,0,2,0,0.746841549873352,2,7,0.00994783639907837,0.037350982427597046
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1,0,3,0,0.8651591539382935,2,2,0.00994783639907837,0.029761016368865967
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,2,0,3,0,0.8650803565979004,7,2,0.037350982427597046,0.029761016368865967
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,0,1,0,0.9531731009483337,1,7,0.0,0.019775301218032837
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,0,2,0,-0.05599664896726608,1,2,0.0,0.007870525121688843
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,1,0,2,0,-0.03360278159379959,7,2,0.019775301218032837,0.007870525121688843
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,0,1,0,0.8597754240036011,12,12,0.07190775871276855,0.10920172929763794
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,0,2,0,0.6963254809379578,12,12,0.07190775871276855,0.05113479495048523
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,1,0,2,0,0.7337906360626221,12,12,0.10920172929763794,0.05113479495048523
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,0,1,0,0.7860554456710815,2,12,0.012090355157852173,0.09492373466491699
-MeTTeMJBNc$_$7,-MeTTeMJBNc,0,0,1,1,-0.028668314218521118,12,5,0.1237328052520752,0.014549434185028076
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0,0,1,1,0.07927916944026947,12,1,0.04760897159576416,0.0
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0,0,2,1,0.9554058909416199,12,12,0.04760897159576416,0.05757763981819153
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1,1,2,1,0.06649939715862274,1,12,0.0,0.05757763981819153
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,1,0,0.9325206875801086,1,1,0.0,0.0
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,2,0,0.5996921062469482,1,1,0.0,0.0
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,3,0,0.8303364515304565,1,2,0.0,0.0002785921096801758
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,4,0,0.7823901176452637,1,12,0.0,0.11542409658432007
-THoVjtIkeU$_$6,-THoVjtIkeU,1,0,2,0,0.6321810483932495,1,1,0.0,0.0
