sample_id,video_id,threshold,episode_count,valid_embedding_episode_count,identity_cluster_count,clusters_json,cluster_time_coverage_json,partition_signature,stable_partition_0_50_0_60_0_70,simultaneous_different_identity_clusters,episode_quality_json
-3g5yACwYnA$_$13,-3g5yACwYnA,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":4.56666666666665,""start"":0.0,""end"":5.5}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$13"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":5.5,""frame_count"":137,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.011417895555496216,""failures_json"":""[]""}]"
-3g5yACwYnA$_$13,-3g5yACwYnA,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":4.56666666666665,""start"":0.0,""end"":5.5}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$13"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":5.5,""frame_count"":137,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.011417895555496216,""failures_json"":""[]""}]"
-3g5yACwYnA$_$13,-3g5yACwYnA,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":4.56666666666665,""start"":0.0,""end"":5.5}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$13"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":5.5,""frame_count"":137,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.011417895555496216,""failures_json"":""[]""}]"
-3g5yACwYnA$_$2,-3g5yACwYnA,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.733333333333308,""start"":0.0,""end"":9.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$2"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":9.366666666666667,""frame_count"":232,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.014117985963821411,""failures_json"":""[]""}]"
-3g5yACwYnA$_$2,-3g5yACwYnA,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.733333333333308,""start"":0.0,""end"":9.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$2"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":9.366666666666667,""frame_count"":232,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.014117985963821411,""failures_json"":""[]""}]"
-3g5yACwYnA$_$2,-3g5yACwYnA,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.733333333333308,""start"":0.0,""end"":9.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$2"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":9.366666666666667,""frame_count"":232,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.014117985963821411,""failures_json"":""[]""}]"
-3g5yACwYnA$_$3,-3g5yACwYnA,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":11.99999999999996,""start"":0.0,""end"":14.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$3"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":14.366666666666667,""frame_count"":360,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.009594440460205078,""failures_json"":""[]""}]"
-3g5yACwYnA$_$3,-3g5yACwYnA,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":11.99999999999996,""start"":0.0,""end"":14.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$3"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":14.366666666666667,""frame_count"":360,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.009594440460205078,""failures_json"":""[]""}]"
-3g5yACwYnA$_$3,-3g5yACwYnA,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":11.99999999999996,""start"":0.0,""end"":14.366666666666667}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$3"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":14.366666666666667,""frame_count"":360,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.009594440460205078,""failures_json"":""[]""}]"
-3g5yACwYnA$_$9,-3g5yACwYnA,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.299999999999974,""start"":0.0,""end"":8.733333333333333}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$9"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":8.733333333333333,""frame_count"":219,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.013033926486968994,""failures_json"":""[]""}]"
-3g5yACwYnA$_$9,-3g5yACwYnA,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.299999999999974,""start"":0.0,""end"":8.733333333333333}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$9"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":8.733333333333333,""frame_count"":219,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.013033926486968994,""failures_json"":""[]""}]"
-3g5yACwYnA$_$9,-3g5yACwYnA,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":7.299999999999974,""start"":0.0,""end"":8.733333333333333}]",0:0,1,0,"[{""sample_id"":""-3g5yACwYnA$_$9"",""video_id"":""-3g5yACwYnA"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":8.733333333333333,""frame_count"":219,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.013033926486968994,""failures_json"":""[]""}]"
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":6.5666666666666424,""start"":0.0,""end"":7.866666666666666}]",0:0,1,0,"[{""sample_id"":""-3nNcZdcdvU$_$5"",""video_id"":""-3nNcZdcdvU"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":7.866666666666666,""frame_count"":197,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.05442693829536438,""failures_json"":""[]""}]"
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":6.5666666666666424,""start"":0.0,""end"":7.866666666666666}]",0:0,1,0,"[{""sample_id"":""-3nNcZdcdvU$_$5"",""video_id"":""-3nNcZdcdvU"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":7.866666666666666,""frame_count"":197,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.05442693829536438,""failures_json"":""[]""}]"
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":6.5666666666666424,""start"":0.0,""end"":7.866666666666666}]",0:0,1,0,"[{""sample_id"":""-3nNcZdcdvU$_$5"",""video_id"":""-3nNcZdcdvU"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":7.866666666666666,""frame_count"":197,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.05442693829536438,""failures_json"":""[]""}]"
-571d8cVauQ$_$0,-571d8cVauQ,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":3.9666666666666526,""start"":0.3,""end"":5.166666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$0"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.3,""end"":5.166666666666666,""frame_count"":119,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.0821080207824707,""failures_json"":""[]""}]"
-571d8cVauQ$_$0,-571d8cVauQ,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":3.9666666666666526,""start"":0.3,""end"":5.166666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$0"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.3,""end"":5.166666666666666,""frame_count"":119,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.0821080207824707,""failures_json"":""[]""}]"
-571d8cVauQ$_$0,-571d8cVauQ,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":3.9666666666666526,""start"":0.3,""end"":5.166666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$0"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.3,""end"":5.166666666666666,""frame_count"":119,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.0821080207824707,""failures_json"":""[]""}]"
-571d8cVauQ$_$5,-571d8cVauQ,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":12.666666666666623,""start"":0.0,""end"":15.266666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$5"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":15.266666666666666,""frame_count"":380,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.08698844909667969,""failures_json"":""[]""}]"
-571d8cVauQ$_$5,-571d8cVauQ,0.6,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":12.666666666666623,""start"":0.0,""end"":15.266666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$5"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":15.266666666666666,""frame_count"":380,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.08698844909667969,""failures_json"":""[]""}]"
-571d8cVauQ$_$5,-571d8cVauQ,0.7,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":12.666666666666623,""start"":0.0,""end"":15.266666666666666}]",0:0,1,0,"[{""sample_id"":""-571d8cVauQ$_$5"",""video_id"":""-571d8cVauQ"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":15.266666666666666,""frame_count"":380,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.08698844909667969,""failures_json"":""[]""}]"
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0.5,1,1,1,"[[""0:0""]]","[{""cluster_id"":0,""episodes"":[""0:0""],""coverage_s"":10.66666666666663,""start"":0.0,""end"":12.766666666666666}]",0:0,1,0,"[{""sample_id"":""-6rXp3zJ3kc$_$8"",""video_id"":""-6rXp3zJ3kc"",""episode_key"":""0:0"",""face_id"":0,""episode_id"":0,""start"":0.0,""end"":12.766666666666666,""frame_count"":320,""selected_frame_count"":12,""valid_embedding_count"":12,""robust_retained_count"":10,""dispersion"":0.049333810806274414,""failures_json"":""[]""}]"
