relative_path	bytes	sha256
Q1_auto_resolution_stage1_report.md	3121	4745ab237e302ef39bf89ea20ffa64027604807869fc2d08f97089b83bd8a4f7
arcface_episode_embeddings.npz	356647	0e8b01a73d404b62dedb9f5618702b4bc6ddb792d9848ed035401a734d9b2a7e
arcface_episode_quality.csv	18672	7247d831d78fe46f15bdf2f3f6577406753bf43d21e1deda0d35116d71826eef
arcface_episode_similarity.csv	22673	bb7bad1b3658e1f5b24b43c955f0e59c8ebe2f471e6aa49f4bc1e2860c230733
arcface_identity_clusters.csv	263032	44f6304225bb63b7b8437d39e89280cfc34111aff7a033e7c7f772d52b39f0af
arcface_model_source.json	543	927e1a4cc22673d0346519067eff720543090db426c5d8e2c6a2f7dd3af697de
arcface_run_metadata.json	1756	01631ee2bfa6007b878d846fbcbfa363684c8d4ff3c3edc2b6aa54d4c39d658e
arcface_runtime_status.json	396	c7cd3648ec89f2e44a47004c103ef665924df2b1fb2ddf451dd68cdd8a1c0ac1
auto_resolution_acceptance.json	510	ddea2fda2b27a99181cae9f9ae6ff0fa3544df3d2e84a1c0d7ccadd9865e3561
auto_resolution_candidates.csv	33163	7de81e5728d341cdf9d6e7895740c7a810a49d60279bdd1f04c649c236b1fa8c
auto_resolution_implementation_manifest.json	3435	1014159888c1d76e4f12e8d4cac1fa1f6b314e4de9a6c818dda92e705b1bc003
auto_resolution_model_provenance.json	2041	607a31e8ccd543e4cebe19cab3bdde1967d451bacd75b7b81671adeb58e7466b
auto_resolution_summary.json	7078	03935e7eedbb097b2637702a8144249abc9445450bd5428a7cb4bdff205a003a
av_sync_null_test.csv	293747	767b46dac51fd52c19fb957ee77af733860a0d8c9c8a6df76c1ffafe5ff60873
av_sync_run_metadata.json	383	d737410bb88e57a21dd8e0319f8641b8fd28a9654502315698201317906c70ee
av_sync_scores.csv	24068	350876c8b0719fa17b04ae45f5cccf9880076d895ddbc2dc0906d246b54bd7f1
ctc_whisperx_word_comparison.csv	218822	eedd8fcbbacd52c6dd1dc0e8e69d5ed1f65c52cb80413d584564dc7f034e7950
frozen_baseline_sha256.json	726	151075afdcf2e589432b8e52f4f2027aefeb468af1791a7b1a101e7aa7e940f9
frozen_baseline_verification.json	1796	d79257f0c3ac0bbb1face8721fb234374f3aba14c6873e0f5d45a432a1e4e6e6
mfa_status.json	624	5891609b7792a23b74d31f78afcceca15931883e7d925ec28829f7402dbb4c2b
new_text_audio_risk_candidates.csv	653	19e78a1295a5aaf27e62d7fec626953ad4c329bd921e476f589ce34bebd48ec1
problem_partition.csv	2507	198f8274451eabb44ffacba945b5689863a43693e9e6a4ad7e20e6a86d2a56c5
q1_word_aligned_candidate.npz	6021419	d232ec3d635f2f743daecf54242cb9a35aa85f49c9f48e6737d2494a823f485f
q1_word_aligned_candidate.validation.json	2578	0123ebe333096ee0ec702db2c0a9a329ccd347854da53fdfe076d065d4287a94
talknet_all_episodes.exitcode	2	53c234e5e8472b6ac51c1ae1cab3fe06fad053beb8ebfd8977b010655bfdd3c3
talknet_all_episodes.log	18824	6675a95d9004bbefd9ce1d978ab1db60a7eebc512076c80d801afa6fe464bf52
talknet_episode_scores.csv	26781	fc1f24cc79d36caafc6d9a6616e0b1329f114fcb786b6c6c9d486136d3740919
talknet_frame_logits.csv	1453989	83b8c2f9f7a1dc378f0298b98b05a3532d4e589f82e5b6fdd1f6588fc4cfc1dd
talknet_run_metadata.json	840	cd931e6a083c210473ec16c2ce3fb5aa6dbeb6f06b0420cfd27213603dca5311
talknet_status.json	1344	e97050a053a893663fd60869fe3a131b7d7ec92fa9c32a30957c5ebd004d71f0
text_audio_analysis_summary.json	238	709cc8cb35e8255c8eb3e837fc5d35a50db858299a7e17b1d6fa4bbf1ea2aa48
text_audio_evidence.csv	12345	fbe4245c8cd9a5a6b104f3a6cc069a0c62e7207958bc8e48fe6e91dc9fb3be1f
text_audio_permutation_test.csv	50714	88e48c6a3b5703a2f009ecece0a118afab4dd44b7e46b847ea12a89a0a186706
visual_candidate_segments.csv	20268	705a1e3d7c6f48460acb4a01862f2e93a05291345c80f5c30e38c494f0bb996c
whisperx_all100_20260925.exitcode	2	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865
