sample_id,original_group,current_paired_use,original_ta_issue,original_identity_issue,original_no_face,ctc_diagnostic_wer,ctc_accepted_word_fraction,whisperx_status,whisperx_wer,whisperx_cer,whisperx_word_overlap_f1,ctc_whisperx_common_word_coverage,ctc_whisperx_median_midpoint_difference_s,ctc_whisperx_p90_midpoint_difference_s,permutation_true_similarity,permutation_negative_p95,permutation_true_rank,permutation_empirical_percentile,ta_evidence_level,mfa_status,mfa_alignment_success,mfa_aligned_word_fraction,arcface_episode_count,arcface_valid_embedding_episode_count,arcface_identity_cluster_count_0_60,arcface_partition_stable_0_50_0_60_0_70,arcface_simultaneous_different_clusters,av_sync_real_score,av_sync_null_median,av_sync_null_p95,av_sync_empirical_percentile,av_sync_top1_top2_margin,talknet_status,talknet_logit,talknet_speaking_frame_fraction,talknet_selected_valid_episode_count,talknet_selected_frame_count,text_audio_candidate_status,vision_candidate_status,trimodal_candidate_status,text_audio_status,vision_status,trimodal_status,vision_evidence_level,releasable_visual_time_ratio,masked_visual_time_ratio,evidence_reason
-9y-fZ3swSY$_$8,identity_only,0,0,1,0,0.08333333333333333,1.0,ok,0.15384615384615385,0.023255813953488372,0.8799999999999999,0.9166666666666666,0.21834313725490162,0.33081372549019616,0.8461538461538461,0.08333333333333337,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,0.062274170780315184,0.08642860048447598,0.357013792278415,0.48,,completed_with_explicit_short_episode_gaps,-1.2312204408216048,0.018018018018018018,2,111,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-HwX2H8Z4hY$_$2,identity_and_text_audio,0,1,1,0,0.42857142857142855,0.7142857142857143,ok,1.0,0.8611111111111112,0.0,0.0,,,0.0,0.0,1,0.5,TA_CONFLICT,skipped_optional_high_cost,,,2,2,2,1,0,0.10109359842128826,0.2019320331494266,0.727539486872649,0.25,,completed_with_explicit_short_episode_gaps,-0.8298274874687195,0.0,1,16,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; ArcFace partition or AV-sync does not uniquely bind the target identity
-HwX2H8Z4hY$_$5,identity_only,0,0,1,0,0.2222222222222222,1.0,ok,0.0,0.0,1.0,1.0,0.16904487645348865,0.27662243822674426,1.0,0.08472222222222228,1,1.0,TA_STRONG,skipped_optional_high_cost,,,4,4,1,1,0,0.9058576601073952,0.5919903380018747,0.9165123120518137,0.8695652173913043,,completed_with_explicit_short_episode_gaps,-0.4758478445666177,0.14285714285714285,3,7,verified,uncertain,partial,verified,uncertain,partial,V_PARTIAL,0.07100591715976307,0.928994082840237,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; only the top AV-supported ArcFace identity cluster is a usable candidate"
-HwX2H8Z4hY$_$6,identity_only,0,0,1,0,0.2857142857142857,1.0,ok,0.14285714285714285,0.08333333333333333,0.8571428571428571,0.8571428571428571,0.23860643564356437,0.32003712871287127,0.8571428571428572,0.0913636363636364,1,1.0,TA_STRONG,skipped_optional_high_cost,,,3,3,2,1,0,0.8032358215997318,0.6270724598443217,0.8714184570430972,0.8,,completed_with_explicit_short_episode_gaps,-0.8815190593401591,0.0,2,12,verified,uncertain,partial,verified,uncertain,partial,V_PARTIAL,0.09999999999999985,0.9000000000000001,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; only the top AV-supported ArcFace identity cluster is a usable candidate"
-HwX2H8Z4hY$_$9,identity_and_text_audio,0,1,1,0,0.8181818181818182,1.0,ok,0.045454545454545456,0.04081632653061224,0.9767441860465117,0.9545454545454546,0.16239568014705874,0.2880579044117644,0.9545454545454546,0.0523809523809525,1,1.0,TA_SEMANTIC_ONLY,skipped_optional_high_cost,,,3,3,1,1,0,0.00610155411595591,0.0952153029778218,0.24312165428885626,0.4230769230769231,,completed_with_explicit_short_episode_gaps,-0.5122339558803429,0.2542372881355932,3,118,timing_partial,uncertain,uncertain,timing_partial,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial; ArcFace partition or AV-sync does not uniquely bind the target identity"
-MeTTeMJBNc$_$0,identity_only,0,0,1,0,0.09523809523809523,1.0,ok,0.0,0.0,1.0,1.0,0.24862597996515667,0.3425747495644602,1.0,0.050000000000000086,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,-0.040346686922521496,0.11903726119906827,0.24172374784589443,0.07692307692307693,,completed_with_explicit_short_episode_gaps,-0.9896641373634338,0.1590909090909091,1,220,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-MeTTeMJBNc$_$7,identity_only,0,0,1,0,0.03225806451612903,1.0,ok,0.0,0.0,1.0,1.0,0.2525381944444447,0.40470052083333474,1.0,0.06451612903225812,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,2,1,1,0.8804377921446128,0.907498070262565,0.9606373623452971,0.38461538461538464,0.8971669641609377,completed_with_explicit_short_episode_gaps,-1.2880789041519165,0.0,1,3,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-NFrJFQijFE$_$1,vision_no_face_and_text_audio,0,1,0,1,1.0,0.3125,ok,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0.5,TA_CONFLICT,skipped_optional_high_cost,,,0,0,0,1,0,,,,,,completed_with_explicit_short_episode_gaps,,,0,0,uncertain,missing,uncertain,uncertain,missing,uncertain,V_MISSING,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; confirmed automatic no-face condition from frozen OpenFace output
-NFrJFQijFE$_$2,vision_no_face_and_text_audio,0,1,0,1,1.0,0.5,ok,1.0,0.7590361445783133,0.0,0.0,,,0.0,0.10026315789473682,11,0.25,TA_CONFLICT,skipped_optional_high_cost,,,0,0,0,1,0,,,,,,completed_with_explicit_short_episode_gaps,,,0,0,uncertain,missing,uncertain,uncertain,missing,uncertain,V_MISSING,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; confirmed automatic no-face condition from frozen OpenFace output
-RfYyzHpjk4$_$2,identity_only,0,0,1,0,0.4,1.0,ok,0.04,0.03225806451612903,0.96,0.96,0.10408654565868258,0.14391248128742476,0.96,0.07999999999999996,1,1.0,TA_STRONG,skipped_optional_high_cost,,,3,3,2,1,1,0.2746997883646816,0.11996736337653169,0.2786160651185501,0.9166666666666666,,completed_with_explicit_short_episode_gaps,-0.3959427958226386,0.26717557251908397,2,131,verified,uncertain,partial,verified,uncertain,partial,V_PARTIAL,0.8181818181818152,0.18181818181818477,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; only the top AV-supported ArcFace identity cluster is a usable candidate"
