sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-3g5yACwYnA$_$13,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,137,0.3138523681450059,0.2,24,0.2547226597723872,0.42011042849788605,0.625,0.4,1,
-3g5yACwYnA$_$2,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,232,0.24351215984886998,0.08,26,0.12058172431786982,0.22948021425150575,1.0,0.037037037037037035,1,
-3g5yACwYnA$_$3,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,360,0.13980631171659572,0.08,26,0.1128092411883986,0.2500345643265934,0.5769230769230769,0.4444444444444444,1,
-3g5yACwYnA$_$9,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,219,0.24721574286961617,0.04,26,0.09709824282954457,0.26579321034870407,0.8076923076923077,0.2222222222222222,1,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,197,0.3463617362889785,0.04,26,0.1965508388340178,0.323229744071153,0.9615384615384616,0.07407407407407407,1,
-571d8cVauQ$_$0,-571d8cVauQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,119,0.4797000862959076,-0.2,25,0.24576632025326542,0.4344179910460992,1.0,0.038461538461538464,1,
-571d8cVauQ$_$5,-571d8cVauQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,380,0.34345442190458086,-0.2,26,0.09125113856406813,0.27999522935707366,1.0,0.037037037037037035,1,
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,320,0.40475494363985204,0.0,26,0.1350670916490362,0.2864930178057902,1.0,0.037037037037037035,1,
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,172,0.22552948014705437,-0.16,26,0.1800253174975158,0.3721104433200463,0.6923076923076923,0.3333333333333333,1,
-9y-fZ3swSY$_$4,-9y-fZ3swSY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,67,0.2700366878921405,-0.2,26,0.13345150359498797,0.6841091532529974,0.8076923076923077,0.2222222222222222,1,
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,108,0.062274170780315184,-0.2,25,0.08642860048447598,0.357013792278415,0.48,0.5384615384615384,1,
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,562,0.24381335019377545,0.08,26,0.07683166412160203,0.15655876706131477,1.0,0.037037037037037035,1,
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,205,0.13995524534403883,0.2,26,0.10579313681356528,0.2691415625703996,0.8076923076923077,0.2222222222222222,1,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,2,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,1,"[""0:1""]",mouth_landmarks_62_66_over_48_54,18,0.10109359842128826,0.0,24,0.2019320331494266,0.727539486872649,0.25,0.76,1,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,"[""0:0"",""0:1"",""0:2"",""0:3""]",mouth_landmarks_62_66_over_48_54,12,0.9058576601073952,-0.12,23,0.5919903380018747,0.9165123120518137,0.8695652173913043,0.16666666666666666,1,
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,10,0.8032358215997318,-0.04,25,0.6270724598443217,0.8714184570430972,0.8,0.23076923076923078,1,
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,1,"[""0:2""]",mouth_landmarks_62_66_over_48_54,2,,,0,,,,,2,
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,"[""0:0"",""0:1"",""0:2""]",mouth_landmarks_62_66_over_48_54,123,0.00610155411595591,0.04,26,0.0952153029778218,0.24312165428885626,0.4230769230769231,0.5925925925925926,1,
-I_e4mIh0yE$_$1,-I_e4mIh0yE,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,187,0.23635942697543608,0.08,26,0.05279993604912617,0.3704677637915196,0.8461538461538461,0.18518518518518517,1,
-I_e4mIh0yE$_$3,-I_e4mIh0yE,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,226,-0.05114440835333069,-0.2,26,0.08269165835729178,0.22076046469120278,0.15384615384615385,0.8518518518518519,1,
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,225,-0.040346686922521496,0.0,26,0.11903726119906827,0.24172374784589443,0.07692307692307693,0.9259259259259259,1,
-MeTTeMJBNc$_$13,-MeTTeMJBNc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,132,0.07442506240877332,0.04,24,0.16172352292799722,0.3163194805156963,0.08333333333333333,0.92,1,
