sample_id,word_id,raw_word,ctc_start,ctc_end,whisperx_start,whisperx_end,start_abs_difference_s,end_abs_difference_s,midpoint_abs_difference_s,whisperx_score
-3g5yACwYnA$_$13,0,They've,0.9140565476190474,1.5265383184523809,1.445,1.606,0.5309434523809526,0.07946168154761923,0.30520256696428594,0.748
-3g5yACwYnA$_$13,1,been,1.5265383184523809,1.5908136160714283,1.626,1.726,0.09946168154761903,0.13518638392857163,0.11732403273809533,0.996
-3g5yACwYnA$_$13,2,able,1.5908136160714283,1.7193642113095238,1.766,1.927,0.17518638392857167,0.20763578869047628,0.19141108630952397,0.991
-3g5yACwYnA$_$13,3,to,1.7193642113095238,1.9764654017857142,1.967,2.047,0.2476357886904763,0.07053459821428598,0.15908519345238115,1.0
-3g5yACwYnA$_$13,4,find,1.9764654017857142,2.169291294642857,2.187,2.388,0.21053459821428566,0.21870870535714282,0.21462165178571424,0.998
-3g5yACwYnA$_$13,5,solutions,2.169291294642857,2.876319568452381,2.428,2.949,0.25870870535714285,0.07268043154761905,0.16569456845238095,0.94
-3g5yACwYnA$_$13,6,or,2.876319568452381,2.9727325148809522,3.049,3.149,0.17268043154761914,0.17626748511904777,0.17447395833333323,0.764
-3g5yACwYnA$_$13,7,at,2.9727325148809522,3.133420758928571,3.19,3.25,0.2172674851190477,0.11657924107142881,0.16692336309523825,0.76
-3g5yACwYnA$_$13,8,least,3.133420758928571,3.2298337053571426,3.27,3.43,0.13657924107142883,0.2001662946428575,0.1683727678571434,0.641
-3g5yACwYnA$_$13,9,bring,3.2298337053571426,3.4226595982142856,3.47,3.751,0.24016629464285755,0.32834040178571433,0.28425334821428594,0.989
-3g5yACwYnA$_$13,10,some,3.4226595982142856,3.8083113839285714,3.811,3.991,0.3883404017857144,0.18268861607142872,0.28551450892857155,0.946
-3g5yACwYnA$_$13,11,answers,3.8083113839285714,4.290376116071428,4.092,4.352,0.28368861607142826,0.0616238839285721,0.17265624999999973,0.867
-3g5yACwYnA$_$13,12,to,4.290376116071428,4.3867890625,4.372,4.473,0.08162388392857167,0.08621093749999975,0.08391741071428571,0.837
-3g5yACwYnA$_$13,13,the,4.3867890625,4.483202008928571,4.493,4.573,0.10621093750000021,0.08979799107142927,0.0980044642857143,0.818
-3g5yACwYnA$_$13,14,table.,4.483202008928571,4.611752604166666,4.593,4.894,0.10979799107142885,0.282247395833334,0.19602269345238188,0.956
