sample_id,ta_issue,identity_issue,no_face,current_paired_use,vision_episode_count,group
-9y-fZ3swSY$_$8,0,1,0,0,2,identity_only
-HwX2H8Z4hY$_$2,1,1,0,0,2,identity_and_text_audio
-HwX2H8Z4hY$_$5,0,1,0,0,4,identity_only
-HwX2H8Z4hY$_$6,0,1,0,0,3,identity_only
-HwX2H8Z4hY$_$9,1,1,0,0,3,identity_and_text_audio
-MeTTeMJBNc$_$0,0,1,0,0,2,identity_only
-MeTTeMJBNc$_$7,0,1,0,0,2,identity_only
-NFrJFQijFE$_$1,1,0,1,0,0,vision_no_face_and_text_audio
-NFrJFQijFE$_$2,1,0,1,0,0,vision_no_face_and_text_audio
-RfYyzHpjk4$_$2,0,1,0,0,3,identity_only
-THoVjtIkeU$_$6,0,1,0,0,5,identity_only
-UuX1xuaiiE$_$0,0,1,0,0,5,identity_only
-UuX1xuaiiE$_$1,0,1,0,0,9,identity_only
-UuX1xuaiiE$_$3,0,1,0,0,3,identity_only
-UuX1xuaiiE$_$6,0,1,0,0,2,identity_only
-aqamKhZ1Ec$_$0,1,0,0,0,1,text_audio_only_single_episode
-dxfTGcXJoc$_$1,0,1,0,0,2,identity_only
-dxfTGcXJoc$_$6,0,1,0,0,2,identity_only
-hnBHBN8p5A$_$6,1,1,0,0,7,identity_and_text_audio
-hnBHBN8p5A$_$7,1,1,0,0,7,identity_and_text_audio
-iRBcNs9oI8$_$3,1,0,0,0,1,text_audio_only_single_episode
-iRBcNs9oI8$_$6,1,0,0,0,1,text_audio_only_single_episode
-iRBcNs9oI8$_$7,1,0,0,0,1,text_audio_only_single_episode
-iRBcNs9oI8$_$8,1,0,0,0,1,text_audio_only_single_episode
-iRBcNs9oI8$_$9,1,1,0,0,2,identity_and_text_audio
-lzEya4AM_4$_$6,0,1,0,0,2,identity_only
-mJ2ud6oKI8$_$1,1,0,1,0,0,vision_no_face_and_text_audio
-mJ2ud6oKI8$_$2,1,1,0,0,2,identity_and_text_audio
-mJ2ud6oKI8$_$6,1,0,0,0,1,text_audio_only_single_episode
-mJ2ud6oKI8$_$8,1,0,0,0,1,text_audio_only_single_episode
-mJ2ud6oKI8$_$9,1,1,0,0,2,identity_and_text_audio
-ri04Z7vwnc$_$0,1,0,1,0,0,vision_no_face_and_text_audio
-ri04Z7vwnc$_$2,1,0,0,0,1,text_audio_only_single_episode
-ri04Z7vwnc$_$5,1,0,0,0,1,text_audio_only_single_episode
-s9qJ7ATP7w$_$0,0,1,0,0,3,identity_only
-s9qJ7ATP7w$_$1,0,1,0,0,2,identity_only
-s9qJ7ATP7w$_$4,0,1,0,0,3,identity_only
-s9qJ7ATP7w$_$7,0,1,0,0,4,identity_only
-s9qJ7ATP7w$_$8,0,1,0,0,2,identity_only
-tANM6ETl_M$_$3,0,1,0,0,3,identity_only
-wMB_hJL-3o$_$7,0,1,0,0,7,identity_only
-wny0OAz3g8$_$0,0,1,0,0,4,identity_only
-wny0OAz3g8$_$1,0,1,0,0,7,identity_only
-wny0OAz3g8$_$2,0,1,0,0,5,identity_only
-wny0OAz3g8$_$3,0,1,0,0,3,identity_only
-wny0OAz3g8$_$5,0,1,0,0,7,identity_only
-wny0OAz3g8$_$7,0,1,0,0,3,identity_only
-wny0OAz3g8$_$9,0,1,0,0,3,identity_only
-yRb-Jum7EQ$_$1,1,1,0,0,3,identity_and_text_audio
-yRb-Jum7EQ$_$5,1,1,0,0,2,identity_and_text_audio
-yRb-Jum7EQ$_$6,1,0,0,0,1,text_audio_only_single_episode
