sample_id,video_id,status,normalized_official_text,normalized_whisperx_transcript,whisperx_word_timestamps_json,whisperx_wer,whisperx_cer,word_overlap_count,word_overlap_precision,word_overlap_recall,word_overlap_f1,word_overlap_jaccard,ctc_diagnostic_wer,ctc_accepted_word_fraction,common_timed_word_count,common_timed_word_coverage,median_start_difference_s,p90_start_difference_s,median_end_difference_s,p90_end_difference_s,median_midpoint_difference_s,p90_midpoint_difference_s,coverage
-3g5yACwYnA$_$13,-3g5yACwYnA,ok,THEY'VE BEEN ABLE TO FIND SOLUTIONS OR AT LEAST BRING SOME ANSWERS TO THE TABLE,THAT WE DO THEY'VE BEEN ABLE TO FIND SOLUTIONS OR AT LEAST BRING SOME ANSWERS TO THE TABLE,"[{""word"":""that"",""start"":0.102,""end"":0.263,""score"":0.882},{""word"":""we"",""start"":0.283,""end"":0.403,""score"":0.969},{""word"":""do,"",""start"":0.443,""end"":0.623,""score"":0.994},{""word"":""they've"",""start"":1.445,""end"":1.606,""score"":0.748},{""word"":""been"",""start"":1.626,""end"":1.726,""score"":0.996},{""word"":""able"",""start"":1.766,""end"":1.927,""score"":0.991},{""word"":""to"",""start"":1.967,""end"":2.047,""score"":1.0},{""word"":""find"",""start"":2.187,""end"":2.388,""score"":0.998},{""word"":""solutions"",""start"":2.428,""end"":2.949,""score"":0.94},{""word"":""or"",""start"":3.049,""end"":3.149,""score"":0.764},{""word"":""at"",""start"":3.19,""end"":3.25,""score"":0.76},{""word"":""least"",""start"":3.27,""end"":3.43,""score"":0.641},{""word"":""bring"",""start"":3.47,""end"":3.751,""score"":0.989},{""word"":""some"",""start"":3.811,""end"":3.991,""score"":0.946},{""word"":""answers"",""start"":4.092,""end"":4.352,""score"":0.867},{""word"":""to"",""start"":4.372,""end"":4.473,""score"":0.837},{""word"":""the"",""start"":4.493,""end"":4.573,""score"":0.818},{""word"":""table."",""start"":4.593,""end"":4.894,""score"":0.956}]",0.2,0.12307692307692308,15,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.4,1.0,15,1.0,0.21053459821428566,0.3464796874999999,0.13518638392857163,0.2568319196428575,0.17265624999999973,0.2850100446428573,1.0
-3g5yACwYnA$_$2,-3g5yACwYnA,ok,KEY POLYMER BRINGS A TECHNICAL ASPECT TO OUR OPERATION THAT WE DON'T HAVE INTERNALLY,OPERATIONS KEY POLYMER BRINGS A TECHNICAL ASPECT TO OUR OPERATION THAT WE DON'T HAVE INTERNALLY,"[{""word"":""operations."",""start"":0.0,""end"":1.582,""score"":0.69},{""word"":""Key"",""start"":1.842,""end"":2.303,""score"":0.72},{""word"":""Polymer"",""start"":3.044,""end"":3.384,""score"":0.476},{""word"":""brings"",""start"":3.404,""end"":3.604,""score"":0.824},{""word"":""a"",""start"":3.664,""end"":3.704,""score"":0.961},{""word"":""technical"",""start"":3.744,""end"":4.205,""score"":0.946},{""word"":""aspect"",""start"":4.385,""end"":4.686,""score"":0.989},{""word"":""to"",""start"":4.726,""end"":4.946,""score"":0.994},{""word"":""our"",""start"":5.867,""end"":5.967,""score"":0.596},{""word"":""operation"",""start"":6.027,""end"":6.468,""score"":0.891},{""word"":""that"",""start"":6.508,""end"":6.648,""score"":0.834},{""word"":""we"",""start"":6.688,""end"":6.788,""score"":0.834},{""word"":""don't"",""start"":6.828,""end"":7.028,""score"":0.837},{""word"":""have"",""start"":7.068,""end"":7.209,""score"":1.0},{""word"":""internally."",""start"":7.269,""end"":7.709,""score"":0.955}]",0.07142857142857142,0.14084507042253522,14,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,0.6428571428571429,1.0,14,1.0,0.1595513937282238,0.498972528310105,0.11795884146341495,0.24483830574912904,0.12702455357142928,0.34542167356271775,1.0
-3g5yACwYnA$_$3,-3g5yACwYnA,ok,WE'RE A HUGE USER OF ADHESIVES FOR OUR OPERATION CALLED FLOCKING AND WE DON'T HAVE THE TECHNICAL INSIDE COMPOUNDING OR THE TECHNICAL EXPERTISE TO DO THESE TYPES OF THINGS,WE'RE A HUGE USER OF ADHESIVES FOR OUR OPERATION CALLED FLOCKING AND WE DON'T HAVE THE TECHNICAL INSIDE COMPOUNDING OR THE TECHNICAL EXPERTISE TO DO THESE TYPES OF THINGS,"[{""word"":""We're"",""start"":0.587,""end"":0.987,""score"":0.894},{""word"":""a"",""start"":1.248,""end"":1.288,""score"":0.991},{""word"":""huge"",""start"":1.368,""end"":1.729,""score"":0.961},{""word"":""user"",""start"":2.65,""end"":2.91,""score"":0.898},{""word"":""of"",""start"":2.97,""end"":3.031,""score"":0.756},{""word"":""adhesives"",""start"":3.091,""end"":3.551,""score"":0.959},{""word"":""for"",""start"":4.212,""end"":4.433,""score"":0.978},{""word"":""our"",""start"":4.573,""end"":4.673,""score"":0.892},{""word"":""operation"",""start"":4.753,""end"":5.254,""score"":0.942},{""word"":""called"",""start"":5.635,""end"":5.835,""score"":0.934},{""word"":""flocking"",""start"":5.855,""end"":6.296,""score"":0.878},{""word"":""and"",""start"":6.636,""end"":6.756,""score"":1.0},{""word"":""we"",""start"":7.037,""end"":7.117,""score"":1.0},{""word"":""don't"",""start"":7.137,""end"":7.257,""score"":0.943},{""word"":""have"",""start"":7.297,""end"":7.377,""score"":0.998},{""word"":""the"",""start"":7.397,""end"":7.457,""score"":0.961},{""word"":""technical"",""start"":7.517,""end"":7.958,""score"":0.908},{""word"":""inside"",""start"":8.399,""end"":8.679,""score"":0.957},{""word"":""compounding"",""start"":9.42,""end"":10.001,""score"":0.96},{""word"":""or"",""start"":10.202,""end"":10.302,""score"":0.752},{""word"":""the"",""start"":10.342,""end"":10.422,""score"":0.828},{""word"":""technical"",""start"":10.462,""end"":10.823,""score"":0.853},{""word"":""expertise"",""start"":10.843,""end"":11.283,""score"":0.79},{""word"":""to"",""start"":11.323,""end"":11.403,""score"":0.988},{""word"":""do"",""start"":11.444,""end"":11.564,""score"":0.875},{""word"":""these"",""start"":11.584,""end"":11.744,""score"":0.835},{""word"":""types"",""start"":11.764,""end"":11.964,""score"":0.908},{""word"":""of"",""start"":12.004,""end"":12.065,""score"":0.984},{""word"":""things."",""start"":12.105,""end"":12.365,""score"":1.0}]",0.0,0.0,29,1.0,1.0,1.0,1.0,0.3103448275862069,1.0,29,1.0,0.1975728467561515,0.5160725391498872,0.1369587527964189,0.23452407718120788,0.18291722595078053,0.33576159116331006,1.0
-3g5yACwYnA$_$9,-3g5yACwYnA,ok,WE HAVE MANY NEW OPPORTUNITIES THROUGH THE WAY THINGS HAVE CHANGED THROUGH THE YEARS LOOKING FOR NEW NICHE HIGH END VALUE ADDED PRODUCTS,WE HAVE MANY NEW OPPORTUNITIES THROUGH THE WAY THINGS HAVE CHANGED THROUGH THE YEARS LOOKING FOR NEW NICHE HIGH END VALUE ADDED PRODUCTS,"[{""word"":""We"",""start"":0.798,""end"":0.918,""score"":0.984},{""word"":""have"",""start"":0.958,""end"":1.059,""score"":0.996},{""word"":""many"",""start"":1.119,""end"":1.359,""score"":1.0},{""word"":""new"",""start"":1.72,""end"":1.86,""score"":0.999},{""word"":""opportunities"",""start"":1.94,""end"":2.462,""score"":0.921},{""word"":""through"",""start"":2.502,""end"":2.802,""score"":0.799},{""word"":""the"",""start"":3.363,""end"":3.444,""score"":0.99},{""word"":""way"",""start"":3.484,""end"":3.624,""score"":1.0},{""word"":""things"",""start"":3.684,""end"":3.864,""score"":1.0},{""word"":""have"",""start"":3.904,""end"":4.005,""score"":0.874},{""word"":""changed"",""start"":4.025,""end"":4.265,""score"":0.981},{""word"":""through"",""start"":4.285,""end"":4.466,""score"":0.856},{""word"":""the"",""start"":4.486,""end"":4.566,""score"":0.83},{""word"":""years,"",""start"":4.606,""end"":5.648,""score"":0.975},{""word"":""looking"",""start"":5.668,""end"":5.868,""score"":0.998},{""word"":""for"",""start"":5.909,""end"":6.009,""score"":0.829},{""word"":""new"",""start"":6.109,""end"":6.209,""score"":0.835},{""word"":""niche,"",""start"":6.269,""end"":6.53,""score"":0.743},{""word"":""high-end"",""start"":6.65,""end"":7.071,""score"":0.88},{""word"":""value-added"",""start"":7.091,""end"":7.632,""score"":0.59},{""word"":""products."",""start"":7.652,""end"":8.113,""score"":0.986}]",0.0,0.0,23,1.0,1.0,1.0,1.0,0.30434782608695654,1.0,21,1.0,0.20446286900368993,0.5203321033210324,0.1423410977859776,0.25192873616236167,0.18200576568265614,0.36230984778597763,0.9130434782608695
-3nNcZdcdvU$_$5,-3nNcZdcdvU,ok,NONCOMPLIANCE CAN RESULT IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,NONCOMPLIANCE CAN RESOLVE IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,"[{""word"":""Noncompliance"",""start"":0.582,""end"":1.565,""score"":0.945},{""word"":""can"",""start"":1.665,""end"":1.905,""score"":1.0},{""word"":""resolve"",""start"":2.006,""end"":2.547,""score"":0.655},{""word"":""in"",""start"":2.667,""end"":2.747,""score"":0.834},{""word"":""legal"",""start"":2.827,""end"":3.108,""score"":0.937},{""word"":""liability"",""start"":3.168,""end"":3.87,""score"":0.968},{""word"":""to"",""start"":3.97,""end"":4.171,""score"":1.0},{""word"":""you"",""start"":4.291,""end"":4.531,""score"":1.0},{""word"":""and"",""start"":5.073,""end"":5.173,""score"":0.964},{""word"":""to"",""start"":5.253,""end"":5.373,""score"":0.999},{""word"":""the"",""start"":5.413,""end"":5.494,""score"":0.835},{""word"":""school"",""start"":5.534,""end"":5.794,""score"":0.879},{""word"":""district"",""start"":5.834,""end"":6.155,""score"":0.874},{""word"":""in"",""start"":6.215,""end"":6.255,""score"":0.996},{""word"":""which"",""start"":6.296,""end"":6.456,""score"":0.976},{""word"":""you"",""start"":6.496,""end"":6.596,""score"":1.0},{""word"":""are"",""start"":6.676,""end"":6.777,""score"":0.833},{""word"":""employed."",""start"":6.817,""end"":7.258,""score"":1.0}]",0.05555555555555555,0.03488372093023256,17,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8947368421052632,0.16666666666666666,1.0,17,0.9444444444444444,0.20399238119834706,0.48151361053719005,0.13181598657024818,0.2760139204545448,0.2079770144628098,0.3172061983471074,1.0
-571d8cVauQ$_$0,-571d8cVauQ,ok,THIS IS RHETT REIGER WHITE CASPIAN STUDIOS ON BEHALF OF EXPERT VILLAGE,THIS IS RHETT RIGER WHITE CASPIAN STUDIOS ON BEHALF OF EXPERT VILLAGE,"[{""word"":""This"",""start"":1.078,""end"":1.179,""score"":0.205},{""word"":""is"",""start"":1.239,""end"":1.299,""score"":0.463},{""word"":""Rhett"",""start"":1.339,""end"":1.52,""score"":0.769},{""word"":""Riger,"",""start"":1.56,""end"":1.922,""score"":0.851},{""word"":""White"",""start"":1.962,""end"":2.143,""score"":0.904},{""word"":""Caspian"",""start"":2.163,""end"":2.605,""score"":0.781},{""word"":""Studios,"",""start"":2.645,""end"":3.087,""score"":0.993},{""word"":""on"",""start"":3.167,""end"":3.248,""score"":0.753},{""word"":""behalf"",""start"":3.268,""end"":3.569,""score"":0.908},{""word"":""of"",""start"":3.609,""end"":3.669,""score"":0.998},{""word"":""Expert"",""start"":3.75,""end"":4.071,""score"":0.946},{""word"":""Village."",""start"":4.111,""end"":4.433,""score"":0.986}]",0.08333333333333333,0.01694915254237288,11,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,0.4166666666666667,1.0,11,0.9166666666666666,0.18105221774193536,0.21438770161290321,0.10771673387096792,0.1943877016129032,0.1637997983870969,0.2137330645161284,1.0
-571d8cVauQ$_$5,-571d8cVauQ,ok,SO VERY IMPORTANT TO GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'RE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLITZ ON THERE AND LET EVERYBODY KNOWS THIS IS A VERY VALUABLE SPOT,SO IT'S VERY IMPORTANT TO GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'RE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLITZ ON THERE AND LET EVERYBODY KNOW THIS IS A VERY VALUABLE SPOT THIS IS GOING,"[{""word"":""So"",""start"":0.158,""end"":0.198,""score"":0.14},{""word"":""it's"",""start"":0.478,""end"":0.719,""score"":0.32},{""word"":""very"",""start"":0.759,""end"":0.979,""score"":0.913},{""word"":""important"",""start"":1.019,""end"":1.359,""score"":1.0},{""word"":""to"",""start"":1.399,""end"":1.48,""score"":0.998},{""word"":""go"",""start"":1.6,""end"":1.78,""score"":0.926},{""word"":""out"",""start"":1.92,""end"":2.06,""score"":0.838},{""word"":""to"",""start"":2.461,""end"":2.621,""score"":1.0},{""word"":""the"",""start"":2.661,""end"":2.721,""score"":0.986},{""word"":""locations,"",""start"":2.801,""end"":3.382,""score"":0.923},{""word"":""walk"",""start"":3.802,""end"":4.062,""score"":0.969},{""word"":""around,"",""start"":4.123,""end"":4.483,""score"":0.932},{""word"":""talk"",""start"":4.723,""end"":4.964,""score"":1.0},{""word"":""with"",""start"":5.004,""end"":5.104,""score"":0.886},{""word"":""the"",""start"":5.144,""end"":5.224,""score"":1.0},{""word"":""owners"",""start"":5.324,""end"":5.564,""score"":0.972},{""word"":""if"",""start"":5.644,""end"":5.704,""score"":1.0},{""word"":""you"",""start"":5.744,""end"":5.845,""score"":0.957},{""word"":""can,"",""start"":5.885,""end"":6.145,""score"":0.853},{""word"":""tell"",""start"":6.465,""end"":6.665,""score"":0.877},{""word"":""them"",""start"":6.685,""end"":6.806,""score"":0.999},{""word"":""what"",""start"":6.846,""end"":6.966,""score"":0.958},{""word"":""you're"",""start"":6.986,""end"":7.166,""score"":0.889},{""word"":""doing,"",""start"":7.186,""end"":7.406,""score"":0.872},{""word"":""build"",""start"":7.707,""end"":7.927,""score"":0.813},{""word"":""a"",""start"":7.967,""end"":8.007,""score"":0.504},{""word"":""little"",""start"":8.047,""end"":8.267,""score"":0.968},{""word"":""excitement,"",""start"":8.327,""end"":8.848,""score"":0.911},{""word"":""put"",""start"":9.429,""end"":9.549,""score"":0.788},{""word"":""a"",""start"":9.569,""end"":9.589,""score"":0.996},{""word"":""little"",""start"":9.629,""end"":9.809,""score"":0.932},{""word"":""glitz"",""start"":9.849,""end"":10.169,""score"":0.976},{""word"":""on"",""start"":10.29,""end"":10.39,""score"":0.833},{""word"":""there,"",""start"":10.41,""end"":10.63,""score"":0.919},{""word"":""and"",""start"":11.251,""end"":11.351,""score"":0.96},{""word"":""let"",""start"":11.551,""end"":11.691,""score"":0.959},{""word"":""everybody"",""start"":11.731,""end"":12.072,""score"":0.886},{""word"":""know"",""start"":12.112,""end"":12.292,""score"":0.917},{""word"":""this"",""start"":12.732,""end"":12.913,""score"":0.99},{""word"":""is"",""start"":12.993,""end"":13.073,""score"":1.0},{""word"":""a"",""start"":13.153,""end"":13.193,""score"":1.0},{""word"":""very"",""start"":13.333,""end"":13.573,""score"":0.931},{""word"":""valuable"",""start"":13.693,""end"":14.194,""score"":0.938},{""word"":""spot,"",""start"":14.254,""end"":14.574,""score"":0.938},{""word"":""this"",""start"":14.634,""end"":14.815,""score"":0.951},{""word"":""is"",""start"":14.875,""end"":14.935,""score"":0.903},{""word"":""going"",""start"":14.975,""end"":15.095,""score"":0.553}]",0.11627906976744186,0.08839779005524862,42,0.8936170212765957,0.9767441860465116,0.9333333333333332,0.875,0.11627906976744186,1.0,42,0.9767441860465116,0.2056908174097667,0.505202547770702,0.1656908174097662,0.3041769108280259,0.19121098726114671,0.355932470806795,1.0
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,ok,MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZE THAT GOSH THEY WASTED A LOT OF TIME AND MONEY IN PLACING BETS ON STOCK THAT'S ULTIMATELY LOST VALUE,AWARE OF MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZE THAT GOSH THEY'VE WASTED A LOT OF TIME AND MONEY IN PLACING BETS ON STOCK THAT'S ULTIMATELY LOST VALUE,"[{""word"":""aware"",""start"":0.08,""end"":0.341,""score"":0.969},{""word"":""of,"",""start"":0.381,""end"":0.461,""score"":0.982},{""word"":""many"",""start"":0.521,""end"":0.721,""score"":0.936},{""word"":""people"",""start"":0.761,""end"":1.022,""score"":0.926},{""word"":""are"",""start"":1.062,""end"":1.142,""score"":0.935},{""word"":""not"",""start"":1.242,""end"":1.523,""score"":0.989},{""word"":""until"",""start"":1.583,""end"":1.843,""score"":0.884},{""word"":""they"",""start"":1.863,""end"":1.984,""score"":0.999},{""word"":""get"",""start"":2.024,""end"":2.204,""score"":0.784},{""word"":""to"",""start"":2.244,""end"":2.344,""score"":0.985},{""word"":""be"",""start"":2.384,""end"":2.565,""score"":0.808},{""word"":""a"",""start"":2.645,""end"":2.705,""score"":0.667},{""word"":""older"",""start"":3.326,""end"":3.566,""score"":0.975},{""word"":""age"",""start"":3.787,""end"":3.947,""score"":0.989},{""word"":""and"",""start"":4.007,""end"":4.087,""score"":0.88},{""word"":""they"",""start"":4.127,""end"":4.268,""score"":0.891},{""word"":""realize"",""start"":4.328,""end"":4.789,""score"":0.85},{""word"":""that,"",""start"":4.809,""end"":4.989,""score"":0.893},{""word"":""gosh,"",""start"":5.069,""end"":5.61,""score"":0.921},{""word"":""they've"",""start"":5.75,""end"":5.951,""score"":0.909},{""word"":""wasted"",""start"":6.011,""end"":6.331,""score"":0.922},{""word"":""a"",""start"":6.351,""end"":6.391,""score"":0.499},{""word"":""lot"",""start"":6.431,""end"":6.592,""score"":0.847},{""word"":""of"",""start"":6.612,""end"":6.672,""score"":0.748},{""word"":""time"",""start"":6.732,""end"":7.093,""score"":1.0},{""word"":""and"",""start"":7.153,""end"":7.253,""score"":0.336},{""word"":""money"",""start"":7.333,""end"":8.736,""score"":0.946},{""word"":""in"",""start"":8.976,""end"":9.076,""score"":0.862},{""word"":""placing"",""start"":9.297,""end"":9.637,""score"":1.0},{""word"":""bets"",""start"":9.697,""end"":9.958,""score"":0.89},{""word"":""on"",""start"":10.038,""end"":10.118,""score"":0.836},{""word"":""stock"",""start"":10.178,""end"":10.479,""score"":1.0},{""word"":""that's"",""start"":10.519,""end"":10.739,""score"":0.811},{""word"":""ultimately"",""start"":10.899,""end"":11.38,""score"":0.976},{""word"":""lost"",""start"":11.46,""end"":11.741,""score"":1.0},{""word"":""value."",""start"":11.841,""end"":12.242,""score"":0.904}]",0.08823529411764706,0.07352941176470588,33,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.8918918918918919,0.11764705882352941,1.0,33,0.9705882352941176,0.21448110831234324,0.39065642317380417,0.1526246851385391,0.33865088161209134,0.20440554156171342,0.329694458438288,1.0
-9y-fZ3swSY$_$0,-9y-fZ3swSY,ok,IS YOU CAN SAY HEY I REALLY LIKE BABY SKIN THEY ARE SO SOFT THEY DON T HAVE ANY HAIR ON THEIR FACE,YOU CAN SAY HEY YOU KNOW WHAT I REALLY LIKE BABY'S SKIN THEY ARE SO SOFT THEY DON'T HAVE ANY HAIR ON THEIR FACE IT'S SO NICE,"[{""word"":""you"",""start"":0.195,""end"":0.255,""score"":0.105},{""word"":""can"",""start"":0.295,""end"":0.415,""score"":0.424},{""word"":""say,"",""start"":0.455,""end"":0.676,""score"":0.922},{""word"":""hey"",""start"":0.777,""end"":1.078,""score"":0.891},{""word"":""you"",""start"":1.439,""end"":1.519,""score"":0.969},{""word"":""know"",""start"":1.539,""end"":1.619,""score"":0.0},{""word"":""what"",""start"":1.639,""end"":1.76,""score"":0.366},{""word"":""I"",""start"":1.92,""end"":1.981,""score"":0.892},{""word"":""really"",""start"":2.041,""end"":2.302,""score"":0.961},{""word"":""like"",""start"":2.422,""end"":2.703,""score"":0.959},{""word"":""baby's"",""start"":2.984,""end"":3.345,""score"":0.878},{""word"":""skin,"",""start"":3.365,""end"":3.666,""score"":0.72},{""word"":""they"",""start"":3.686,""end"":3.767,""score"":1.0},{""word"":""are"",""start"":3.787,""end"":3.867,""score"":0.526},{""word"":""so"",""start"":3.907,""end"":4.068,""score"":1.0},{""word"":""soft,"",""start"":4.289,""end"":4.63,""score"":0.999},{""word"":""they"",""start"":4.65,""end"":4.75,""score"":0.996},{""word"":""don't"",""start"":4.77,""end"":4.951,""score"":0.764},{""word"":""have"",""start"":5.031,""end"":5.272,""score"":0.876},{""word"":""any"",""start"":5.332,""end"":5.473,""score"":0.999},{""word"":""hair"",""start"":5.533,""end"":5.733,""score"":0.729},{""word"":""on"",""start"":5.774,""end"":5.834,""score"":0.838},{""word"":""their"",""start"":5.854,""end"":5.994,""score"":0.836},{""word"":""face,"",""start"":6.035,""end"":6.295,""score"":0.925},{""word"":""it's"",""start"":6.336,""end"":6.476,""score"":0.851},{""word"":""so"",""start"":6.536,""end"":6.576,""score"":0.498},{""word"":""nice."",""start"":6.596,""end"":6.717,""score"":0.297}]",0.43478260869565216,0.34210526315789475,19,0.7037037037037037,0.8260869565217391,0.76,0.6129032258064516,0.5,0.9545454545454546,18,0.8181818181818182,0.23181190476190494,0.4145019047619044,0.1607595238095235,0.2729304761904761,0.1918982142857144,0.3337428571428571,1.0
-9y-fZ3swSY$_$4,-9y-fZ3swSY,ok,I VE SEEN THIS IN US OR IN THE US,I'VE SEEN THIS IN US OR IN THE US,"[{""word"":""I've"",""start"":0.33,""end"":0.532,""score"":0.734},{""word"":""seen"",""start"":0.552,""end"":0.733,""score"":0.964},{""word"":""this"",""start"":0.753,""end"":0.934,""score"":0.914},{""word"":""in"",""start"":1.035,""end"":1.115,""score"":0.684},{""word"":""US"",""start"":1.236,""end"":1.538,""score"":0.816},{""word"":""or"",""start"":1.82,""end"":1.9,""score"":0.938},{""word"":""in"",""start"":1.961,""end"":2.021,""score"":0.88},{""word"":""the"",""start"":2.041,""end"":2.162,""score"":0.947},{""word"":""US."",""start"":2.262,""end"":2.564,""score"":0.868}]",0.2,0.041666666666666664,8,0.8888888888888888,0.8,0.8421052631578948,0.7272727272727273,0.2222222222222222,1.0,8,0.8888888888888888,0.2023517530487806,0.30302797256097574,0.12634717987804894,0.20012614329268297,0.1681735899390244,0.227367111280488,1.0
