sample_id,first_pts_difference_s,terminal_difference_s
-3g5yACwYnA$_$13,0.0,-0.1009070294784582
-3g5yACwYnA$_$2,0.0,-0.1353741496598637
-3g5yACwYnA$_$3,0.0,-0.038798185941042
-3g5yACwYnA$_$9,0.0,-0.1038548752834458
-3nNcZdcdvU$_$5,0.0,-0.078095238095238
-571d8cVauQ$_$0,0.0,-0.1743764172335602
-571d8cVauQ$_$5,0.0,-0.1514058956916084
-6rXp3zJ3kc$_$8,0.0,-0.0620181405895667
-9y-fZ3swSY$_$0,0.0,-0.1429931972789111
-9y-fZ3swSY$_$4,0.0,-0.135192743764172
-9y-fZ3swSY$_$8,0.0,-0.0496598639455783
-AUZQgSxyPQ$_$2,0.0,-0.0954648526077122
-HeZS2-Prhc$_$2,0.0,-0.0824716553287974
-HwX2H8Z4hY$_$2,0.0,-0.0508390022675731
-HwX2H8Z4hY$_$5,0.0,-0.0892970521541949
-HwX2H8Z4hY$_$6,0.0,-0.0773469387755096
-HwX2H8Z4hY$_$9,0.0,-0.097006802721089
-I_e4mIh0yE$_$1,0.0,-0.1556916099773237
-I_e4mIh0yE$_$3,0.0,-0.1389569160997723
-MeTTeMJBNc$_$0,0.0,-0.1150113378684807
-MeTTeMJBNc$_$13,0.0,-0.1444897959183668
-MeTTeMJBNc$_$7,0.0,-0.0886848072562358
-NFrJFQijFE$_$1,0.0,-0.0611337868480736
-NFrJFQijFE$_$2,0.0,-0.141678004535148
-RfYyzHpjk4$_$11,0.0,-0.1584807256235834
-RfYyzHpjk4$_$2,0.0,-0.1081859410430841
-RfYyzHpjk4$_$8,0.0,-0.0343083900226757
-THoVjtIkeU$_$12,0.0,-0.0611337868480728
-THoVjtIkeU$_$2,0.0,-0.0358049886621314
-THoVjtIkeU$_$6,0.0,-0.0837868480725623
-UUCSKoHeMA$_$0,0.0,-0.1344217687074831
-UacrmKiTn4$_$10,0.0,-0.0912925170068028
-UacrmKiTn4$_$4,0.0,-0.0514058956916105
-UuX1xuaiiE$_$0,0.0,-0.1241269841269838
-UuX1xuaiiE$_$1,0.0,-0.0658503401360537
-UuX1xuaiiE$_$3,0.0,-0.0616326530612241
