sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-3g5yACwYnA$_$13,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,137,0.3138523681450059,0.2,24,0.2547226597723872,0.420110428497886,0.625,0.4,1,
-3g5yACwYnA$_$2,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,232,0.2435121598488699,0.08,26,0.1205817243178698,0.2294802142515057,1.0,0.037037037037037,1,
-3g5yACwYnA$_$3,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,360,0.1398063117165957,0.08,26,0.1128092411883986,0.2500345643265934,0.5769230769230769,0.4444444444444444,1,
-3g5yACwYnA$_$9,-3g5yACwYnA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,219,0.2472157428696161,0.04,26,0.0970982428295445,0.265793210348704,0.8076923076923077,0.2222222222222222,1,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,197,0.3463617362889785,0.04,26,0.1965508388340178,0.323229744071153,0.9615384615384616,0.074074074074074,1,
-571d8cVauQ$_$0,-571d8cVauQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,119,0.4797000862959076,-0.2,25,0.2457663202532654,0.4344179910460992,1.0,0.0384615384615384,1,
-571d8cVauQ$_$5,-571d8cVauQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,380,0.3434544219045808,-0.2,26,0.0912511385640681,0.2799952293570736,1.0,0.037037037037037,1,
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,320,0.404754943639852,0.0,26,0.1350670916490362,0.2864930178057902,1.0,0.037037037037037,1,
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,172,0.2255294801470543,-0.16,26,0.1800253174975158,0.3721104433200463,0.6923076923076923,0.3333333333333333,1,
-9y-fZ3swSY$_$4,-9y-fZ3swSY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,67,0.2700366878921405,-0.2,26,0.1334515035949879,0.6841091532529974,0.8076923076923077,0.2222222222222222,1,
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,108,0.0622741707803151,-0.2,25,0.0864286004844759,0.357013792278415,0.48,0.5384615384615384,1,
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,562,0.2438133501937754,0.08,26,0.076831664121602,0.1565587670613147,1.0,0.037037037037037,1,
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,205,0.1399552453440388,0.2,26,0.1057931368135652,0.2691415625703996,0.8076923076923077,0.2222222222222222,1,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,2,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,1,"[""0:1""]",mouth_landmarks_62_66_over_48_54,18,0.1010935984212882,0.0,24,0.2019320331494266,0.727539486872649,0.25,0.76,1,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,"[""0:0"",""0:1"",""0:2"",""0:3""]",mouth_landmarks_62_66_over_48_54,12,0.9058576601073952,-0.12,23,0.5919903380018747,0.9165123120518136,0.8695652173913043,0.1666666666666666,1,
