sample_id,video_id,episode_key,face_id,episode_id,start,end,frame_count,selected_frame_count,valid_embedding_count,robust_retained_count,dispersion,failures_json
-3g5yACwYnA$_$13,-3g5yACwYnA,0:0,0,0,0.0,5.5,137,12,12,10,0.0114178955554962,[]
-3g5yACwYnA$_$2,-3g5yACwYnA,0:0,0,0,0.0,9.366666666666667,232,12,12,10,0.0141179859638214,[]
-3g5yACwYnA$_$3,-3g5yACwYnA,0:0,0,0,0.0,14.366666666666667,360,12,12,10,0.009594440460205,[]
-3g5yACwYnA$_$9,-3g5yACwYnA,0:0,0,0,0.0,8.733333333333333,219,12,12,10,0.0130339264869689,[]
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0:0,0,0,0.0,7.866666666666666,197,12,12,10,0.0544269382953643,[]
-571d8cVauQ$_$0,-571d8cVauQ,0:0,0,0,0.3,5.166666666666666,119,12,12,10,0.0821080207824707,[]
-571d8cVauQ$_$5,-571d8cVauQ,0:0,0,0,0.0,15.266666666666666,380,12,12,10,0.0869884490966796,[]
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0:0,0,0,0.0,12.766666666666666,320,12,12,10,0.0493338108062744,[]
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0:0,0,0,0.0,6.9,172,12,12,10,0.0871476829051971,[]
-9y-fZ3swSY$_$4,-9y-fZ3swSY,0:0,0,0,0.0,2.6666666666666665,67,12,12,10,0.1083990931510925,[]
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0:0,0,0,0.0,3.2666666666666666,78,12,12,10,0.1295833587646484,[]
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0:1,0,1,3.633333333333333,4.933333333333334,30,12,12,10,0.0904529392719268,[]
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,0:0,0,0,0.0,22.5,562,12,12,10,0.0334214866161346,[]
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0:0,0,0,0.0,8.233333333333333,205,12,12,10,0.0937821567058563,[]
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0:0,0,0,2.8666666666666667,2.9,1,1,1,1,0.0,[]
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0:1,0,1,3.2666666666666666,3.9666666666666655,18,12,12,10,0.0280729830265045,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:0,0,0,0.0333333333333333,0.0666666666666665,1,1,1,1,0.0,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:1,0,1,0.7333333333333333,0.8333333333333333,2,2,2,2,0.0099478363990783,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:2,0,2,1.3,1.5666666666666664,7,7,7,6,0.037350982427597,[]
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0:3,0,3,5.466666666666667,5.633333333333333,2,2,2,2,0.0297610163688659,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:0,0,0,0.4,0.5333333333333333,2,1,1,1,0.0,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:1,0,1,1.0,1.4666666666666666,8,7,7,6,0.0197753012180328,[]
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0:2,0,2,3.2,3.2666666666666666,2,2,2,2,0.0078705251216888,[]
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0:0,0,0,0.0,1.1333333333333333,29,12,12,10,0.0719077587127685,[]
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0:1,0,1,3.2333333333333334,5.766666666666667,63,12,12,10,0.1092017292976379,[]
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0:2,0,2,6.4,7.633333333333333,31,12,12,10,0.0511347949504852,[]
-I_e4mIh0yE$_$1,-I_e4mIh0yE,0:0,0,0,0.0,7.466666666666667,187,12,12,10,0.0512189865112304,[]
-I_e4mIh0yE$_$3,-I_e4mIh0yE,0:0,0,0,0.0,9.133333333333333,226,12,12,10,0.0386492609977722,[]
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0:0,0,0,0.3,0.3666666666666665,2,2,2,2,0.0120903551578521,[]
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0:1,0,1,0.4,9.333333333333334,223,12,12,10,0.0949237346649169,[]
-MeTTeMJBNc$_$13,-MeTTeMJBNc,0:0,0,0,0.0,5.266666666666667,132,12,12,10,0.0974310040473938,[]
-MeTTeMJBNc$_$7,-MeTTeMJBNc,0:0,0,0,0.0,10.5,262,12,12,10,0.1237328052520752,[]
-MeTTeMJBNc$_$7,-MeTTeMJBNc,1:1,1,1,3.0,3.1666666666666665,5,5,5,4,0.014549434185028,[]
-RfYyzHpjk4$_$11,-RfYyzHpjk4,0:0,0,0,0.0,5.233333333333333,129,12,12,10,0.0386238992214202,[]
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0:0,0,0,0.0,2.7666666666666666,70,12,12,10,0.0476089715957641,[]
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1:1,1,1,0.9333333333333332,0.9666666666666666,1,1,1,1,0.0,[]
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1:2,1,2,2.8666666666666667,5.5,65,12,12,10,0.0575776398181915,[]
-RfYyzHpjk4$_$8,-RfYyzHpjk4,0:0,0,0,0.0,4.566666666666666,114,12,12,10,0.062211126089096,[]
-THoVjtIkeU$_$12,-THoVjtIkeU,0:0,0,0,0.0,14.866666666666667,371,12,12,10,0.1085936725139617,[]
-THoVjtIkeU$_$2,-THoVjtIkeU,0:0,0,0,0.0,4.266666666666667,107,12,12,10,0.0934706330299377,[]
-THoVjtIkeU$_$6,-THoVjtIkeU,0:0,0,0,0.0333333333333333,0.0666666666666665,1,1,1,1,0.0,[]
-THoVjtIkeU$_$6,-THoVjtIkeU,0:1,0,1,0.0666666666666666,0.0999999999999998,1,1,1,1,0.0,[]
-THoVjtIkeU$_$6,-THoVjtIkeU,0:2,0,2,0.1,0.1333333333333332,1,1,1,1,0.0,[]
-THoVjtIkeU$_$6,-THoVjtIkeU,0:3,0,3,0.2,0.2666666666666665,2,2,2,2,0.0002785921096801,[]
-THoVjtIkeU$_$6,-THoVjtIkeU,0:4,0,4,0.2666666666666666,8.066666666666666,194,12,12,10,0.11542409658432,[]
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0:0,0,0,0.3,7.866666666666666,187,12,12,10,0.0930781960487365,[]
-UacrmKiTn4$_$10,-UacrmKiTn4,0:0,0,0,0.0,7.333333333333333,182,12,12,10,0.1011501252651214,[]
-UacrmKiTn4$_$4,-UacrmKiTn4,0:0,0,0,0.0,4.733333333333333,119,12,12,10,0.0758774876594543,[]
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0:0,0,0,0.0,1.7666666666666666,45,12,12,10,0.0178432464599609,[]
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0:1,0,1,2.2333333333333334,3.7,36,12,12,10,0.013767272233963,[]
-UuX1xuaiiE$_$0,-UuX1xuaiiE,1:2,1,2,1.9,3.7,44,12,12,10,0.0158235430717468,[]
-UuX1xuaiiE$_$0,-UuX1xuaiiE,2:3,2,3,1.9,3.7,44,12,12,10,0.0098079144954681,[]
-UuX1xuaiiE$_$0,-UuX1xuaiiE,3:4,3,4,1.9,3.7,44,12,12,10,0.0146675109863281,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0:0,0,0,0.0,4.166666666666666,105,12,12,10,0.0240444540977478,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0:1,0,1,4.466666666666667,9.833333333333334,134,12,12,10,0.0185253918170928,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0:2,0,2,10.233333333333333,10.333333333333334,2,2,2,2,0.0028244853019714,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1:3,1,3,0.0,4.366666666666666,109,12,12,10,0.0195086002349853,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1:4,1,4,4.833333333333333,9.833333333333334,125,12,12,10,0.0365144610404968,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2:5,2,5,0.0,4.166666666666666,105,12,12,10,0.0149989128112792,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2:6,2,6,4.466666666666667,9.833333333333334,134,12,12,10,0.0303739011287689,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3:7,3,7,0.0,4.166666666666666,105,12,12,10,0.0218605995178222,[]
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3:8,3,8,4.466666666666667,9.833333333333334,134,12,12,10,0.0340347588062286,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0:0,0,0,0.0,1.2333333333333334,28,12,12,10,0.0611079931259155,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0:1,0,1,3.8333333333333335,4.1,7,7,7,6,0.0275253653526306,[]
-UuX1xuaiiE$_$3,-UuX1xuaiiE,1:2,1,2,0.6333333333333333,3.6666666666666665,76,12,12,10,0.0265747904777526,[]
-UuX1xuaiiE$_$6,-UuX1xuaiiE,0:0,0,0,0.0,0.1666666666666665,5,5,5,4,0.0016475021839141,[]
-UuX1xuaiiE$_$6,-UuX1xuaiiE,1:1,1,1,0.3333333333333333,8.1,192,12,12,10,0.0265385210514068,[]
-a55Q6RWvTA$_$3,-a55Q6RWvTA,0:0,0,0,0.0,22.133333333333333,554,12,12,10,0.045777142047882,[]
-aNfi7CP8vM$_$7,-aNfi7CP8vM,0:0,0,0,0.0,8.666666666666666,215,12,12,10,0.0865419805049896,[]
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0:0,0,0,0.0,10.933333333333334,274,12,12,10,0.0665668249130249,[]
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0:0,0,0,4.5,20.53333333333333,400,12,12,10,0.090948075056076,[]
-dxfTGcXJoc$_$1,-dxfTGcXJoc,0:0,0,0,0.0,16.133333333333333,401,12,12,10,0.0869590640068054,[]
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1:1,1,1,16.03333333333333,16.133333333333333,2,2,2,2,0.0026267766952514,[]
-dxfTGcXJoc$_$2,-dxfTGcXJoc,0:0,0,0,0.0,16.666666666666664,417,12,12,10,0.0759141147136688,[]
-dxfTGcXJoc$_$6,-dxfTGcXJoc,0:0,0,0,0.0,12.433333333333334,311,12,12,10,0.0849955976009368,[]
-dxfTGcXJoc$_$6,-dxfTGcXJoc,1:1,1,1,12.466666666666669,12.733333333333333,6,6,6,5,0.004723846912384,[]
-egA8-b7-3M$_$1,-egA8-b7-3M,0:0,0,0,0.0,10.233333333333333,256,12,12,10,0.0679593980312347,[]
-egA8-b7-3M$_$13,-egA8-b7-3M,0:0,0,0,0.0,4.166666666666666,103,12,12,10,0.0748499929904937,[]
-egA8-b7-3M$_$16,-egA8-b7-3M,0:0,0,0,0.0,5.533333333333333,139,12,12,10,0.0523838996887207,[]
-egA8-b7-3M$_$17,-egA8-b7-3M,0:0,0,0,0.0,7.266666666666667,180,12,12,10,0.0674927532672882,[]
-egA8-b7-3M$_$18,-egA8-b7-3M,0:0,0,0,0.0,8.366666666666667,209,12,12,10,0.0545203983783721,[]
-egA8-b7-3M$_$20,-egA8-b7-3M,0:0,0,0,0.0,6.633333333333333,164,12,12,10,0.0582749545574188,[]
-egA8-b7-3M$_$26,-egA8-b7-3M,0:0,0,0,0.0,5.933333333333334,149,12,12,10,0.0704611837863922,[]
-egA8-b7-3M$_$6,-egA8-b7-3M,0:0,0,0,0.0,6.233333333333333,156,12,12,10,0.053569883108139,[]
-egA8-b7-3M$_$9,-egA8-b7-3M,0:0,0,0,0.0,5.066666666666666,125,12,12,10,0.0651940703392028,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:0,0,0,0.0,0.7924555555555554,19,12,12,10,0.0886494219303131,[]
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0:1,0,1,1.334666666666667,3.4200777777777778,43,12,12,10,0.0930201709270477,[]
