sample_id,reference_words,wer,error,count,rate
-3g5yACwYnA$_$13,15,0.4,substitutions,1,0.06666666666666667
-3g5yACwYnA$_$2,14,0.6428571428571429,substitutions,1,0.07142857142857142
-3g5yACwYnA$_$3,29,0.3103448275862069,substitutions,3,0.10344827586206896
-3g5yACwYnA$_$9,23,0.3043478260869565,substitutions,2,0.08695652173913043
-3nNcZdcdvU$_$5,18,0.1666666666666666,substitutions,2,0.1111111111111111
-571d8cVauQ$_$0,12,0.4166666666666667,substitutions,4,0.3333333333333333
-571d8cVauQ$_$5,43,0.1162790697674418,substitutions,2,0.046511627906976744
-6rXp3zJ3kc$_$8,34,0.1176470588235294,substitutions,2,0.058823529411764705
-9y-fZ3swSY$_$0,22,0.5,substitutions,6,0.2727272727272727
-9y-fZ3swSY$_$4,9,0.2222222222222222,substitutions,2,0.2222222222222222
-9y-fZ3swSY$_$8,12,0.0833333333333333,substitutions,0,0.0
-AUZQgSxyPQ$_$2,41,0.4390243902439024,substitutions,17,0.4146341463414634
-HeZS2-Prhc$_$2,16,0.625,substitutions,4,0.25
-HwX2H8Z4hY$_$2,7,0.4285714285714285,substitutions,1,0.14285714285714285
-HwX2H8Z4hY$_$5,9,0.2222222222222222,substitutions,2,0.2222222222222222
-HwX2H8Z4hY$_$6,7,0.2857142857142857,substitutions,1,0.14285714285714285
-HwX2H8Z4hY$_$9,22,0.8181818181818182,substitutions,12,0.5454545454545454
-I_e4mIh0yE$_$1,18,0.1111111111111111,substitutions,0,0.0
-I_e4mIh0yE$_$3,22,0.4090909090909091,substitutions,4,0.18181818181818182
-MeTTeMJBNc$_$0,21,0.0952380952380952,substitutions,1,0.047619047619047616
-MeTTeMJBNc$_$13,14,0.0714285714285714,substitutions,0,0.0
-MeTTeMJBNc$_$7,31,0.032258064516129,substitutions,1,0.03225806451612903
-NFrJFQijFE$_$1,16,1.0,substitutions,0,0.0
-NFrJFQijFE$_$2,18,1.0,substitutions,9,0.5
-RfYyzHpjk4$_$11,17,0.3529411764705882,substitutions,4,0.23529411764705882
-RfYyzHpjk4$_$2,25,0.4,substitutions,6,0.24
-RfYyzHpjk4$_$8,17,0.1764705882352941,substitutions,2,0.11764705882352941
-THoVjtIkeU$_$12,39,0.1025641025641025,substitutions,2,0.05128205128205128
-THoVjtIkeU$_$2,10,0.2,substitutions,2,0.2
-THoVjtIkeU$_$6,30,0.1333333333333333,substitutions,1,0.03333333333333333
-UUCSKoHeMA$_$0,18,0.3333333333333333,substitutions,3,0.16666666666666666
-UacrmKiTn4$_$10,18,0.1111111111111111,substitutions,0,0.0
-UacrmKiTn4$_$4,14,0.3571428571428571,substitutions,2,0.14285714285714285
-UuX1xuaiiE$_$0,9,0.2222222222222222,substitutions,1,0.1111111111111111
-UuX1xuaiiE$_$1,27,0.2962962962962963,substitutions,5,0.18518518518518517
-UuX1xuaiiE$_$3,9,0.4444444444444444,substitutions,2,0.2222222222222222
-UuX1xuaiiE$_$6,22,0.4545454545454545,substitutions,6,0.2727272727272727
-a55Q6RWvTA$_$3,65,0.1538461538461538,substitutions,7,0.1076923076923077
-aNfi7CP8vM$_$7,18,0.3888888888888889,substitutions,1,0.05555555555555555
-aqamKhZ1Ec$_$0,14,1.0714285714285714,substitutions,3,0.21428571428571427
-dxfTGcXJoc$_$0,45,0.3555555555555555,substitutions,12,0.26666666666666666
-dxfTGcXJoc$_$1,36,0.0833333333333333,substitutions,3,0.08333333333333333
-dxfTGcXJoc$_$2,35,0.0857142857142857,substitutions,3,0.08571428571428572
-dxfTGcXJoc$_$6,28,0.1071428571428571,substitutions,2,0.07142857142857142
-egA8-b7-3M$_$1,26,0.4615384615384615,substitutions,4,0.15384615384615385
-egA8-b7-3M$_$13,11,0.0909090909090909,substitutions,1,0.09090909090909091
-egA8-b7-3M$_$16,11,0.0,substitutions,0,0.0
-egA8-b7-3M$_$17,16,0.0,substitutions,0,0.0
-egA8-b7-3M$_$18,22,0.0,substitutions,0,0.0
-egA8-b7-3M$_$20,20,0.0,substitutions,0,0.0
-egA8-b7-3M$_$26,15,0.2,substitutions,3,0.2
-egA8-b7-3M$_$6,12,0.0833333333333333,substitutions,1,0.08333333333333333
-egA8-b7-3M$_$9,10,0.0,substitutions,0,0.0
-hnBHBN8p5A$_$6,13,0.9230769230769232,substitutions,11,0.8461538461538461
-hnBHBN8p5A$_$7,13,1.2307692307692308,substitutions,13,1.0
-iRBcNs9oI8$_$3,8,1.75,substitutions,8,1.0
-iRBcNs9oI8$_$6,5,1.8,substitutions,5,1.0
-iRBcNs9oI8$_$7,9,1.2222222222222223,substitutions,9,1.0
-iRBcNs9oI8$_$8,21,1.0476190476190477,substitutions,21,1.0
-iRBcNs9oI8$_$9,5,1.0,substitutions,3,0.6
-lzEya4AM_4$_$5,19,0.1052631578947368,substitutions,1,0.05263157894736842
-lzEya4AM_4$_$6,43,0.0232558139534883,substitutions,1,0.023255813953488372
-mJ2ud6oKI8$_$1,13,1.0,substitutions,0,0.0
-mJ2ud6oKI8$_$2,11,1.0,substitutions,0,0.0
-mJ2ud6oKI8$_$6,5,1.4,substitutions,5,1.0
-mJ2ud6oKI8$_$8,11,1.2727272727272727,substitutions,11,1.0
-mJ2ud6oKI8$_$9,22,1.0909090909090908,substitutions,21,0.9545454545454546
-mqbVkbCndg$_$0,14,0.0,substitutions,0,0.0
-qDkUB0GgYY$_$6,16,0.5625,substitutions,4,0.25
-ri04Z7vwnc$_$0,8,1.0,substitutions,0,0.0
-ri04Z7vwnc$_$2,16,1.0,substitutions,4,0.25
-ri04Z7vwnc$_$5,8,1.875,substitutions,8,1.0
-s9qJ7ATP7w$_$0,24,0.2083333333333333,substitutions,4,0.16666666666666666
-s9qJ7ATP7w$_$1,11,0.4545454545454545,substitutions,1,0.09090909090909091
-s9qJ7ATP7w$_$4,9,0.4444444444444444,substitutions,0,0.0
-s9qJ7ATP7w$_$5,19,0.1578947368421052,substitutions,0,0.0
-s9qJ7ATP7w$_$6,5,0.4,substitutions,0,0.0
-s9qJ7ATP7w$_$7,28,0.5714285714285714,substitutions,7,0.25
-s9qJ7ATP7w$_$8,12,0.4166666666666667,substitutions,1,0.08333333333333333
-t217m2on-s$_$2,12,0.3333333333333333,substitutions,2,0.16666666666666666
-t217m2on-s$_$7,45,0.1555555555555555,substitutions,4,0.08888888888888889
-tANM6ETl_M$_$3,22,0.1363636363636363,substitutions,1,0.045454545454545456
-tPCytz4rww$_$10,12,0.3333333333333333,substitutions,1,0.08333333333333333
-tPCytz4rww$_$11,17,0.2941176470588235,substitutions,2,0.11764705882352941
-tPCytz4rww$_$12,26,0.2692307692307692,substitutions,2,0.07692307692307693
-tPCytz4rww$_$16,16,0.375,substitutions,4,0.25
-tPCytz4rww$_$18,16,0.1875,substitutions,0,0.0
-uywlfIYOS8$_$4,18,0.6111111111111112,substitutions,2,0.1111111111111111
-vxjVxOeScU$_$4,21,0.2857142857142857,substitutions,4,0.19047619047619047
-wMB_hJL-3o$_$7,22,0.0,substitutions,0,0.0
-wny0OAz3g8$_$0,9,0.2222222222222222,substitutions,0,0.0
-wny0OAz3g8$_$1,22,0.1818181818181818,substitutions,0,0.0
-wny0OAz3g8$_$2,23,0.2608695652173913,substitutions,2,0.08695652173913043
-wny0OAz3g8$_$3,20,0.15,substitutions,0,0.0
-wny0OAz3g8$_$5,20,0.35,substitutions,2,0.1
-wny0OAz3g8$_$7,29,0.2413793103448276,substitutions,3,0.10344827586206896
-wny0OAz3g8$_$9,20,0.15,substitutions,0,0.0
-yRb-Jum7EQ$_$1,49,1.2040816326530612,substitutions,44,0.8979591836734694
-yRb-Jum7EQ$_$5,25,1.2,substitutions,25,1.0
-yRb-Jum7EQ$_$6,19,1.263157894736842,substitutions,19,1.0
-3g5yACwYnA$_$13,15,0.4,deletions,1,0.06666666666666667
-3g5yACwYnA$_$2,14,0.6428571428571429,deletions,0,0.0
-3g5yACwYnA$_$3,29,0.3103448275862069,deletions,0,0.0
-3g5yACwYnA$_$9,23,0.3043478260869565,deletions,0,0.0
-3nNcZdcdvU$_$5,18,0.1666666666666666,deletions,0,0.0
-571d8cVauQ$_$0,12,0.4166666666666667,deletions,1,0.08333333333333333
-571d8cVauQ$_$5,43,0.1162790697674418,deletions,0,0.0
-6rXp3zJ3kc$_$8,34,0.1176470588235294,deletions,0,0.0
-9y-fZ3swSY$_$0,22,0.5,deletions,1,0.045454545454545456
-9y-fZ3swSY$_$4,9,0.2222222222222222,deletions,0,0.0
-9y-fZ3swSY$_$8,12,0.0833333333333333,deletions,0,0.0
-AUZQgSxyPQ$_$2,41,0.4390243902439024,deletions,0,0.0
-HeZS2-Prhc$_$2,16,0.625,deletions,0,0.0
-HwX2H8Z4hY$_$2,7,0.4285714285714285,deletions,2,0.2857142857142857
-HwX2H8Z4hY$_$5,9,0.2222222222222222,deletions,0,0.0
-HwX2H8Z4hY$_$6,7,0.2857142857142857,deletions,1,0.14285714285714285
-HwX2H8Z4hY$_$9,22,0.8181818181818182,deletions,0,0.0
-I_e4mIh0yE$_$1,18,0.1111111111111111,deletions,0,0.0
-I_e4mIh0yE$_$3,22,0.4090909090909091,deletions,0,0.0
-MeTTeMJBNc$_$0,21,0.0952380952380952,deletions,0,0.0
-MeTTeMJBNc$_$13,14,0.0714285714285714,deletions,0,0.0
-MeTTeMJBNc$_$7,31,0.032258064516129,deletions,0,0.0
-NFrJFQijFE$_$1,16,1.0,deletions,16,1.0
-NFrJFQijFE$_$2,18,1.0,deletions,9,0.5
-RfYyzHpjk4$_$11,17,0.3529411764705882,deletions,0,0.0
-RfYyzHpjk4$_$2,25,0.4,deletions,3,0.12
-RfYyzHpjk4$_$8,17,0.1764705882352941,deletions,1,0.058823529411764705
-THoVjtIkeU$_$12,39,0.1025641025641025,deletions,0,0.0
-THoVjtIkeU$_$2,10,0.2,deletions,0,0.0
-THoVjtIkeU$_$6,30,0.1333333333333333,deletions,2,0.06666666666666667
-UUCSKoHeMA$_$0,18,0.3333333333333333,deletions,0,0.0
-UacrmKiTn4$_$10,18,0.1111111111111111,deletions,0,0.0
-UacrmKiTn4$_$4,14,0.3571428571428571,deletions,0,0.0
-UuX1xuaiiE$_$0,9,0.2222222222222222,deletions,1,0.1111111111111111
-UuX1xuaiiE$_$1,27,0.2962962962962963,deletions,0,0.0
-UuX1xuaiiE$_$3,9,0.4444444444444444,deletions,0,0.0
-UuX1xuaiiE$_$6,22,0.4545454545454545,deletions,2,0.09090909090909091
-a55Q6RWvTA$_$3,65,0.1538461538461538,deletions,2,0.03076923076923077
-aNfi7CP8vM$_$7,18,0.3888888888888889,deletions,0,0.0
-aqamKhZ1Ec$_$0,14,1.0714285714285714,deletions,0,0.0
-dxfTGcXJoc$_$0,45,0.3555555555555555,deletions,0,0.0
-dxfTGcXJoc$_$1,36,0.0833333333333333,deletions,0,0.0
-dxfTGcXJoc$_$2,35,0.0857142857142857,deletions,0,0.0
-dxfTGcXJoc$_$6,28,0.1071428571428571,deletions,1,0.03571428571428571
-egA8-b7-3M$_$1,26,0.4615384615384615,deletions,4,0.15384615384615385
-egA8-b7-3M$_$13,11,0.0909090909090909,deletions,0,0.0
-egA8-b7-3M$_$16,11,0.0,deletions,0,0.0
-egA8-b7-3M$_$17,16,0.0,deletions,0,0.0
-egA8-b7-3M$_$18,22,0.0,deletions,0,0.0
-egA8-b7-3M$_$20,20,0.0,deletions,0,0.0
-egA8-b7-3M$_$26,15,0.2,deletions,0,0.0
-egA8-b7-3M$_$6,12,0.0833333333333333,deletions,0,0.0
-egA8-b7-3M$_$9,10,0.0,deletions,0,0.0
-hnBHBN8p5A$_$6,13,0.9230769230769232,deletions,1,0.07692307692307693
-hnBHBN8p5A$_$7,13,1.2307692307692308,deletions,0,0.0
-iRBcNs9oI8$_$3,8,1.75,deletions,0,0.0
-iRBcNs9oI8$_$6,5,1.8,deletions,0,0.0
-iRBcNs9oI8$_$7,9,1.2222222222222223,deletions,0,0.0
-iRBcNs9oI8$_$8,21,1.0476190476190477,deletions,0,0.0
-iRBcNs9oI8$_$9,5,1.0,deletions,2,0.4
-lzEya4AM_4$_$5,19,0.1052631578947368,deletions,1,0.05263157894736842
-lzEya4AM_4$_$6,43,0.0232558139534883,deletions,0,0.0
-mJ2ud6oKI8$_$1,13,1.0,deletions,13,1.0
-mJ2ud6oKI8$_$2,11,1.0,deletions,11,1.0
-mJ2ud6oKI8$_$6,5,1.4,deletions,0,0.0
-mJ2ud6oKI8$_$8,11,1.2727272727272727,deletions,0,0.0
-mJ2ud6oKI8$_$9,22,1.0909090909090908,deletions,0,0.0
-mqbVkbCndg$_$0,14,0.0,deletions,0,0.0
-qDkUB0GgYY$_$6,16,0.5625,deletions,0,0.0
-ri04Z7vwnc$_$0,8,1.0,deletions,8,1.0
-ri04Z7vwnc$_$2,16,1.0,deletions,12,0.75
-ri04Z7vwnc$_$5,8,1.875,deletions,0,0.0
-s9qJ7ATP7w$_$0,24,0.2083333333333333,deletions,1,0.041666666666666664
-s9qJ7ATP7w$_$1,11,0.4545454545454545,deletions,0,0.0
-s9qJ7ATP7w$_$4,9,0.4444444444444444,deletions,0,0.0
-s9qJ7ATP7w$_$5,19,0.1578947368421052,deletions,0,0.0
-s9qJ7ATP7w$_$6,5,0.4,deletions,0,0.0
-s9qJ7ATP7w$_$7,28,0.5714285714285714,deletions,5,0.17857142857142858
