group,sample_count,version,text_observed_fraction,audio_observed_fraction,vision_observed_fraction,trimodal_observed_fraction,text_coverage_mean,audio_coverage_mean,vision_coverage_mean
all100,100,formal,0.6256,0.995,0.5746,0.3906,0.588512158203125,0.9856662109375,0.476901318359375
all100,100,stage2,0.6256,0.7828,0.701,0.4916,0.588512158203125,0.756925,0.576671142578125
all100,100,stage3,0.6256,0.7828,0.7604,0.5214,0.588512158203125,0.756925,0.627101123046875
original_51_isolated,51,formal,0.4525490196078431,0.996078431372549,0.1823529411764705,0.0,0.4300229300704656,0.9866272212009805,0.1553949812346813
original_51_isolated,51,stage2,0.4525490196078431,0.6250980392156863,0.4301960784313725,0.2274509803921568,0.4300229300704656,0.6066789215686275,0.3510220875459559
original_51_isolated,51,stage3,0.4525490196078431,0.6250980392156863,0.5466666666666666,0.2858823529411765,0.4300229300704656,0.6066789215686275,0.4499043543198529
original_37_visual_risk,37,formal,0.6237837837837837,0.9951351351351352,0.0,0.0,0.5927342430320945,0.9854490867820946,0.0
original_37_visual_risk,37,stage2,0.6237837837837837,0.8254054054054054,0.3416216216216216,0.3135135135135135,0.5927342430320945,0.8068507179054054,0.2696481900601774
original_37_visual_risk,37,stage3,0.6237837837837837,0.8254054054054054,0.5021621621621621,0.3940540540540541,0.5927342430320945,0.8068507179054054,0.4059453850823479
original_23_text_audio_risk,23,formal,0.0,0.9991304347826088,0.4043478260869565,0.0,0.0,0.9904802139945652,0.344571480129076
original_23_text_audio_risk,23,stage2,0.0,0.1765217391304347,0.4191304347826087,0.0,0.0,0.1479860256029212,0.3544655974014946
original_23_text_audio_risk,23,stage3,0.0,0.1765217391304347,0.4713043478260869,0.0,0.0,0.1479860256029212,0.3974642015540081
semantic_conflict,12,formal,0.0,0.9983333333333332,0.2483333333333333,0.0,0.0,0.9890906778971356,0.2184790293375651
semantic_conflict,12,stage2,0.0,0.0,0.2483333333333333,0.0,0.0,0.0,0.2184790293375651
semantic_conflict,12,stage3,0.0,0.0,0.2483333333333333,0.0,0.0,0.0,0.2184790293375651
semantic_unresolved,7,formal,0.12,1.0,0.76,0.12,0.1063944898332868,0.9917436872209822,0.6259204537527902
semantic_unresolved,7,stage2,0.12,0.0,0.76,0.0,0.1063944898332868,0.0,0.6259204537527902
semantic_unresolved,7,stage3,0.12,0.0,0.76,0.0,0.1063944898332868,0.0,0.6259204537527902
mapping_suspected,4,formal,0.0,1.0,0.58,0.0,0.0,0.98811279296875,0.4932808685302734
mapping_suspected,4,stage2,0.0,0.0,0.58,0.0,0.0,0.0,0.4932808685302734
mapping_suspected,4,stage3,0.0,0.0,0.58,0.0,0.0,0.0,0.4932808685302734
