sample_id,sample_index,modality,Formal,Stage 2,Stage 3,change_pp,stage3_increment_pp
-3g5yACwYnA$_$13,0,A,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$13,0,T,0.68,0.68,0.68,0.0,0.0
-3g5yACwYnA$_$13,0,V,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$2,1,A,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$2,1,T,0.54,0.54,0.54,0.0,0.0
-3g5yACwYnA$_$2,1,V,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$3,2,A,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$3,2,T,0.8,0.8,0.8,0.0,0.0
-3g5yACwYnA$_$3,2,V,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$9,3,A,1.0,1.0,1.0,0.0,0.0
-3g5yACwYnA$_$9,3,T,0.86,0.86,0.86,0.0,0.0
-3g5yACwYnA$_$9,3,V,1.0,1.0,1.0,0.0,0.0
-3nNcZdcdvU$_$5,4,A,1.0,1.0,1.0,0.0,0.0
-3nNcZdcdvU$_$5,4,T,0.88,0.88,0.88,0.0,0.0
-3nNcZdcdvU$_$5,4,V,1.0,1.0,1.0,0.0,0.0
-571d8cVauQ$_$0,5,A,0.98,0.98,0.98,0.0,0.0
-571d8cVauQ$_$0,5,T,0.7,0.7,0.7,0.0,0.0
-571d8cVauQ$_$0,5,V,0.96,0.96,0.96,0.0,0.0
-571d8cVauQ$_$5,6,A,1.0,1.0,1.0,0.0,0.0
-571d8cVauQ$_$5,6,T,0.92,0.92,0.92,0.0,0.0
-571d8cVauQ$_$5,6,V,1.0,1.0,1.0,0.0,0.0
-6rXp3zJ3kc$_$8,7,A,1.0,1.0,1.0,0.0,0.0
-6rXp3zJ3kc$_$8,7,T,0.9,0.9,0.9,0.0,0.0
-6rXp3zJ3kc$_$8,7,V,1.0,1.0,1.0,0.0,0.0
-9y-fZ3swSY$_$0,8,A,0.98,0.98,0.98,0.0,0.0
-9y-fZ3swSY$_$0,8,T,0.9,0.9,0.9,0.0,0.0
-9y-fZ3swSY$_$0,8,V,1.0,1.0,1.0,0.0,0.0
-9y-fZ3swSY$_$4,9,A,0.96,0.96,0.96,0.0,0.0
-9y-fZ3swSY$_$4,9,T,0.82,0.82,0.82,0.0,0.0
-9y-fZ3swSY$_$4,9,V,0.96,0.96,0.96,0.0,0.0
-9y-fZ3swSY$_$8,10,A,1.0,1.0,1.0,0.0,0.0
-9y-fZ3swSY$_$8,10,T,0.82,0.82,0.82,0.0,0.0
-9y-fZ3swSY$_$8,10,V,0.0,0.0,0.0,0.0,0.0
-AUZQgSxyPQ$_$2,11,A,1.0,0.94,0.94,-6.000000000000005,0.0
-AUZQgSxyPQ$_$2,11,T,0.98,0.98,0.98,0.0,0.0
-AUZQgSxyPQ$_$2,11,V,1.0,1.0,1.0,0.0,0.0
-HeZS2-Prhc$_$2,12,A,1.0,0.68,0.68,-31.999999999999996,0.0
-HeZS2-Prhc$_$2,12,T,0.76,0.76,0.76,0.0,0.0
-HeZS2-Prhc$_$2,12,V,1.0,1.0,1.0,0.0,0.0
-HwX2H8Z4hY$_$2,13,A,1.0,0.0,0.0,-100.0,0.0
-HwX2H8Z4hY$_$2,13,T,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY$_$2,13,V,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY$_$5,14,A,1.0,1.0,1.0,0.0,0.0
-HwX2H8Z4hY$_$5,14,T,0.82,0.82,0.82,0.0,0.0
-HwX2H8Z4hY$_$5,14,V,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY$_$6,15,A,0.98,0.98,0.98,0.0,0.0
-HwX2H8Z4hY$_$6,15,T,0.68,0.68,0.68,0.0,0.0
-HwX2H8Z4hY$_$6,15,V,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY$_$9,16,A,1.0,1.0,1.0,0.0,0.0
-HwX2H8Z4hY$_$9,16,T,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY$_$9,16,V,0.0,0.2,0.54,54.0,34.0
-I_e4mIh0yE$_$1,17,A,0.98,0.98,0.98,0.0,0.0
-I_e4mIh0yE$_$1,17,T,0.8,0.8,0.8,0.0,0.0
-I_e4mIh0yE$_$1,17,V,1.0,1.0,1.0,0.0,0.0
-I_e4mIh0yE$_$3,18,A,1.0,0.82,0.82,-18.000000000000004,0.0
-I_e4mIh0yE$_$3,18,T,0.68,0.68,0.68,0.0,0.0
-I_e4mIh0yE$_$3,18,V,1.0,1.0,1.0,0.0,0.0
-MeTTeMJBNc$_$0,19,A,1.0,1.0,1.0,0.0,0.0
-MeTTeMJBNc$_$0,19,T,0.86,0.86,0.86,0.0,0.0
-MeTTeMJBNc$_$0,19,V,0.0,0.16,0.98,98.0,82.0
-MeTTeMJBNc$_$13,20,A,0.98,0.98,0.98,0.0,0.0
-MeTTeMJBNc$_$13,20,T,0.72,0.72,0.72,0.0,0.0
-MeTTeMJBNc$_$13,20,V,0.98,0.98,0.98,0.0,0.0
-MeTTeMJBNc$_$7,21,A,1.0,1.0,1.0,0.0,0.0
-MeTTeMJBNc$_$7,21,T,0.88,0.88,0.88,0.0,0.0
-MeTTeMJBNc$_$7,21,V,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE$_$1,22,A,1.0,0.0,0.0,-100.0,0.0
-NFrJFQijFE$_$1,22,T,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE$_$1,22,V,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE$_$2,23,A,0.98,0.0,0.0,-98.0,0.0
-NFrJFQijFE$_$2,23,T,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE$_$2,23,V,0.0,0.0,0.0,0.0,0.0
-RfYyzHpjk4$_$11,24,A,0.98,0.98,0.98,0.0,0.0
-RfYyzHpjk4$_$11,24,T,0.74,0.74,0.74,0.0,0.0
-RfYyzHpjk4$_$11,24,V,0.94,0.94,0.94,0.0,0.0
-RfYyzHpjk4$_$2,25,A,1.0,1.0,1.0,0.0,0.0
-RfYyzHpjk4$_$2,25,T,0.84,0.84,0.84,0.0,0.0
-RfYyzHpjk4$_$2,25,V,0.0,0.28,1.0,100.0,72.0
-RfYyzHpjk4$_$8,26,A,1.0,1.0,1.0,0.0,0.0
-RfYyzHpjk4$_$8,26,T,0.82,0.82,0.82,0.0,0.0
-RfYyzHpjk4$_$8,26,V,0.96,0.96,0.96,0.0,0.0
-THoVjtIkeU$_$12,27,A,1.0,1.0,1.0,0.0,0.0
-THoVjtIkeU$_$12,27,T,0.82,0.82,0.82,0.0,0.0
-THoVjtIkeU$_$12,27,V,1.0,1.0,1.0,0.0,0.0
-THoVjtIkeU$_$2,28,A,1.0,1.0,1.0,0.0,0.0
-THoVjtIkeU$_$2,28,T,0.72,0.72,0.72,0.0,0.0
-THoVjtIkeU$_$2,28,V,1.0,1.0,1.0,0.0,0.0
-THoVjtIkeU$_$6,29,A,1.0,1.0,1.0,0.0,0.0
-THoVjtIkeU$_$6,29,T,0.88,0.88,0.88,0.0,0.0
-THoVjtIkeU$_$6,29,V,0.0,0.8,0.8,80.0,0.0
-UUCSKoHeMA$_$0,30,A,1.0,1.0,1.0,0.0,0.0
-UUCSKoHeMA$_$0,30,T,0.78,0.78,0.78,0.0,0.0
-UUCSKoHeMA$_$0,30,V,0.98,0.98,0.98,0.0,0.0
-UacrmKiTn4$_$10,31,A,1.0,1.0,1.0,0.0,0.0
-UacrmKiTn4$_$10,31,T,0.78,0.78,0.78,0.0,0.0
-UacrmKiTn4$_$10,31,V,1.0,1.0,1.0,0.0,0.0
-UacrmKiTn4$_$4,32,A,1.0,1.0,1.0,0.0,0.0
-UacrmKiTn4$_$4,32,T,0.8,0.8,0.8,0.0,0.0
-UacrmKiTn4$_$4,32,V,1.0,1.0,1.0,0.0,0.0
-UuX1xuaiiE$_$0,33,A,0.98,0.98,0.98,0.0,0.0
-UuX1xuaiiE$_$0,33,T,0.68,0.68,0.68,0.0,0.0
-UuX1xuaiiE$_$0,33,V,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE$_$1,34,A,1.0,1.0,1.0,0.0,0.0
-UuX1xuaiiE$_$1,34,T,0.76,0.76,0.76,0.0,0.0
-UuX1xuaiiE$_$1,34,V,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE$_$3,35,A,1.0,1.0,1.0,0.0,0.0
-UuX1xuaiiE$_$3,35,T,0.72,0.72,0.72,0.0,0.0
-UuX1xuaiiE$_$3,35,V,0.0,0.14,0.88,88.0,74.0
-UuX1xuaiiE$_$6,36,A,1.0,1.0,1.0,0.0,0.0
-UuX1xuaiiE$_$6,36,T,0.8,0.8,0.8,0.0,0.0
-UuX1xuaiiE$_$6,36,V,0.0,0.34,1.0,100.0,65.99999999999999
-a55Q6RWvTA$_$3,37,A,1.0,1.0,1.0,0.0,0.0
-a55Q6RWvTA$_$3,37,T,0.96,0.96,0.96,0.0,0.0
-a55Q6RWvTA$_$3,37,V,1.0,1.0,1.0,0.0,0.0
-aNfi7CP8vM$_$7,38,A,1.0,1.0,1.0,0.0,0.0
-aNfi7CP8vM$_$7,38,T,0.74,0.74,0.74,0.0,0.0
-aNfi7CP8vM$_$7,38,V,1.0,1.0,1.0,0.0,0.0
-aqamKhZ1Ec$_$0,39,A,1.0,0.86,0.86,-14.000000000000002,0.0
-aqamKhZ1Ec$_$0,39,T,0.0,0.0,0.0,0.0,0.0
-aqamKhZ1Ec$_$0,39,V,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$0,40,A,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$0,40,T,0.96,0.96,0.96,0.0,0.0
-dxfTGcXJoc$_$0,40,V,0.8,0.8,0.8,0.0,0.0
-dxfTGcXJoc$_$1,41,A,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$1,41,T,0.94,0.94,0.94,0.0,0.0
-dxfTGcXJoc$_$1,41,V,0.0,0.98,1.0,100.0,2.0000000000000018
-dxfTGcXJoc$_$2,42,A,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$2,42,T,0.96,0.96,0.96,0.0,0.0
-dxfTGcXJoc$_$2,42,V,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$6,43,A,1.0,1.0,1.0,0.0,0.0
-dxfTGcXJoc$_$6,43,T,0.94,0.94,0.94,0.0,0.0
-dxfTGcXJoc$_$6,43,V,0.0,0.94,1.0,100.0,6.000000000000005
-egA8-b7-3M$_$1,44,A,1.0,1.0,1.0,0.0,0.0
-egA8-b7-3M$_$1,44,T,0.86,0.86,0.86,0.0,0.0
