sample_id,original_identity_risk,original_no_face,arcface_partition_stable,stage2_usable_fraction,stage3_visual_status,direct_talknet_verified_fraction,continuity_recovered_fraction,ambiguous_fraction,missing_fraction,unresolved_fraction,total_usable_visual_fraction,sample_index,stage2_visual_status
-MeTTeMJBNc$_$0,1,0,1,0.1339285714285714,FULLY_VERIFIED,0.1339285714285714,0.8660714285714286,0.0,0.0,0.0,1.0,19,partially_verified
-RfYyzHpjk4$_$2,1,0,1,0.2727272727272727,FULLY_VERIFIED,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,1.0,25,partially_verified
-UuX1xuaiiE$_$6,1,0,1,0.2777777777777778,FULLY_VERIFIED,0.2777777777777778,0.7222222222222222,0.0,0.0,0.0,1.0,36,partially_verified
-dxfTGcXJoc$_$1,1,0,1,0.9142561983471076,FULLY_VERIFIED,0.9142561983471076,0.0857438016528925,0.0,0.0,0.0,1.0,41,fully_verified
-dxfTGcXJoc$_$6,1,0,1,0.9227748691099475,FULLY_VERIFIED,0.9227748691099475,0.0772251308900523,0.0,0.0,0.0,1.0,43,fully_verified
-lzEya4AM_4$_$6,1,0,1,0.5925507900677202,FULLY_VERIFIED,0.5925507900677202,0.4074492099322799,0.0,0.0,0.0,1.0,61,partially_verified
-tANM6ETl_M$_$3,1,0,1,0.7797029702970297,FULLY_VERIFIED,0.7797029702970297,0.2202970297029703,0.0,0.0,0.0,1.0,81,partially_verified
-wny0OAz3g8$_$0,1,0,1,0.8250000000000001,FULLY_VERIFIED,0.8250000000000001,0.1749999999999999,0.0,0.0,0.0,1.0,90,fully_verified
-wny0OAz3g8$_$1,1,0,1,0.951219512195122,FULLY_VERIFIED,0.951219512195122,0.048780487804878,0.0,0.0,0.0,1.0,91,fully_verified
-wny0OAz3g8$_$2,1,0,1,0.7875000000000001,FULLY_VERIFIED,0.7875000000000001,0.2124999999999999,0.0,0.0,0.0,1.0,92,partially_verified
-wny0OAz3g8$_$3,1,0,1,0.6521739130434783,FULLY_VERIFIED,0.6521739130434783,0.3478260869565217,0.0,0.0,0.0,1.0,93,partially_verified
-wny0OAz3g8$_$5,1,0,1,0.9057971014492754,FULLY_VERIFIED,0.9057971014492754,0.0942028985507245,0.0,0.0,0.0,1.0,94,fully_verified
-wny0OAz3g8$_$7,1,0,1,0.8987603305785125,FULLY_VERIFIED,0.8987603305785125,0.1012396694214875,0.0,0.0,0.0,1.0,95,fully_verified
-wny0OAz3g8$_$9,1,0,1,0.8467741935483871,FULLY_VERIFIED,0.8467741935483871,0.1532258064516129,0.0,0.0,0.0,1.0,96,fully_verified
-yRb-Jum7EQ$_$5,1,0,1,0.0949367088607595,FULLY_VERIFIED,0.0949367088607595,0.9050632911392406,0.0,0.0,0.0,1.0,98,partially_verified
-UuX1xuaiiE$_$3,1,0,1,0.1219512195121951,FULLY_VERIFIED,0.1219512195121951,0.7926829268292683,0.0,0.0,0.0853658536585365,0.9146341463414634,35,partially_verified
-wMB_hJL-3o$_$7,1,0,0,0.8701657458563536,PARTIALLY_VERIFIED,0.8701657458563536,0.0,0.0,0.0,0.1298342541436463,0.8701657458563536,89,fully_verified
-THoVjtIkeU$_$6,1,0,0,0.7747933884297521,PARTIALLY_VERIFIED,0.7747933884297521,0.0,0.0,0.0,0.2252066115702479,0.7747933884297521,29,partially_verified
