sample_id,sample_index,stage2_visual_status,stage3_visual_status
-MeTTeMJBNc$_$0,19,partially_verified,FULLY_VERIFIED
-RfYyzHpjk4$_$2,25,partially_verified,FULLY_VERIFIED
-UuX1xuaiiE$_$6,36,partially_verified,FULLY_VERIFIED
-dxfTGcXJoc$_$1,41,fully_verified,FULLY_VERIFIED
-dxfTGcXJoc$_$6,43,fully_verified,FULLY_VERIFIED
-lzEya4AM_4$_$6,61,partially_verified,FULLY_VERIFIED
-tANM6ETl_M$_$3,81,partially_verified,FULLY_VERIFIED
-wny0OAz3g8$_$0,90,fully_verified,FULLY_VERIFIED
-wny0OAz3g8$_$1,91,fully_verified,FULLY_VERIFIED
-wny0OAz3g8$_$2,92,partially_verified,FULLY_VERIFIED
-wny0OAz3g8$_$3,93,partially_verified,FULLY_VERIFIED
-wny0OAz3g8$_$5,94,fully_verified,FULLY_VERIFIED
-wny0OAz3g8$_$7,95,fully_verified,FULLY_VERIFIED
-wny0OAz3g8$_$9,96,fully_verified,FULLY_VERIFIED
-yRb-Jum7EQ$_$5,98,partially_verified,FULLY_VERIFIED
-UuX1xuaiiE$_$3,35,partially_verified,FULLY_VERIFIED
-wMB_hJL-3o$_$7,89,fully_verified,PARTIALLY_VERIFIED
-THoVjtIkeU$_$6,29,partially_verified,PARTIALLY_VERIFIED
-HwX2H8Z4hY$_$9,16,partially_verified,PARTIALLY_VERIFIED
-s9qJ7ATP7w$_$4,74,partially_verified,PARTIALLY_VERIFIED
-s9qJ7ATP7w$_$1,73,partially_verified,PARTIALLY_VERIFIED
-s9qJ7ATP7w$_$8,78,partially_verified,PARTIALLY_VERIFIED
-9y-fZ3swSY$_$8,10,unresolved,UNRESOLVED
-HwX2H8Z4hY$_$2,13,unresolved,UNRESOLVED
-HwX2H8Z4hY$_$5,14,unresolved,UNRESOLVED
-HwX2H8Z4hY$_$6,15,unresolved,UNRESOLVED
-MeTTeMJBNc$_$7,21,unresolved,AMBIGUOUS
-UuX1xuaiiE$_$0,33,unresolved,AMBIGUOUS
-UuX1xuaiiE$_$1,34,unresolved,AMBIGUOUS
-hnBHBN8p5A$_$6,53,unresolved,UNRESOLVED
-hnBHBN8p5A$_$7,54,unresolved,UNRESOLVED
-iRBcNs9oI8$_$9,59,unresolved,UNRESOLVED
-mJ2ud6oKI8$_$2,63,unresolved,AMBIGUOUS
-mJ2ud6oKI8$_$9,66,unresolved,UNRESOLVED
-s9qJ7ATP7w$_$0,72,unresolved,UNRESOLVED
-s9qJ7ATP7w$_$7,77,unresolved,UNRESOLVED
-yRb-Jum7EQ$_$1,97,unresolved,AMBIGUOUS
