sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage
-3g5yACwYnA$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,15,1.0,0.2525345982142859,0.1787979910714288,0.227194568452381,0.3574276785714285,0.8120565476190474,1.0,1.0
-3g5yACwYnA$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.2615513937282236,0.2077325783972137,0.2299359211672482,0.4262716735627179,0.6633266550522654,1.0,1.0
-3g5yACwYnA$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,29,1.0,0.1973798937360178,0.1386382829977606,0.2074172259507802,0.350187765659954,0.5558250838926169,1.0,1.0
-3g5yACwYnA$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,1.0,0.2635754151291509,0.1921955719557191,0.2404315036900359,0.38380846402214,0.9527802121771208,1.0,1.0
-3nNcZdcdvU$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.287222623966942,0.2101164772727268,0.245301265495867,0.3598210227272725,0.6596420454545449,1.0,1.0
-571d8cVauQ$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2657606854838712,0.2329675403225808,0.2636165322580648,0.283665433467742,0.4727036290322581,1.0,1.0
-571d8cVauQ$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,43,1.0,0.3078320063694268,0.2489068471337585,0.2571583067940564,0.4251429670912965,0.6639527600849267,1.0,1.0
-6rXp3zJ3kc$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,34,1.0,0.2609924433249384,0.1668476070528971,0.2205251889168769,0.351202015113351,1.013304785894208,1.0,1.0
-9y-fZ3swSY$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,0.9545454545454546,0.3202357142857144,0.2498452380952383,0.2805785714285722,0.3903428571428569,0.6019666666666663,0.9545454545454546,1.0
-9y-fZ3swSY$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.2697877286585366,0.2063951981707319,0.219048018292683,0.3221965701219513,0.548847179878049,1.0,1.0
-9y-fZ3swSY$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2342205882352945,0.2201960784313725,0.2446715686274511,0.3563166666666666,0.5703431372549022,1.0,1.0
-AUZQgSxyPQ$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,41,1.0,0.3999800160944204,0.2369373658798288,0.3015634388412023,0.4574043052575085,0.6548095493562229,1.0,1.0
-HeZS2-Prhc$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,16,1.0,0.3005765255905517,0.2125642224409452,0.319333538385827,0.4281294291338589,0.7310391240157483,1.0,1.0
-HwX2H8Z4hY$_$2,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.7142857142857143,0.1944036673553717,0.1544036673553717,0.1501794938016529,0.3636471849173553,0.5290266012396695,0.7142857142857143,1.1428571428571428
-HwX2H8Z4hY$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.2081815043604655,0.1791378997093025,0.2135035428779073,0.3209986736918609,0.4605946584302326,1.0,1.1111111111111112
-HwX2H8Z4hY$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,7,1.0,0.299247524752475,0.2393861386138613,0.2714158415841584,0.3427891089108912,0.6333069306930694,1.0,1.0
-HwX2H8Z4hY$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.1967285976890755,0.1589113707983194,0.2223268119747896,0.318298398109244,0.591550682773109,1.0,1.0
-I_e4mIh0yE$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.3079935344827593,0.2338750673491381,0.2881656452047415,0.5358819369612069,0.7182403017241379,1.0,1.0
-I_e4mIh0yE$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,22,1.0,0.3100691964285715,0.2319799107142865,0.2854302455357149,1.3276121651785713,1.8538828124999995,1.0,1.0
-MeTTeMJBNc$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,1.0,0.3302468423344944,0.2185295078397207,0.2971259799651566,0.4121242922473866,0.6296541811846694,1.0,1.0
-MeTTeMJBNc$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.2372377300613497,0.2167377300613497,0.2536786809815951,0.4020726226993868,0.6580076687116567,1.0,1.0
-MeTTeMJBNc$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,31,1.0,0.27366232638889,0.2082404513888907,0.280403645833335,0.4360499131944446,0.7364904513888897,1.0,1.0
-NFrJFQijFE$_$1,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.3125,0.4112531960227272,0.5307801846590907,0.471016690340909,1.304261257102273,1.5542176846590905,0.3125,1.0
-NFrJFQijFE$_$2,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,9,0.5,0.5782439903846157,0.7111594050480763,0.759252554086538,2.318402493990385,2.5173093449519235,0.5,1.0
-RfYyzHpjk4$_$11,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,17,1.0,0.2568785601265824,0.234100079113924,0.2435201740506329,0.279315268987342,0.3549323575949374,1.0,1.0
-RfYyzHpjk4$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,25,1.0,0.1742430763473055,0.1363759356287421,0.154344498502994,0.2170197979041914,0.3676416541916172,1.0,1.0
-RfYyzHpjk4$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,17,1.0,0.1970784574468087,0.1714135638297873,0.1680350177304963,0.2473067819148936,0.3398931737588653,1.0,1.0
-THoVjtIkeU$_$12,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,39,1.0,0.2174210633116882,0.1696430600649352,0.2364529220779219,0.3759372767857139,0.7095152191558434,1.0,1.0
