sample_id,semantic_status,stage,fraction
-3g5yACwYnA$_$13,MATCH_STRONG,Formal,1.0
-3g5yACwYnA$_$2,MATCH_STRONG,Formal,1.0
-3g5yACwYnA$_$3,MATCH_STRONG,Formal,1.0
-3g5yACwYnA$_$9,MATCH_STRONG,Formal,1.0
-3nNcZdcdvU$_$5,MATCH_STRONG,Formal,1.0
-571d8cVauQ$_$0,MATCH_STRONG,Formal,0.98
-571d8cVauQ$_$5,MATCH_STRONG,Formal,1.0
-6rXp3zJ3kc$_$8,MATCH_STRONG,Formal,1.0
-9y-fZ3swSY$_$0,MATCH_STRONG,Formal,0.98
-9y-fZ3swSY$_$4,MATCH_STRONG,Formal,0.96
-9y-fZ3swSY$_$8,MATCH_STRONG,Formal,1.0
-AUZQgSxyPQ$_$2,MATCH_STRONG,Formal,1.0
-HeZS2-Prhc$_$2,MATCH_STRONG,Formal,1.0
-HwX2H8Z4hY$_$2,CONFLICT,Formal,1.0
-HwX2H8Z4hY$_$5,MATCH_STRONG,Formal,1.0
-HwX2H8Z4hY$_$6,MATCH_STRONG,Formal,0.98
-HwX2H8Z4hY$_$9,MATCH_STRONG,Formal,1.0
-I_e4mIh0yE$_$1,MATCH_STRONG,Formal,0.98
-I_e4mIh0yE$_$3,MATCH_STRONG,Formal,1.0
-MeTTeMJBNc$_$0,MATCH_STRONG,Formal,1.0
-MeTTeMJBNc$_$13,MATCH_STRONG,Formal,0.98
-MeTTeMJBNc$_$7,MATCH_STRONG,Formal,1.0
-NFrJFQijFE$_$1,CONFLICT,Formal,1.0
-NFrJFQijFE$_$2,CONFLICT,Formal,0.98
-RfYyzHpjk4$_$11,MATCH_STRONG,Formal,0.98
-RfYyzHpjk4$_$2,MATCH_STRONG,Formal,1.0
-RfYyzHpjk4$_$8,MATCH_STRONG,Formal,1.0
-THoVjtIkeU$_$12,MATCH_STRONG,Formal,1.0
-THoVjtIkeU$_$2,MATCH_STRONG,Formal,1.0
-THoVjtIkeU$_$6,MATCH_STRONG,Formal,1.0
-UUCSKoHeMA$_$0,MATCH_STRONG,Formal,1.0
-UacrmKiTn4$_$10,MATCH_STRONG,Formal,1.0
-UacrmKiTn4$_$4,MATCH_STRONG,Formal,1.0
-UuX1xuaiiE$_$0,MATCH_STRONG,Formal,0.98
-UuX1xuaiiE$_$1,MATCH_STRONG,Formal,1.0
-UuX1xuaiiE$_$3,MATCH_STRONG,Formal,1.0
-UuX1xuaiiE$_$6,MATCH_STRONG,Formal,1.0
-a55Q6RWvTA$_$3,MATCH_STRONG,Formal,1.0
-aNfi7CP8vM$_$7,MATCH_STRONG,Formal,1.0
-aqamKhZ1Ec$_$0,MATCH_STRONG,Formal,1.0
-dxfTGcXJoc$_$0,MATCH_STRONG,Formal,1.0
-dxfTGcXJoc$_$1,MATCH_STRONG,Formal,1.0
-dxfTGcXJoc$_$2,MATCH_STRONG,Formal,1.0
-dxfTGcXJoc$_$6,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$1,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$13,MATCH_STRONG,Formal,0.98
-egA8-b7-3M$_$16,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$17,MATCH_STRONG,Formal,0.98
-egA8-b7-3M$_$18,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$20,MATCH_STRONG,Formal,0.98
-egA8-b7-3M$_$26,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$6,MATCH_STRONG,Formal,1.0
-egA8-b7-3M$_$9,MATCH_STRONG,Formal,0.98
-hnBHBN8p5A$_$6,CONFLICT,Formal,1.0
-hnBHBN8p5A$_$7,CONFLICT,Formal,1.0
-iRBcNs9oI8$_$3,UNRESOLVED,Formal,1.0
-iRBcNs9oI8$_$6,UNRESOLVED,Formal,1.0
-iRBcNs9oI8$_$7,CONFLICT,Formal,1.0
-iRBcNs9oI8$_$8,CONFLICT,Formal,1.0
-iRBcNs9oI8$_$9,CONFLICT,Formal,1.0
-lzEya4AM_4$_$5,MATCH_STRONG,Formal,1.0
-lzEya4AM_4$_$6,MATCH_STRONG,Formal,1.0
-mJ2ud6oKI8$_$1,UNRESOLVED,Formal,1.0
-mJ2ud6oKI8$_$2,CONFLICT,Formal,1.0
-mJ2ud6oKI8$_$6,UNRESOLVED,Formal,1.0
-mJ2ud6oKI8$_$8,UNRESOLVED,Formal,1.0
-mJ2ud6oKI8$_$9,CONFLICT,Formal,1.0
-mqbVkbCndg$_$0,MATCH_STRONG,Formal,1.0
-qDkUB0GgYY$_$6,MATCH_STRONG,Formal,1.0
-ri04Z7vwnc$_$0,CONFLICT,Formal,1.0
-ri04Z7vwnc$_$2,UNRESOLVED,Formal,1.0
-ri04Z7vwnc$_$5,CONFLICT,Formal,1.0
-s9qJ7ATP7w$_$0,MATCH_STRONG,Formal,0.98
-s9qJ7ATP7w$_$1,MATCH_STRONG,Formal,0.98
-s9qJ7ATP7w$_$4,MATCH_STRONG,Formal,0.98
-s9qJ7ATP7w$_$5,MATCH_STRONG,Formal,1.0
-s9qJ7ATP7w$_$6,MATCH_STRONG,Formal,0.94
-s9qJ7ATP7w$_$7,MATCH_STRONG,Formal,1.0
-s9qJ7ATP7w$_$8,MATCH_STRONG,Formal,0.98
-t217m2on-s$_$2,MATCH_STRONG,Formal,1.0
-t217m2on-s$_$7,MATCH_STRONG,Formal,1.0
-tANM6ETl_M$_$3,MATCH_STRONG,Formal,1.0
-tPCytz4rww$_$10,MATCH_STRONG,Formal,1.0
-tPCytz4rww$_$11,MATCH_WEAK,Formal,1.0
-tPCytz4rww$_$12,MATCH_STRONG,Formal,1.0
-tPCytz4rww$_$16,MATCH_STRONG,Formal,1.0
-tPCytz4rww$_$18,MATCH_STRONG,Formal,1.0
-uywlfIYOS8$_$4,MATCH_STRONG,Formal,0.98
-vxjVxOeScU$_$4,UNRESOLVED,Formal,1.0
-wMB_hJL-3o$_$7,MATCH_STRONG,Formal,1.0
-wny0OAz3g8$_$0,MATCH_STRONG,Formal,1.0
-wny0OAz3g8$_$1,MATCH_STRONG,Formal,1.0
-wny0OAz3g8$_$2,MATCH_STRONG,Formal,0.98
-wny0OAz3g8$_$3,MATCH_STRONG,Formal,1.0
-wny0OAz3g8$_$5,MATCH_STRONG,Formal,0.98
-wny0OAz3g8$_$7,MATCH_STRONG,Formal,1.0
-wny0OAz3g8$_$9,MATCH_STRONG,Formal,0.98
-yRb-Jum7EQ$_$1,MATCH_WEAK,Formal,1.0
-yRb-Jum7EQ$_$5,MATCH_WEAK,Formal,1.0
-yRb-Jum7EQ$_$6,MATCH_STRONG,Formal,1.0
-3g5yACwYnA$_$13,MATCH_STRONG,Stage 2,1.0
-3g5yACwYnA$_$2,MATCH_STRONG,Stage 2,1.0
-3g5yACwYnA$_$3,MATCH_STRONG,Stage 2,1.0
-3g5yACwYnA$_$9,MATCH_STRONG,Stage 2,1.0
-3nNcZdcdvU$_$5,MATCH_STRONG,Stage 2,1.0
-571d8cVauQ$_$0,MATCH_STRONG,Stage 2,0.98
-571d8cVauQ$_$5,MATCH_STRONG,Stage 2,1.0
-6rXp3zJ3kc$_$8,MATCH_STRONG,Stage 2,1.0
-9y-fZ3swSY$_$0,MATCH_STRONG,Stage 2,0.98
-9y-fZ3swSY$_$4,MATCH_STRONG,Stage 2,0.96
-9y-fZ3swSY$_$8,MATCH_STRONG,Stage 2,1.0
-AUZQgSxyPQ$_$2,MATCH_STRONG,Stage 2,0.94
-HeZS2-Prhc$_$2,MATCH_STRONG,Stage 2,0.68
-HwX2H8Z4hY$_$2,CONFLICT,Stage 2,0.0
-HwX2H8Z4hY$_$5,MATCH_STRONG,Stage 2,1.0
-HwX2H8Z4hY$_$6,MATCH_STRONG,Stage 2,0.98
-HwX2H8Z4hY$_$9,MATCH_STRONG,Stage 2,1.0
-I_e4mIh0yE$_$1,MATCH_STRONG,Stage 2,0.98
-I_e4mIh0yE$_$3,MATCH_STRONG,Stage 2,0.82
-MeTTeMJBNc$_$0,MATCH_STRONG,Stage 2,1.0
-MeTTeMJBNc$_$13,MATCH_STRONG,Stage 2,0.98
-MeTTeMJBNc$_$7,MATCH_STRONG,Stage 2,1.0
-NFrJFQijFE$_$1,CONFLICT,Stage 2,0.0
-NFrJFQijFE$_$2,CONFLICT,Stage 2,0.0
-RfYyzHpjk4$_$11,MATCH_STRONG,Stage 2,0.98
-RfYyzHpjk4$_$2,MATCH_STRONG,Stage 2,1.0
-RfYyzHpjk4$_$8,MATCH_STRONG,Stage 2,1.0
-THoVjtIkeU$_$12,MATCH_STRONG,Stage 2,1.0
-THoVjtIkeU$_$2,MATCH_STRONG,Stage 2,1.0
-THoVjtIkeU$_$6,MATCH_STRONG,Stage 2,1.0
-UUCSKoHeMA$_$0,MATCH_STRONG,Stage 2,1.0
-UacrmKiTn4$_$10,MATCH_STRONG,Stage 2,1.0
-UacrmKiTn4$_$4,MATCH_STRONG,Stage 2,1.0
-UuX1xuaiiE$_$0,MATCH_STRONG,Stage 2,0.98
-UuX1xuaiiE$_$1,MATCH_STRONG,Stage 2,1.0
-UuX1xuaiiE$_$3,MATCH_STRONG,Stage 2,1.0
-UuX1xuaiiE$_$6,MATCH_STRONG,Stage 2,1.0
-a55Q6RWvTA$_$3,MATCH_STRONG,Stage 2,1.0
-aNfi7CP8vM$_$7,MATCH_STRONG,Stage 2,1.0
-aqamKhZ1Ec$_$0,MATCH_STRONG,Stage 2,0.86
-dxfTGcXJoc$_$0,MATCH_STRONG,Stage 2,1.0
-dxfTGcXJoc$_$1,MATCH_STRONG,Stage 2,1.0
-dxfTGcXJoc$_$2,MATCH_STRONG,Stage 2,1.0
-dxfTGcXJoc$_$6,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$1,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$13,MATCH_STRONG,Stage 2,0.98
-egA8-b7-3M$_$16,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$17,MATCH_STRONG,Stage 2,0.68
-egA8-b7-3M$_$18,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$20,MATCH_STRONG,Stage 2,0.98
-egA8-b7-3M$_$26,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$6,MATCH_STRONG,Stage 2,1.0
-egA8-b7-3M$_$9,MATCH_STRONG,Stage 2,0.98
-hnBHBN8p5A$_$6,CONFLICT,Stage 2,0.0
-hnBHBN8p5A$_$7,CONFLICT,Stage 2,0.0
-iRBcNs9oI8$_$3,UNRESOLVED,Stage 2,0.0
