sample_id,word_id,modality,observed,coverage,source_count,weight_sum
-3g5yACwYnA$_$13,0,A,1,1.0,155,1.0
-3g5yACwYnA$_$13,1,A,1,1.0,12,1.0
-3g5yACwYnA$_$13,2,A,1,1.0,19,1.0
-3g5yACwYnA$_$13,3,A,1,1.0,10,1.0
-3g5yACwYnA$_$13,4,A,1,1.0,25,1.0
-3g5yACwYnA$_$13,5,A,1,1.0,53,0.9999999999999999
-3g5yACwYnA$_$13,6,A,1,1.0,10,1.0
-3g5yACwYnA$_$13,7,A,1,1.0,6,1.0
-3g5yACwYnA$_$13,8,A,1,1.0,16,1.0
-3g5yACwYnA$_$13,9,A,1,1.0,29,0.9999999999999999
-3g5yACwYnA$_$13,10,A,1,1.0,20,1.0
-3g5yACwYnA$_$13,11,A,1,1.0,28,1.0
-3g5yACwYnA$_$13,12,A,1,1.0,12,1.0000000000000002
-3g5yACwYnA$_$13,13,A,1,1.0,10,1.0
-3g5yACwYnA$_$13,14,A,1,1.0,30,0.9999999999999998
-3g5yACwYnA$_$2,0,A,1,1.0,49,1.0
-3g5yACwYnA$_$2,1,A,1,1.0,37,1.0
-3g5yACwYnA$_$2,2,A,1,1.0,22,0.9999999999999999
-3g5yACwYnA$_$2,3,A,1,1.0,6,1.0
-3g5yACwYnA$_$2,4,A,1,1.0,49,1.0
-3g5yACwYnA$_$2,5,A,1,1.0,32,0.9999999999999999
-3g5yACwYnA$_$2,6,A,1,1.0,24,1.0
-3g5yACwYnA$_$2,7,A,1,1.0,12,0.9999999999999998
-3g5yACwYnA$_$2,8,A,1,1.0,47,1.0000000000000002
-3g5yACwYnA$_$2,9,A,1,1.0,16,1.0
-3g5yACwYnA$_$2,10,A,1,1.0,12,1.0
-3g5yACwYnA$_$2,11,A,1,1.0,23,1.0
-3g5yACwYnA$_$2,12,A,1,1.0,16,1.0
-3g5yACwYnA$_$2,13,A,1,1.0,47,1.0000000000000002
-3g5yACwYnA$_$3,0,A,1,1.0,42,1.0000000000000002
-3g5yACwYnA$_$3,1,A,1,1.0,8,0.9999999999999999
-3g5yACwYnA$_$3,2,A,1,1.0,38,1.0
-3g5yACwYnA$_$3,3,A,1,1.0,28,0.9999999999999999
-3g5yACwYnA$_$3,4,A,1,1.0,7,1.0
-3g5yACwYnA$_$3,5,A,1,1.0,48,1.0
-3g5yACwYnA$_$3,6,A,1,1.0,24,1.0
-3g5yACwYnA$_$3,7,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,8,A,1,1.0,54,0.9999999999999999
-3g5yACwYnA$_$3,9,A,1,1.0,22,0.9999999999999998
-3g5yACwYnA$_$3,10,A,1,1.0,44,1.0
-3g5yACwYnA$_$3,11,A,1,1.0,14,1.0
-3g5yACwYnA$_$3,12,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,13,A,1,1.0,12,1.0
-3g5yACwYnA$_$3,14,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,15,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,16,A,1,1.0,46,1.0
-3g5yACwYnA$_$3,17,A,1,1.0,30,1.0000000000000002
-3g5yACwYnA$_$3,18,A,1,1.0,60,0.9999999999999999
-3g5yACwYnA$_$3,19,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,20,A,1,1.0,10,1.0
-3g5yACwYnA$_$3,21,A,1,1.0,38,1.0000000000000002
-3g5yACwYnA$_$3,22,A,1,1.0,46,0.9999999999999999
-3g5yACwYnA$_$3,23,A,1,1.0,12,1.0
-3g5yACwYnA$_$3,24,A,1,1.0,12,1.0
-3g5yACwYnA$_$3,25,A,1,1.0,18,0.9999999999999999
-3g5yACwYnA$_$3,26,A,1,1.0,22,1.0
-3g5yACwYnA$_$3,27,A,1,1.0,8,1.0
-3g5yACwYnA$_$3,28,A,1,1.0,30,1.0000000000000002
-3g5yACwYnA$_$9,0,A,1,1.0,14,0.9999999999999999
-3g5yACwYnA$_$9,1,A,1,1.0,12,1.0
-3g5yACwYnA$_$9,2,A,1,1.0,26,1.0
-3g5yACwYnA$_$9,3,A,1,1.0,18,1.0
-3g5yACwYnA$_$9,4,A,1,1.0,57,1.0
-3g5yACwYnA$_$9,5,A,1,1.0,32,1.0
-3g5yACwYnA$_$9,6,A,1,1.0,10,1.0
-3g5yACwYnA$_$9,7,A,1,1.0,16,1.0
-3g5yACwYnA$_$9,8,A,1,1.0,20,0.9999999999999999
-3g5yACwYnA$_$9,9,A,1,1.0,12,1.0
-3g5yACwYnA$_$9,10,A,1,1.0,26,1.0
-3g5yACwYnA$_$9,11,A,1,1.0,21,0.9999999999999998
-3g5yACwYnA$_$9,12,A,1,1.0,10,1.0
-3g5yACwYnA$_$9,13,A,1,1.0,107,0.9999999999999999
-3g5yACwYnA$_$9,14,A,1,1.0,23,0.9999999999999999
-3g5yACwYnA$_$9,15,A,1,1.0,12,1.0
-3g5yACwYnA$_$9,16,A,1,1.0,12,1.0
-3g5yACwYnA$_$9,17,A,1,1.0,28,1.0
-3g5yACwYnA$_$9,18,A,1,1.0,44,1.0
-3g5yACwYnA$_$9,19,A,1,1.0,57,0.9999999999999999
-3g5yACwYnA$_$9,20,A,1,1.0,47,0.9999999999999998
-3nNcZdcdvU$_$5,0,A,1,1.0,101,0.9999999999999998
-3nNcZdcdvU$_$5,1,A,1,1.0,29,0.9999999999999998
-3nNcZdcdvU$_$5,2,A,1,1.0,56,1.0
-3nNcZdcdvU$_$5,3,A,1,1.0,10,1.0
-3nNcZdcdvU$_$5,4,A,1,1.0,30,1.0
-3nNcZdcdvU$_$5,5,A,1,1.0,73,1.0
-3nNcZdcdvU$_$5,6,A,1,1.0,22,1.0
-3nNcZdcdvU$_$5,7,A,1,1.0,29,1.0
-3nNcZdcdvU$_$5,8,A,1,1.0,12,1.0
-3nNcZdcdvU$_$5,9,A,1,1.0,14,0.9999999999999999
-3nNcZdcdvU$_$5,10,A,1,1.0,10,1.0
-3nNcZdcdvU$_$5,11,A,1,1.0,28,1.0
-3nNcZdcdvU$_$5,12,A,1,1.0,36,1.0000000000000002
-3nNcZdcdvU$_$5,13,A,1,1.0,8,1.0
-3nNcZdcdvU$_$5,14,A,1,1.0,18,1.0
-3nNcZdcdvU$_$5,15,A,1,1.0,14,1.0
-3nNcZdcdvU$_$5,16,A,1,1.0,12,1.0
-3nNcZdcdvU$_$5,17,A,1,1.0,49,1.0
-571d8cVauQ$_$0,0,A,1,1.0,14,1.0
-571d8cVauQ$_$0,1,A,1,1.0,8,1.0
-571d8cVauQ$_$0,2,A,1,1.0,21,0.9999999999999999
-571d8cVauQ$_$0,3,A,1,1.0,40,0.9999999999999999
-571d8cVauQ$_$0,4,A,1,1.0,22,1.0
-571d8cVauQ$_$0,5,A,1,1.0,47,1.0000000000000002
-571d8cVauQ$_$0,6,A,1,1.0,50,1.0000000000000002
-571d8cVauQ$_$0,7,A,1,1.0,9,1.0
-571d8cVauQ$_$0,8,A,1,1.0,33,0.9999999999999999
-571d8cVauQ$_$0,9,A,1,1.0,8,0.9999999999999999
