sample_id,start,end,analysis_window_end,visible_identity_clusters,talknet_active_clusters,anchor_identity,propagated_identity,propagation_source_time,arcface_continuity,av_sync_flag,segment_status,selected_identity,quality_flag,sample_index
-9y-fZ3swSY$_$8,0.0,0.25,0.5,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,0.25,0.5,0.75,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,0.5,0.75,1.0,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,0.75,1.0,1.25,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,1.0,1.25,1.5,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,1.25,1.5,1.75,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,1.5,1.75,2.0,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,1.75,2.0,2.25,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,2.0,2.25,2.5,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,2.25,2.5,2.75,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,2.5,2.75,3.0,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,2.75,3.0,3.25,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,3.0,3.25,3.5,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,3.25,3.5,3.75,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,3.5,3.75,4.0,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,3.75,4.0,4.25,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,4.0,4.25,4.5,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,4.25,4.5,4.75,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,4.5,4.75,4.966666666666667,[0],[],,,,0,neutral,UNRESOLVED,,,10
-9y-fZ3swSY$_$8,4.75,4.966666666666667,4.966666666666667,[0],[],,,,0,neutral,UNRESOLVED,,,10
-HwX2H8Z4hY$_$2,0.0,0.25,0.5,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,0.25,0.5,0.75,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,0.5,0.75,1.0,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,0.75,1.0,1.25,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,1.0,1.25,1.5,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,1.25,1.5,1.75,[],[],,,,0,neutral,MISSING,,,13
-HwX2H8Z4hY$_$2,1.5,1.75,2.0,[],[],,,,0,neutral,MISSING,,,13
