scenario,scope,n,no_new_damage,empty_content,original_modality_empty_T,original_modality_empty_A,original_modality_empty_V,duplicate_of,accuracy,macro_f1,weighted_f1,mae,pearson,pearson_reason,symbol_inconsistency_count,symbol_inconsistency_rate,neutral_abs_score_mean,predicted_neutral_abs_score_mean,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_pearson_reason,split,modality,position,rho
T_front_0.2,all_samples,728,0,0,0,0,15,,0.603021978021978,0.5659419063805,0.5943458984997598,0.6648792496427911,0.5640718048028057,,315,0.4326923076923077,0.4659682502002081,0.210134694811328,0.0123626373626374,0.0118648803698203,0.0233479752677049,0.0441712521175109,,valid,T,front,0.2
T_front_0.4,all_samples,728,0,0,0,0,15,,0.5947802197802198,0.5508057413227793,0.5835292064807759,0.6741554066290948,0.5465303798970503,,323,0.4436813186813186,0.4703282188705128,0.1905454301635877,0.0206043956043956,0.0270010454275411,0.0326241322540086,0.0617126770232663,,valid,T,front,0.4
T_front_0.6,all_samples,728,0,0,0,0,15,,0.5508241758241759,0.5126218697472629,0.5431648910415635,0.7105930329260166,0.4799409773734477,,341,0.4684065934065934,0.4457771316671785,0.2011352623089777,0.0645604395604395,0.0651849170030575,0.0690617585509304,0.1283020795468689,,valid,T,front,0.6
T_front_0.8,all_samples,728,0,0,0,0,15,,0.5151098901098901,0.492985956529557,0.5172852910924255,0.7362007513676851,0.3911457133195547,,357,0.4903846153846153,0.4087378258156367,0.2080730585123788,0.1002747252747253,0.0848208302207633,0.0946694769925989,0.2170973436007619,,valid,T,front,0.8
T_middle_0.2,all_samples,728,0,0,0,0,15,,0.592032967032967,0.5563226192146558,0.5859713320733727,0.6653788685475625,0.560867732346506,,312,0.4285714285714285,0.4725938930439398,0.2243626642509444,0.0233516483516483,0.0214841675356646,0.0238475941724762,0.0473753245738106,,valid,T,middle,0.2
T_middle_0.4,all_samples,728,0,0,0,0,15,,0.5865384615384616,0.554990904873205,0.5830920897811893,0.6635188838050593,0.5438333368248673,,314,0.4313186813186813,0.4286128340349735,0.2017487449445708,0.0288461538461538,0.0228158818771153,0.0219876094299731,0.0644097200954493,,valid,T,middle,0.4
T_middle_0.6,all_samples,728,0,0,0,0,15,,0.5480769230769231,0.5233190035177565,0.5495784767406671,0.6830590613286144,0.4962065196921751,,327,0.4491758241758242,0.3879422877621634,0.1997152420816608,0.0673076923076922,0.0544877832325638,0.0415277869535282,0.1120365372281415,,valid,T,middle,0.6
T_middle_0.8,all_samples,728,0,0,0,0,15,,0.4848901098901099,0.4617415037623062,0.488726857255832,0.7212393353318995,0.4061417532299239,,357,0.4903846153846153,0.3762803755304523,0.1982411461067386,0.1304945054945055,0.1160652829880141,0.0797080609568133,0.2021013036903927,,valid,T,middle,0.8
T_rear_0.2,all_samples,728,0,0,0,0,15,,0.5714285714285714,0.5455274858694347,0.5707679295722135,0.6622590245082552,0.5493306674978653,,325,0.4464285714285714,0.4282537398944639,0.2031860425789652,0.043956043956044,0.0322793008808857,0.020727750133169,0.0589123894224513,,valid,T,rear,0.2
T_rear_0.4,all_samples,728,0,0,0,0,15,,0.532967032967033,0.5103906020649318,0.538038890599236,0.6736666662496985,0.5191258479302698,,326,0.4478021978021978,0.3947925958858357,0.1976697344104016,0.0824175824175824,0.0674161846853885,0.0321353918746123,0.0891172089900468,,valid,T,rear,0.4
T_rear_0.6,all_samples,728,0,0,0,0,15,,0.5054945054945055,0.4864230311673823,0.5125033407207379,0.6989701894088904,0.4540314401608671,,331,0.4546703296703296,0.3720075332296445,0.2038979525547604,0.1098901098901099,0.0913837555829381,0.0574389150338042,0.1542116167594495,,valid,T,rear,0.6
T_rear_0.8,all_samples,728,0,0,0,0,15,,0.467032967032967,0.4533680136431167,0.473393931878257,0.7118079485813064,0.4156146078137708,,352,0.4835164835164835,0.3136286811862627,0.212658705929553,0.1483516483516483,0.1244387731072036,0.0702766742062201,0.1926284491065458,,valid,T,rear,0.8
A_front_0.2,all_samples,728,1,0,0,0,15,,0.6167582417582418,0.5795946211841122,0.6076245274177732,0.6415679174204163,0.6072694494495252,,309,0.4244505494505494,0.4592666719007589,0.1984277414809261,-0.0013736263736263,-0.0017878344337918,3.664304533013141e-05,0.0009736074707914,,valid,A,front,0.2
A_front_0.4,all_samples,728,1,0,0,0,15,,0.6167582417582418,0.5788148525770225,0.6072476701459565,0.6414938975256038,0.6072431475109206,,313,0.4299450549450549,0.457914787590119,0.2037229358865912,-0.0013736263736263,-0.001008065826702,-3.73768494823512e-05,0.000999909409396,,valid,A,front,0.4
A_front_0.6,all_samples,728,1,0,0,0,15,,0.6098901098901099,0.5730478870722774,0.6010082034690049,0.6446112873554639,0.604440164053532,,312,0.4285714285714285,0.4664336158248656,0.2088349208335987,0.0054945054945054,0.0047588996780429,0.0030800129803777,0.0038028928667847,,valid,A,front,0.6
A_front_0.8,all_samples,728,1,0,0,0,15,,0.6153846153846154,0.5790075603086391,0.6057439517160247,0.6451444876001915,0.6037671162991276,,307,0.4217032967032967,0.4725821768085513,0.2294575969985537,0.0,-0.0012007735583187,0.0036132132251053,0.004475940621189,,valid,A,front,0.8
A_middle_0.2,all_samples,728,1,0,0,0,15,,0.6153846153846154,0.5777419226119754,0.6058123089827524,0.6416635505342089,0.6082376463275322,,308,0.4230769230769231,0.4652567905583925,0.2052039363824412,0.0,6.486413834494442e-05,0.0001322761591227,5.410592784471646e-06,,valid,A,middle,0.2
A_middle_0.4,all_samples,728,1,0,0,0,15,,0.6195054945054945,0.581434369480521,0.6092590397420561,0.6423015770368703,0.6081998915914721,,307,0.4217032967032967,0.4695569520509984,0.2107899414807096,-0.0041208791208791,-0.0036275827302005,0.0007703026617841,4.3165328844518847e-05,,valid,A,middle,0.4
A_middle_0.6,all_samples,728,1,0,0,0,15,,0.6167582417582418,0.5801020672597179,0.60724409325482,0.6439257898990955,0.6069468935267796,,307,0.4217032967032967,0.4735614754039409,0.217417296707364,-0.0013736263736263,-0.0022952805093975,0.0023945155240093,0.0012961633935371,,valid,A,middle,0.6
A_middle_0.8,all_samples,728,1,0,0,0,15,,0.6153846153846154,0.5765627148038873,0.6042537139900802,0.641270476819245,0.6087699501596848,,306,0.4203296703296703,0.4758424289770039,0.2255175769563665,0.0,0.001244071946433,-0.0002607975558411,-0.0005268932393681,,valid,A,middle,0.8
A_rear_0.2,all_samples,728,0,0,0,0,15,,0.6126373626373627,0.5756414884311299,0.6036725319116224,0.6405500468910239,0.6075382079817921,,309,0.4244505494505494,0.4585576915946465,0.1985472748387514,0.0027472527472527,0.0021652983191904,-0.0009812274840622,0.0007048489385245,,valid,A,rear,0.2
A_rear_0.4,all_samples,728,0,0,0,0,15,,0.614010989010989,0.5758777248005787,0.6039935886233145,0.6406255269533147,0.6073911156212903,,307,0.4217032967032967,0.4590214583541914,0.1960890771579935,0.0013736263736263,0.0019290619497416,-0.0009057474217715,0.0008519412990263,,valid,A,rear,0.4
A_rear_0.6,all_samples,728,0,0,0,0,15,,0.6126373626373627,0.5734327560716381,0.6020044836353784,0.6423609437095386,0.6062414306961288,,303,0.4162087912087912,0.4666272190136268,0.1986488509790659,0.0027472527472527,0.0043740306786822,0.0008296693344523,0.0020016262241878,,valid,A,rear,0.6
A_rear_0.8,all_samples,728,0,0,0,0,15,,0.6153846153846154,0.5754789599726308,0.6038881897267974,0.643994399154198,0.605126421245927,,299,0.4107142857142857,0.4757655491310921,0.2217744188930021,0.0,0.0023278267776896,0.0024631247791118,0.0031166356743896,,valid,A,rear,0.8
V_front_0.2,all_samples,728,33,0,0,0,15,,0.6167582417582418,0.5801539792676361,0.6077779318969041,0.642078586594185,0.6081172060503427,,305,0.4189560439560439,0.461100530465837,0.2026953346297874,-0.0013736263736263,-0.0023471925173157,0.0005473122190988,0.0001258508699739,,valid,V,front,0.2
V_front_0.4,all_samples,728,26,0,0,0,15,,0.6112637362637363,0.5719549914392493,0.6008648621245499,0.6421664525578208,0.6074571985047734,,310,0.4258241758241758,0.4601666859968606,0.2024618704139971,0.0041208791208791,0.005851795311071,0.0006351781827346,0.0007858584155432,,valid,V,front,0.4
V_front_0.6,all_samples,728,21,0,0,0,15,,0.6085164835164835,0.5700606803278969,0.5988836984687957,0.6420009850886085,0.6078292185270436,,314,0.4313186813186813,0.4597976161749102,0.2074909397232031,0.0068681318681319,0.0077461064224234,0.0004697107135223,0.000413838393273,,valid,V,front,0.6
V_front_0.8,all_samples,728,17,0,0,0,15,,0.6126373626373627,0.575337997885419,0.603764920500584,0.6419486984806289,0.6065595955641713,,316,0.4340659340659341,0.4573356406560734,0.2115838319737592,0.0027472527472527,0.0024687888649014,0.0004174241055426,0.0016834613561453,,valid,V,front,0.8
V_middle_0.2,all_samples,728,31,0,0,0,15,,0.614010989010989,0.5761619323346903,0.604547238358925,0.6412247898716577,0.6084923416050576,,310,0.4258241758241758,0.4644296193044916,0.2081358397714006,0.0013736263736263,0.0016448544156301,-0.0003064845034285,-0.0002492846847409,,valid,V,middle,0.2
V_middle_0.4,all_samples,728,27,0,0,0,15,,0.614010989010989,0.5770926128246071,0.6048297818451822,0.6400781659045446,0.6090713262637936,,309,0.4244505494505494,0.4641367913965318,0.2084508135416348,0.0013736263736263,0.0007141739257132,-0.0014531084705415,-0.0008282693434769,,valid,V,middle,0.4
V_middle_0.6,all_samples,728,21,0,0,0,15,,0.6153846153846154,0.5782871261792997,0.6063682861355304,0.6409231250166029,0.6082355137134322,,310,0.4258241758241758,0.4656563091355011,0.206734051323867,0.0,-0.0004803394289792,-0.0006081493584833,7.543206884452758e-06,,valid,V,middle,0.6
V_middle_0.8,all_samples,728,20,0,0,0,15,,0.614010989010989,0.5762445374320183,0.6047806376392101,0.6432624628580595,0.6047330420191831,,310,0.4258241758241758,0.4633566916732968,0.2108681204474785,0.0013736263736263,0.001562249318302,0.0017311884829733,0.0035100149011335,,valid,V,middle,0.8
V_rear_0.2,all_samples,728,39,0,0,0,15,,0.6153846153846154,0.5772524425779892,0.6055454483516454,0.643300136425251,0.6070009330063637,,308,0.4230769230769231,0.4652069925391318,0.2077531876291946,0.0,0.0005543441723311,0.0017688620501647,0.0012421239139529,,valid,V,rear,0.2
V_rear_0.4,all_samples,728,29,0,0,0,15,,0.6085164835164835,0.5720492607473496,0.5998720969341007,0.6447884567282777,0.6039703134138219,,303,0.4162087912087912,0.4651537579066707,0.2035567489324201,0.0068681318681319,0.0057575260029707,0.0032571823531915,0.0042727435064947,,valid,V,rear,0.4
V_rear_0.6,all_samples,728,21,0,0,0,15,,0.6126373626373627,0.5756414884311299,0.6036725319116224,0.6452688373142986,0.6017193093872302,,305,0.4189560439560439,0.4674592028149282,0.1984252718102652,0.0027472527472527,0.0021652983191904,0.0037375629392124,0.0065237475330864,,valid,V,rear,0.6
V_rear_0.8,all_samples,728,18,0,0,0,15,,0.6043956043956044,0.5670825879126086,0.5959018625636076,0.6464660185629727,0.5998422798688487,,303,0.4162087912087912,0.4708975856901025,0.2131262102740861,0.010989010989011,0.0107241988377118,0.0049347441878865,0.0084007770514679,,valid,V,rear,0.8
TA_front_0.2,all_samples,728,0,0,0,0,15,,0.6043956043956044,0.568071758778256,0.5959623878156836,0.6663372015603243,0.5629439510030343,,311,0.4271978021978022,0.4655443870047431,0.2124691555831845,0.010989010989011,0.0097350279720643,0.0248059271852381,0.0452991059172823,,valid,TA,front,0.2
TA_front_0.4,all_samples,728,0,0,0,0,15,,0.592032967032967,0.5488239817116417,0.5807982096282396,0.6768409886233032,0.5453491805127024,,324,0.445054945054945,0.4717306870481242,0.1963796050264828,0.0233516483516483,0.0289828050386786,0.035309714248217,0.0628938764076142,,valid,TA,front,0.4
TA_front_0.6,all_samples,728,0,0,0,0,15,,0.5494505494505495,0.5132512012870176,0.5427717960581363,0.7130650882474863,0.4770351278281103,,344,0.4725274725274725,0.4551966707576471,0.2222691957906979,0.0659340659340659,0.0645555854633027,0.0715338138724001,0.1312079290922063,,valid,TA,front,0.6
TA_front_0.8,all_samples,728,0,0,0,0,15,,0.5247252747252747,0.5000517200082243,0.5250457447447089,0.7419559553631448,0.3871620464970172,,368,0.5054945054945055,0.42565986996962,0.2211884285619651,0.0906593406593406,0.077755066742096,0.1004246809880586,0.2210810104232994,,valid,TA,front,0.8
TA_middle_0.2,all_samples,728,0,0,0,0,15,,0.5961538461538461,0.561979061007194,0.5909204569635699,0.6656533278942883,0.5606684560730252,,312,0.4285714285714285,0.4764289153162795,0.2272368830078876,0.0192307692307692,0.0158277257431264,0.0241220535192021,0.0475746008472914,,valid,TA,middle,0.2
TA_middle_0.4,all_samples,728,0,0,0,0,15,,0.5851648351648352,0.5540427386344181,0.582291796544493,0.6647424751938741,0.5442809141639264,,312,0.4285714285714285,0.4363753773757945,0.2115146794262753,0.0302197802197802,0.0237640481159022,0.0232112008187879,0.0639621427563902,,valid,TA,middle,0.4
TA_middle_0.6,all_samples,728,0,0,0,0,15,,0.5453296703296703,0.5195124775997716,0.5463560552444394,0.6854276464744165,0.4960847615688616,,329,0.4519230769230769,0.3983587500203968,0.2156133356770859,0.0700549450549451,0.0582943091505487,0.0438963720993302,0.112158295351455,,valid,TA,middle,0.6
TA_middle_0.8,all_samples,728,0,0,0,0,15,,0.4931318681318681,0.4695623082153097,0.4948559058368721,0.72172403710467,0.4078161304095847,,354,0.4862637362637362,0.3911414175780247,0.2261896789896127,0.1222527472527472,0.1082444785350106,0.0801927627295838,0.2004269265107319,,valid,TA,middle,0.8
