split,modality,rho,macro_f1,mae
test,A,0.2,0.6157337282909777,0.6847986277119277
test,A,0.4,0.6125878455129151,0.685362429337248
test,A,0.6,0.6075719879207656,0.6871175216489007
test,A,0.8,0.6036101552101895,0.6889921053401752
test,AV,0.2,0.6150541210725837,0.6854473051841592
test,AV,0.4,0.6128934792300357,0.6858786544614164
test,AV,0.6,0.6121866727650285,0.6882746571158572
test,AV,0.8,0.6092760577938879,0.6892269321496127
test,T,0.2,0.5895836750201879,0.7167591969460716
test,T,0.4,0.5671317765672717,0.7344472789136648
test,T,0.6,0.5276338995837956,0.7687359597922633
test,T,0.8,0.47695541746277215,0.8036568975241548
test,TA,0.2,0.5853290033209875,0.7178800177569546
test,TA,0.4,0.5679191659763969,0.7352623178694929
test,TA,0.6,0.5289981434145749,0.7697910591387752
test,TA,0.8,0.46539846189124656,0.8060820320093128
test,TV,0.2,0.5864749629575311,0.7170563361530949
test,TV,0.4,0.5658176548924279,0.7352689825737544
test,TV,0.6,0.526160545154815,0.7706129063000448
test,TV,0.8,0.47163750140949506,0.8060559804745809
test,V,0.2,0.6181548784790686,0.684779460388445
test,V,0.4,0.6149062106923703,0.6847170831372766
test,V,0.6,0.6148604936911047,0.6856663966990609
test,V,0.8,0.6138085534650471,0.6847828919739355
valid,A,0.2,0.5776593440757392,0.6412605049485497
valid,A,0.4,0.5787089822860407,0.6414736671719296
valid,A,0.6,0.5755275701345445,0.6436326736546993
valid,A,0.8,0.5770164116950524,0.6434697878578781
valid,AV,0.2,0.5755846559559127,0.6425419129594784
valid,AV,0.4,0.572775807950058,0.6429669029915074
valid,AV,0.6,0.5721092473045065,0.6459484140309458
valid,AV,0.8,0.5734996179567667,0.6484196148892193
valid,T,0.2,0.5559306704881969,0.6641723808995362
valid,T,0.4,0.5387290827536387,0.6704469855612842
valid,T,0.6,0.5074546348108006,0.6975407612211738
valid,T,0.8,0.4693651579783267,0.7230826784269637
valid,TA,0.2,0.5605826439759303,0.6650071874719954
valid,TA,0.4,0.5360426317243404,0.6719492486117948
valid,TA,0.6,0.5063642824425986,0.700369404651367
valid,TA,0.8,0.4753741859195062,0.7270430324403202
valid,TV,0.2,0.5531522191907535,0.6643944252310632
valid,TV,0.4,0.5382509203567903,0.6705378340274176
valid,TV,0.6,0.5072885833702611,0.6972829241799395
valid,TV,0.8,0.4667030701527222,0.7248276602167141
valid,V,0.2,0.5778561180601053,0.6422011709636979
valid,V,0.4,0.5736989550037354,0.642344358396881
valid,V,0.6,0.5746630983127755,0.6427309824731701
valid,V,0.8,0.5728883744100153,0.6438923933005537
