split,position,rho,macro_f1,mae
test,front,0.2,0.6100036909028425,0.6957178525859117
test,front,0.4,0.588552052982051,0.7110460900465335
test,front,0.6,0.5747344266779885,0.7288280090698563
test,front,0.8,0.5487628868370675,0.7488087597150969
test,middle,0.2,0.6037443542898652,0.699529141614951
test,middle,0.4,0.5915786306903367,0.7082900181529327
test,middle,0.6,0.5725922861952977,0.7241734315625532
test,middle,0.8,0.5487570069654976,0.7360797329311093
test,rear,0.2,0.5914171393779607,0.7081134778694639
test,rear,0.4,0.590497382763321,0.7111322649469605
test,rear,0.6,0.5613791583917559,0.7320978097150417
test,rear,0.8,0.522823179813754,0.7545099270896799
valid,front,0.2,0.5723273111357338,0.6537879549896821
valid,front,0.4,0.5617564613996061,0.6586971979236945
valid,front,0.6,0.5422652913021829,0.6777720578186116
valid,front,0.8,0.5361050606593898,0.6917523931988132
valid,middle,0.2,0.5668800733716077,0.6533952362886525
valid,middle,0.4,0.5658431054035131,0.6522021529979231
valid,middle,0.6,0.551141384804445,0.6629724968013682
valid,middle,0.8,0.5196469228890214,0.6820660052360656
valid,rear,0.2,0.5611754413659774,0.6526055999588257
valid,rear,0.4,0.5415036232341826,0.6589601474587896
valid,rear,0.6,0.5282970320811154,0.6730080254856681
valid,rear,0.8,0.5116714255077836,0.6815491851309458
