scenario,scope,n,no_new_damage,empty_content,original_modality_empty_T,original_modality_empty_A,original_modality_empty_V,duplicate_of,accuracy,macro_f1,weighted_f1,mae,pearson,pearson_reason,symbol_inconsistency_count,symbol_inconsistency_rate,neutral_abs_score_mean,predicted_neutral_abs_score_mean,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_pearson_reason,split
T_whole,all_samples,728,0,0,0,0,15,,0.4230769230769231,0.3392793867516023,0.3796736996739627,0.8602489304223807,0.1831042123724358,,475,0.6524725274725275,0.2849658938813145,0.1740827125807603,0.1923076923076923,0.238527399998718,0.2187176560472945,0.4251388445478808,,valid
A_whole,all_samples,728,0,0,0,0,15,,0.5975274725274725,0.5660611828545216,0.5934925147657931,0.6263948310778098,0.6111115800684485,,311,0.4271978021978022,0.3781220583882911,0.1516030107547218,0.0178571428571429,0.0117456038957988,-0.0151364432972763,-0.0028685231481317,,valid
V_whole,all_samples,728,15,0,0,0,15,,0.5934065934065934,0.5576136339724497,0.5861712462148041,0.650987574327251,0.5957748800334244,,304,0.4175824175824176,0.4919273444582991,0.2436376160906426,0.021978021978022,0.0201931527778707,0.0094562999521647,0.0124681768868922,,valid
TAV_middle_0.4,all_samples,728,0,4,0,0,15,,0.5796703296703297,0.5490676004705975,0.5771018904192938,0.6605442088894651,0.5460524319444686,,308,0.4230769230769231,0.427721559677435,0.2116151413216528,0.0357142857142857,0.0287391862797228,0.0190129345143789,0.062190624975848,,valid
TAV_middle_0.8,all_samples,728,0,5,0,0,15,,0.4903846153846153,0.4654522557748364,0.4922967181031696,0.7179576283156716,0.4070148769539669,,350,0.4807692307692308,0.3813296786620808,0.2304266787684845,0.125,0.1123545309754839,0.0764263539405853,0.2012281799663497,,valid
TA_staggered_0.4,all_samples,728,0,0,0,0,15,,0.5975274725274725,0.5547883511621028,0.5865048864572409,0.6762818148806448,0.5452507021609386,,321,0.4409340659340659,0.469809997452261,0.1902298904821875,0.0178571428571429,0.0230184355882175,0.0347505405055585,0.062992354759378,,valid
TV_staggered_0.4,all_samples,728,0,0,0,0,15,,0.5879120879120879,0.5449624928264969,0.5778121962241023,0.677262611392627,0.541804199874432,,319,0.4381868131868132,0.4711049445930099,0.1852089017082706,0.0274725274725274,0.0328442939238234,0.0357313370175408,0.0664388570458847,,valid
AV_staggered_0.4,all_samples,728,1,0,0,0,15,,0.6112637362637363,0.5753707464920405,0.6030719962703863,0.6451695644345319,0.6028397236066674,,311,0.4271978021978022,0.4617900602828266,0.2048517140673891,0.0041208791208791,0.0024360402582799,0.0036382900594457,0.0054033333136492,,valid
T_whole,all_samples,727,0,0,0,0,28,,0.4676753782668501,0.358136025205598,0.4274583856899444,0.9494782624763988,0.2236202551027931,,451,0.6203576341127923,0.2809434457493451,0.214540789835155,0.2063273727647868,0.2604822348170449,0.2654060156040081,0.3844814615799076,,test
A_whole,all_samples,727,0,0,0,0,28,,0.6588720770288858,0.6089890959426034,0.6525240753673812,0.6817648615837008,0.5978685133140409,,264,0.3631361760660248,0.3759186008069782,0.1530013633262435,0.015130674002751,0.0096291640800395,-0.00230738528869,0.0102332033686598,,test
V_whole,all_samples,727,28,0,0,0,28,,0.657496561210454,0.608995831389951,0.651992802727411,0.6861611145748366,0.5949676927726709,,268,0.3686382393397524,0.4379448117305159,0.2374954418078737,0.0165061898211829,0.009622428632692,0.0020888677024458,0.0131340239100298,,test
TAV_middle_0.4,all_samples,727,0,0,0,0,28,,0.6189821182943603,0.5709707208495386,0.6141218493103696,0.7318736204846751,0.5495784617318079,,286,0.3933975240715268,0.4122451927064906,0.1987691088273239,0.0550206327372765,0.0476475391731043,0.0478013736122843,0.0585232549508928,,test
TAV_middle_0.8,all_samples,727,0,2,0,0,28,,0.5268225584594223,0.4866203187709466,0.5329037090649861,0.7881064939234493,0.4226606830303441,,317,0.4360385144429161,0.3771058936791989,0.2143041264213813,0.1471801925722146,0.1319979412516963,0.1040342470510585,0.1854410336523566,,test
TA_staggered_0.4,all_samples,727,0,0,0,0,28,,0.6231086657496562,0.5611651528031883,0.6121110128823284,0.7389184408952473,0.5279079576184048,,284,0.390646492434663,0.4271166503570879,0.2001736532609031,0.0508940852819806,0.0574531072194546,0.0548461940228565,0.0801937590642959,,test
TV_staggered_0.4,all_samples,727,0,0,0,0,28,,0.6258596973865199,0.5633595698642467,0.6143896474271682,0.7379774273615946,0.5265854961751544,,285,0.3920220082530949,0.4266193638617597,0.2043521563602672,0.0481430536451169,0.0552586901583962,0.0539051804892037,0.0815162205075463,,test
AV_staggered_0.4,all_samples,727,0,0,0,0,28,,0.6657496561210454,0.6075427079091781,0.6549424793400938,0.6858694259765233,0.6055122122902238,,268,0.3686382393397524,0.4507574978213804,0.2131001338832203,0.0082530949105914,0.0110755521134648,0.0017971791041325,0.0025895043924769,,test
