sample_id,time_axis,structural_positions,observed_text_positions,observed_audio_positions,observed_visual_positions,compensated_text_positions,compensated_audio_positions,compensated_visual_positions
附件3_01,official_aligned_positions,6,6,6,6,0,0,0
附件3_02,official_aligned_positions,28,28,23,23,0,0,0
附件3_03,official_aligned_positions,32,32,27,23,0,0,0
附件3_04,official_aligned_positions,31,31,29,29,0,0,0
附件3_05,official_aligned_positions,12,12,12,12,0,0,0
附件3_06,official_aligned_positions,25,25,22,22,0,0,0
附件3_07,official_aligned_positions,21,21,18,18,0,0,0
附件3_08,official_aligned_positions,15,15,13,13,0,0,0
附件3_09,official_aligned_positions,14,14,12,12,0,0,0
附件3_10,official_aligned_positions,6,6,6,6,0,0,0
附件3_11,official_aligned_positions,14,14,10,10,0,0,0
附件3_12,official_aligned_positions,13,13,11,11,0,0,0
附件3_13,official_aligned_positions,19,19,17,17,0,0,0
附件3_14,official_aligned_positions,23,23,21,21,0,0,0
附件3_15,official_aligned_positions,27,27,24,24,0,0,0
附件3_16,official_aligned_positions,34,34,30,30,0,0,0
附件3_17,official_aligned_positions,22,22,14,14,0,0,0
附件3_18,official_aligned_positions,17,17,14,14,0,0,0
附件3_19,official_aligned_positions,24,24,17,17,0,0,0
附件3_20,official_aligned_positions,48,48,34,34,0,0,0
附件3_21,official_aligned_positions,9,9,6,6,0,0,0
附件3_22,official_aligned_positions,17,17,13,13,0,0,0
附件3_23,official_aligned_positions,13,13,9,9,0,0,0
附件3_24,official_aligned_positions,8,8,6,6,0,0,0
附件3_25,official_aligned_positions,9,9,7,7,0,0,0
附件3_26,official_aligned_positions,22,22,16,16,0,0,0
附件3_27,official_aligned_positions,21,21,13,13,0,0,0
附件3_28,official_aligned_positions,33,33,22,22,0,0,0
附件3_29,official_aligned_positions,18,18,10,10,0,0,0
附件3_30,official_aligned_positions,24,24,12,12,0,0,0
