selection,n_total,n_eligible,mean_G,median_G,q25_G,q75_G,positive_fraction,n_planned,n_complete,n_not_applicable,n_without_controls,ci_low,ci_high,bootstrap_unit,bootstrap_clusters,random_count_min,random_count_max,n_random_below_20,mean_target,mean_random,kind,modality,budget,grain,pct,no_compare
key.A.p10.point,728,724,0.002044691615818898,0.0016641397401690478,0.0002278332908948264,0.0033004720152045286,0.7900552486187845,728,728,0,4,0.0018537783322899785,0.002255670250809781,video_id cluster; sample-weighted mean,239,1,50,224,0.00401601382445415,0.001971322208635251,key,A,p10,point,10,4
key.A.p20.point,728,724,0.0017796292994496064,0.0010228710373242696,-0.0004079455385605495,0.0030310749635100356,0.6726519337016574,728,728,0,4,0.0014979800898026509,0.002054383627751748,video_id cluster; sample-weighted mean,239,1,50,86,0.005041040095341891,0.0032614107958922837,key,A,p20,point,20,4
key.A.p30.point,728,724,0.0009182839654552999,0.0003075408935546874,-0.0013134985913832984,0.0026234238346417756,0.5497237569060773,728,728,0,4,0.0006441676523743004,0.0011818112588964612,video_id cluster; sample-weighted mean,239,1,50,52,0.005522677987621746,0.004604394022166446,key,A,p30,point,30,4
key.J.p10.joint,728,671,0.08545480538705731,0.05776392893037863,0.02302336381321463,0.11555948939588334,0.9061102831594635,728,728,0,57,0.07731454498146328,0.09398381650742263,video_id cluster; sample-weighted mean,237,1,50,242,0.11257164897140967,0.027116843584352332,key,J,p10,joint,10,57
key.J.p20.joint,728,717,0.08558696333162623,0.053767148405313485,0.008622741500536605,0.13294907182455062,0.8131101813110181,728,728,0,11,0.07714512818964533,0.09427720009330975,video_id cluster; sample-weighted mean,239,1,50,90,0.13281563003662225,0.04722866670499604,key,J,p20,joint,20,11
key.J.p30.joint,728,723,0.07859366527496632,0.04908238247036935,0.003203151671914376,0.1237633581447737,0.7662517289073306,728,728,0,5,0.06936695436227963,0.08783894551301337,video_id cluster; sample-weighted mean,239,2,50,52,0.1438330054630295,0.06523934018806317,key,J,p30,joint,30,5
key.T.p10.point,728,724,0.09100649679503978,0.06138695171607347,0.021553747247044855,0.12804839484393596,0.8743093922651933,728,728,0,4,0.08198174435867975,0.1004516598103673,video_id cluster; sample-weighted mean,239,1,50,195,0.12186130073257467,0.030854803937534904,key,T,p10,point,10,4
key.T.p20.point,728,724,0.08506183220686646,0.05514175913795564,0.008368090282698788,0.12996916731479963,0.8052486187845304,728,728,0,4,0.075322299214939,0.09462832062651313,video_id cluster; sample-weighted mean,239,1,50,66,0.1351671331299149,0.050105300923048456,key,T,p20,point,20,4
key.T.p30.point,728,724,0.07811539041492428,0.049316124090303975,0.0017685716203413903,0.12218119315803053,0.7638121546961326,728,728,0,4,0.06863044194094015,0.08743732447173577,video_id cluster; sample-weighted mean,239,1,50,47,0.14639332065505403,0.06827793024012975,key,T,p30,point,30,4
key.V.p10.point,728,703,0.002222214255592895,0.0014302792648474374,0.00047991111648805213,0.002899530579646428,0.8762446657183499,728,713,15,10,0.001981903333194505,0.002483822578054096,video_id cluster; sample-weighted mean,233,1,50,274,0.0036431378841151976,0.001420923628522302,key,V,p10,point,10,25
key.V.p20.point,728,703,0.002662719808639669,0.0012579602996508278,0.00012325263271729145,0.0036271150720616177,0.7908961593172119,728,713,15,10,0.002316826963269827,0.0030468946548949196,video_id cluster; sample-weighted mean,233,1,50,146,0.005104369340218174,0.0024416495315785045,key,V,p20,point,20,25
key.V.p30.point,728,699,0.0019209454183242063,0.0006979579856852066,-0.0003873018113275369,0.0028724119067192085,0.6566523605150214,728,713,15,14,0.0016122222684802202,0.002262724841921908,video_id cluster; sample-weighted mean,231,1,50,82,0.005374345889417267,0.003453400471093062,key,V,p30,point,30,29
