selection,n_total,n_eligible,mean_G,median_G,q25_G,q75_G,positive_fraction,n_planned,n_complete,n_not_applicable,n_without_controls,ci_low,ci_high,bootstrap_unit,bootstrap_clusters,random_count_min,random_count_max,n_random_below_20,mean_target,mean_random,path,stratum
key.A.p20.point / original_correct,728,444,0.001678015977066544,0.000990191862607995,-0.000426387240489324,0.003022713988191551,0.6734234234234234,448,448,0,4,0.001384686501713905,0.0019798205150664875,video_id cluster; sample-weighted mean,202,1,50,51,0.004686826018275002,0.0030088100412084583,key.A.p20.point,original_correct
key.A.p20.point / original_wrong,728,280,0.0019407589963713206,0.0010776600462419016,-0.0003911213452617331,0.00322717239925017,0.6714285714285714,280,280,0,0,0.001567297365853212,0.0024182674694915697,video_id cluster; sample-weighted mean,153,1,50,35,0.005602722417547955,0.0036619634211766347,key.A.p20.point,original_wrong
key.A.p20.point / true_neutral,728,181,0.0021834278639282214,0.0010712488933845802,-0.00032834738492965726,0.0037358452876408896,0.6906077348066298,184,184,0,3,0.0016362902663002896,0.002787519249106023,video_id cluster; sample-weighted mean,117,1,50,33,0.005727819171472595,0.0035443913075443737,key.A.p20.point,true_neutral
key.J.p20.joint / original_correct,728,440,0.09443317370151236,0.06951033346898233,0.016022229275355737,0.13962710258240502,0.8409090909090909,448,448,0,8,0.08283849312514954,0.10601754892621436,video_id cluster; sample-weighted mean,202,1,50,51,0.14021584086515237,0.04578266716363999,key.J.p20.joint,original_correct
key.J.p20.joint / original_wrong,728,277,0.07153522122783597,0.03415159503618877,0.0025362604856491097,0.1151993442326784,0.7689530685920578,280,280,0,3,0.06001956259934125,0.08441705206485856,video_id cluster; sample-weighted mean,153,4,50,39,0.12106078251115934,0.049525561283323354,key.J.p20.joint,original_wrong
key.J.p20.joint / true_neutral,728,178,0.06102600174263492,0.034229575869491484,0.0023526236602143934,0.09028546159310888,0.7640449438202247,184,184,0,6,0.0490945031650482,0.0737225673194264,video_id cluster; sample-weighted mean,116,5,50,28,0.10218426457707412,0.041158262834439165,key.J.p20.joint,true_neutral
key.T.p20.point / original_correct,728,444,0.09355434772977318,0.06315618938455979,0.011942757227918176,0.14248419657194367,0.8243243243243243,448,448,0,4,0.08204928673440996,0.10628032049843028,video_id cluster; sample-weighted mean,202,1,50,40,0.1425868316261446,0.04903248389637142,key.T.p20.point,original_correct
key.T.p20.point / original_wrong,728,280,0.07159512902054292,0.03779909255875585,0.003038992316772543,0.11515720512097082,0.775,280,280,0,0,0.05866398118510662,0.0847203123533958,video_id cluster; sample-weighted mean,153,2,50,26,0.12340161122875065,0.05180648220820773,key.T.p20.point,original_wrong
key.T.p20.point / true_neutral,728,181,0.06489760583628772,0.03803216646227873,0.0034118841091791766,0.09142661417524023,0.7845303867403315,184,184,0,3,0.05137080525789051,0.07935744686457388,video_id cluster; sample-weighted mean,117,2,50,21,0.10873297656694184,0.04383537073065412,key.T.p20.point,true_neutral
key.T.p20.word / original_correct,728,441,0.0902313670995067,0.061003529104831006,0.011086328465801973,0.13526444276173907,0.8231292517006803,448,448,0,7,0.07751437215930158,0.1032715076394408,video_id cluster; sample-weighted mean,202,1,50,64,0.14160954708031798,0.05137817998081127,key.T.p20.word,original_correct
key.T.p20.word / original_wrong,728,278,0.06922319239262387,0.03794015917538975,-0.0029876048863919646,0.1261056796605569,0.7230215827338129,280,280,0,2,0.05552057487384043,0.08062251752348444,video_id cluster; sample-weighted mean,152,2,50,43,0.12627250865887407,0.05704931626625022,key.T.p20.word,original_wrong
key.T.p20.word / true_neutral,728,179,0.058890105716464664,0.0250007838010788,-0.00014266769945000743,0.09226174795930828,0.7486033519553073,184,184,0,5,0.0451848875108627,0.07221383366943988,video_id cluster; sample-weighted mean,115,2,50,31,0.10618667982542952,0.04729657410896487,key.T.p20.word,true_neutral
key.V.p20.point / original_correct,728,429,0.00262049527260642,0.001217392763743798,0.00018483450015385977,0.0034001884857813515,0.8111888111888111,448,438,10,9,0.0022199940130791,0.0030432621062645745,video_id cluster; sample-weighted mean,198,1,50,87,0.004900279312985954,0.002279784040379532,key.V.p20.point,original_correct
key.V.p20.point / original_wrong,728,274,0.002728830487319463,0.001361293805142243,2.0052647838989977e-05,0.003888783027262737,0.7591240875912408,280,275,5,1,0.0022211055043273227,0.0033247842070670323,video_id cluster; sample-weighted mean,150,1,50,59,0.005423911755118256,0.002695081267798793,key.V.p20.point,original_wrong
key.V.p20.point / true_neutral,728,175,0.003028045493355777,0.0013782878903051223,0.00010459877550601958,0.0039243131875991814,0.7828571428571428,184,178,6,3,0.002301278654827564,0.003866998579919203,video_id cluster; sample-weighted mean,114,2,50,42,0.005593095913174606,0.00256505041981883,key.V.p20.point,true_neutral
