path,condition,n,f1,mae,label
key.T.p20.point,Clean,724,0.5737689899773125,0.6442061613406471,T
key.T.p20.point,Key,724,0.5069207284485061,0.7167340579335912,T
key.T.p20.point,Random,724,0.5602585088847009,0.6567028280794756,T
key.T.p20.word,Clean,719,0.5739220773190791,0.643238137638059,T word
key.T.p20.word,Key,719,0.5019166524641091,0.7284918451844942,T word
key.T.p20.word,Random,719,0.5594363430122206,0.6557609286842095,T word
key.A.p20.point,Clean,724,0.5737689899773125,0.6442061613406471,A
key.A.p20.point,Key,724,0.5736378250036949,0.6432783477696865,A
key.A.p20.point,Random,724,0.5729386535811328,0.6446267722602979,A
key.V.p20.point,Clean,703,0.5703040161450644,0.6493864202683799,V
key.V.p20.point,Key,703,0.5687243853008562,0.6493983423123056,V
key.V.p20.point,Random,703,0.5696499669263914,0.6493374440702908,V
key.J.p20.joint,Clean,717,0.5735150001625087,0.6417877388990781,J
key.J.p20.joint,Key,717,0.50060706721382,0.7145625382513743,J
key.J.p20.joint,Random,717,0.5577949550560407,0.6546464844040197,J
