sample_id,selection,target,actual,segments,shortfall,modality
01,key.T.p20.point,4,4,3,0,T
01,key.A.p20.point,4,4,3,0,A
01,key.V.p20.point,4,4,2,0,V
01,key.J.p20.joint,13,12,3,1,J
02,key.T.p20.point,4,4,3,0,T
02,key.A.p20.point,4,4,3,0,A
02,key.V.p20.point,4,4,3,0,V
02,key.J.p20.joint,11,9,3,2,J
03,key.T.p20.point,7,7,3,0,T
03,key.A.p20.point,7,7,3,0,A
03,key.V.p20.point,7,7,3,0,V
03,key.J.p20.joint,20,18,3,2,J
04,key.T.p20.point,5,5,3,0,T
04,key.A.p20.point,5,5,3,0,A
04,key.V.p20.point,5,5,2,0,V
04,key.J.p20.joint,16,15,3,1,J
05,key.T.p20.point,3,3,3,0,T
05,key.A.p20.point,3,3,2,0,A
05,key.V.p20.point,3,3,1,0,V
05,key.J.p20.joint,9,9,3,0,J
06,key.T.p20.point,7,7,3,0,T
06,key.A.p20.point,7,7,3,0,A
06,key.V.p20.point,7,7,3,0,V
06,key.J.p20.joint,21,21,3,0,J
07,key.T.p20.point,10,10,3,0,T
07,key.A.p20.point,10,10,3,0,A
07,key.V.p20.point,10,10,3,0,V
07,key.J.p20.joint,29,27,3,2,J
08,key.T.p20.point,2,2,2,0,T
08,key.A.p20.point,2,2,2,0,A
08,key.V.p20.point,2,2,2,0,V
08,key.J.p20.joint,7,6,2,1,J
09,key.T.p20.point,4,4,3,0,T
09,key.A.p20.point,4,4,2,0,A
09,key.V.p20.point,4,4,3,0,V
09,key.J.p20.joint,11,9,3,2,J
10,key.T.p20.point,6,6,3,0,T
10,key.A.p20.point,6,6,3,0,A
10,key.V.p20.point,6,6,3,0,V
10,key.J.p20.joint,18,18,3,0,J
11,key.T.p20.point,3,3,3,0,T
11,key.A.p20.point,3,3,3,0,A
11,key.V.p20.point,3,3,3,0,V
11,key.J.p20.joint,8,6,2,2,J
12,key.T.p20.point,8,8,3,0,T
12,key.A.p20.point,8,8,2,0,A
12,key.V.p20.point,8,8,3,0,V
12,key.J.p20.joint,25,24,3,1,J
13,key.T.p20.point,6,6,3,0,T
13,key.A.p20.point,6,6,3,0,A
13,key.V.p20.point,0,0,0,0,V
13,key.J.p20.joint,12,12,3,0,J
14,key.T.p20.point,7,7,3,0,T
14,key.A.p20.point,7,7,2,0,A
14,key.V.p20.point,7,7,1,0,V
14,key.J.p20.joint,21,21,3,0,J
15,key.T.p20.point,4,4,3,0,T
15,key.A.p20.point,4,4,3,0,A
15,key.V.p20.point,4,4,2,0,V
15,key.J.p20.joint,13,12,3,1,J
16,key.T.p20.point,2,2,2,0,T
16,key.A.p20.point,2,2,2,0,A
16,key.V.p20.point,2,2,1,0,V
16,key.J.p20.joint,7,6,2,1,J
17,key.T.p20.point,5,5,3,0,T
17,key.A.p20.point,5,5,3,0,A
17,key.V.p20.point,5,5,3,0,V
17,key.J.p20.joint,14,12,2,2,J
18,key.T.p20.point,10,10,3,0,T
18,key.A.p20.point,10,10,3,0,A
18,key.V.p20.point,10,10,2,0,V
18,key.J.p20.joint,29,27,3,2,J
19,key.T.p20.point,8,8,3,0,T
19,key.A.p20.point,8,8,3,0,A
19,key.V.p20.point,8,8,2,0,V
19,key.J.p20.joint,23,21,3,2,J
20,key.T.p20.point,9,9,3,0,T
20,key.A.p20.point,9,9,3,0,A
20,key.V.p20.point,9,9,3,0,V
20,key.J.p20.joint,26,24,3,2,J
