sample_id,modality,n_positions,top20_share,positive_fraction,negative_fraction,median_D
-UacrmKiTn4$_$7,A,26,0.4080875145813091,0.4230769230769231,0.5769230769230769,0.00093762328227355
-UacrmKiTn4$_$7,T,26,0.6766892558209682,0.46153846153846156,0.5384615384615384,0.0044215396046638
-UacrmKiTn4$_$7,V,26,0.4292538274259829,0.46153846153846156,0.5384615384615384,0.00046285241842264997
-qDkUB0GgYY$_$5,A,48,0.43228372805456233,0.5416666666666666,0.4583333333333333,0.00044807667533555
-qDkUB0GgYY$_$5,T,48,0.5829713413966908,0.5,0.5,0.0137019356091817
-qDkUB0GgYY$_$5,V,48,0.42426528438939193,0.5416666666666666,0.4583333333333333,0.00059646554291245
0utROiKxejc$_$1,A,16,0.5263522528995324,0.5625,0.4375,0.00062258293231325
0utROiKxejc$_$1,T,16,0.7718843025065266,0.5625,0.4375,0.0068287551403044995
0utROiKxejc$_$1,V,16,0.5162818241053283,0.375,0.625,0.00024943798780435
0utROiKxejc$_$4,A,33,0.4618667584486165,0.696969696969697,0.30303030303030304,0.0004466275374094
0utROiKxejc$_$4,T,33,0.5163481775953548,0.48484848484848486,0.5151515151515151,0.0059227546056111
0utROiKxejc$_$4,V,33,0.43785853849161754,0.5454545454545454,0.45454545454545453,0.0001400013764699
0y022OlZ3W0$_$3,A,17,0.3488832407619049,0.47058823529411764,0.5294117647058824,0.001813439031442
0y022OlZ3W0$_$3,T,17,0.5049037271273198,0.7647058823529411,0.23529411764705882,0.0495377754171689
0y022OlZ3W0$_$3,V,17,0.40595967704748886,0.4117647058823529,0.5882352941176471,0.001122477153937
0y022OlZ3W0$_$5,A,22,0.41949772592446355,0.45454545454545453,0.5454545454545454,0.0017598817745844001
0y022OlZ3W0$_$5,T,22,0.508988977515835,0.5,0.5,0.017281157275040898
0y022OlZ3W0$_$5,V,22,0.353259092661048,0.5909090909090909,0.4090909090909091,0.00077912459770835
0y022OlZ3W0$_$8,A,13,0.3470160456695263,0.5384615384615384,0.46153846153846156,0.0026636098821957
0y022OlZ3W0$_$8,T,13,0.5647695407838373,0.5384615384615384,0.46153846153846156,0.016704315940539
0y022OlZ3W0$_$8,V,13,0.6087324043685186,0.3076923076923077,0.6923076923076923,0.0018899788459142
101787$_$1,A,16,0.45759481018566167,0.5625,0.4375,0.00191008051236465
101787$_$1,T,16,0.5856019176126561,0.625,0.375,0.02094656725724535
101787$_$1,V,16,0.36304250992876413,0.5,0.5,0.000882198413213
101787$_$11,A,32,0.501710224557512,0.4375,0.5625,0.00075484315554295
101787$_$11,T,32,0.6186389325815634,0.375,0.625,0.013263891140619901
101787$_$11,V,32,0.45570727444949294,0.625,0.375,0.0002822155753771
101787$_$13,A,19,0.3764427514984627,0.42105263157894735,0.5789473684210527,0.0012464721997578
101787$_$13,T,19,0.7200703999382204,0.5263157894736842,0.47368421052631576,0.0155182580153147
101787$_$13,V,19,0.3437176046178776,0.3157894736842105,0.6842105263157895,0.000286986430486
101787$_$5,A,17,0.4833185992146528,0.35294117647058826,0.6470588235294118,0.0004122654596964
101787$_$5,T,17,0.5997483125671312,0.47058823529411764,0.5294117647058824,0.0099051892757415
101787$_$5,V,10,0.42400655925032843,0.4,0.5,0.00019717713197065
101787$_$7,A,8,0.44424678119117195,0.625,0.375,0.00109354158242535
101787$_$7,T,8,0.8129588708293344,0.75,0.25,0.0218409697214762
101787$_$7,V,8,0.546014963446972,0.375,0.625,0.0003603547811508
101787$_$9,A,19,0.37902135812038995,0.47368421052631576,0.5263157894736842,0.0010546321670214
101787$_$9,T,19,0.5069353270193372,0.47368421052631576,0.5263157894736842,0.0061657559126615
101787$_$9,V,19,0.3324471402981389,0.42105263157894735,0.5789473684210527,0.000667272756497
102408$_$2,A,7,0.5077538532890268,0.42857142857142855,0.5714285714285714,0.0016869778434435
102408$_$2,T,7,0.597226812041604,0.42857142857142855,0.5714285714285714,0.0730137924353281
102408$_$2,V,7,0.3889647283282037,0.5714285714285714,0.42857142857142855,0.0008684943119684
102408$_$5,A,29,0.40767297517396617,0.3448275862068966,0.6551724137931034,0.0007813870906829
102408$_$5,T,29,0.5029729195980187,0.4827586206896552,0.5172413793103449,0.0287728657325108
102408$_$5,V,29,0.48464985184355,0.3103448275862069,0.6896551724137931,0.0003283570210138
102408$_$9,A,29,0.2962121567436691,0.4482758620689655,0.5172413793103449,0.0005433410406112
102408$_$9,T,29,0.6148750450897394,0.5172413793103449,0.4827586206896552,0.0097473462422688
102408$_$9,V,29,0.3886103898509318,0.5517241379310345,0.4482758620689655,0.0002651636799176
102858$_$0,A,3,0.5237570740957463,0.3333333333333333,0.6666666666666666,0.0094819068908691
102858$_$0,T,3,0.7352365456549725,1.0,0.0,0.0648984213670094
102858$_$0,V,3,0.5047293757905671,0.3333333333333333,0.6666666666666666,0.0005776385466257
102858$_$1,A,22,0.34023843241402507,0.45454545454545453,0.5454545454545454,0.00108026837309195
102858$_$1,T,22,0.5617619633916685,0.36363636363636365,0.6363636363636364,0.0114959279696146
102858$_$1,V,22,0.5029624018039597,0.5,0.5,0.0002286434173583
102858$_$10,A,10,0.3075119619095291,0.6,0.4,0.00211106240749355
102858$_$10,T,10,0.6188332027449085,0.5,0.5,0.06058465937773386
102858$_$10,V,10,0.30267228643436106,0.6,0.4,0.0004194478193918
102858$_$17,A,9,0.38706139390778777,0.6666666666666666,0.3333333333333333,0.0019166866938273
102858$_$17,T,9,0.44282410305951514,0.5555555555555556,0.4444444444444444,0.0517900797228018
102858$_$17,V,9,0.5198259919240519,0.2222222222222222,0.7777777777777778,0.0004544891417026
102858$_$19,A,12,0.46222224621807234,0.25,0.75,0.000857679794232
102858$_$19,T,12,0.5683837177671797,0.75,0.25,0.0216067928510407
102858$_$19,V,12,0.49223072583418737,0.4166666666666667,0.5833333333333334,0.0018941297506292
102858$_$20,A,24,0.35448214331039973,0.6666666666666666,0.3333333333333333,0.0017366943260033
102858$_$20,T,24,0.4709530142706068,0.625,0.375,0.02390001465876895
102858$_$20,V,24,0.38095310479465117,0.375,0.625,0.0002737355728944
102858$_$21,A,27,0.3817387007861097,0.4074074074074074,0.5925925925925926,0.0010078152020772
102858$_$21,T,27,0.6081804241408283,0.5925925925925926,0.4074074074074074,0.0111123124758402
102858$_$21,V,27,0.3618959050611668,0.4074074074074074,0.5925925925925926,0.0005920231342315
102858$_$4,A,48,0.3919241271725361,0.5,0.5,0.00042606890201565
102858$_$4,T,48,0.47692464861261824,0.5,0.5,0.0105626098811626
102858$_$4,V,48,0.4430692244530392,0.6875,0.3125,0.0003584238390127
102858$_$6,A,26,0.47173023310992374,0.5384615384615384,0.46153846153846156,0.0008315990368525
102858$_$6,T,26,0.7208650071256134,0.5384615384615384,0.46153846153846156,0.008967712521553
102858$_$6,V,26,0.4834292215446272,0.2692307692307692,0.7307692307692307,0.00022804737091055
112433$_$10,A,1,1.0,1.0,0.0,0.0288690645441723
112433$_$10,T,1,1.0,1.0,0.0,0.1810542692740758
112433$_$10,V,1,1.0,1.0,0.0,0.0578990752498308
112433$_$3,A,32,0.35117725954313633,0.5,0.5,0.000817855199178
112433$_$3,T,32,0.5874744624020259,0.46875,0.53125,0.009520093599955148
112433$_$3,V,32,0.44176741854751256,0.40625,0.59375,0.00022233029206585
112433$_$6,A,24,0.43535529238075915,0.4166666666666667,0.5833333333333334,0.0005034307638803999
112433$_$6,T,24,0.7182015231022392,0.7083333333333334,0.2916666666666667,0.0065349141756693
112433$_$6,V,24,0.4383994137732016,0.375,0.625,9.961922963459588e-05
112433$_$7,A,9,0.4550468317374177,0.3333333333333333,0.6666666666666666,0.0009784350792566
