sample_id,substitutions,deletions,insertions,reference_words,wer
-3g5yACwYnA$_$13,1,1,4,15,0.4
-3g5yACwYnA$_$2,1,0,8,14,0.6428571428571429
-3g5yACwYnA$_$3,3,0,6,29,0.3103448275862069
-3g5yACwYnA$_$9,2,0,5,23,0.30434782608695654
-3nNcZdcdvU$_$5,2,0,1,18,0.16666666666666666
-571d8cVauQ$_$0,4,1,0,12,0.4166666666666667
-571d8cVauQ$_$5,2,0,3,43,0.11627906976744186
-6rXp3zJ3kc$_$8,2,0,2,34,0.11764705882352941
-9y-fZ3swSY$_$0,6,1,4,22,0.5
-9y-fZ3swSY$_$4,2,0,0,9,0.2222222222222222
-9y-fZ3swSY$_$8,0,0,1,12,0.08333333333333333
-AUZQgSxyPQ$_$2,17,0,1,41,0.43902439024390244
-HeZS2-Prhc$_$2,4,0,6,16,0.625
-HwX2H8Z4hY$_$2,1,2,0,7,0.42857142857142855
-HwX2H8Z4hY$_$5,2,0,0,9,0.2222222222222222
-HwX2H8Z4hY$_$6,1,1,0,7,0.2857142857142857
-HwX2H8Z4hY$_$9,12,0,6,22,0.8181818181818182
-I_e4mIh0yE$_$1,0,0,2,18,0.1111111111111111
-I_e4mIh0yE$_$3,4,0,5,22,0.4090909090909091
-MeTTeMJBNc$_$0,1,0,1,21,0.09523809523809523
-MeTTeMJBNc$_$13,0,0,1,14,0.07142857142857142
-MeTTeMJBNc$_$7,1,0,0,31,0.03225806451612903
-NFrJFQijFE$_$1,0,16,0,16,1.0
-NFrJFQijFE$_$2,9,9,0,18,1.0
-RfYyzHpjk4$_$11,4,0,2,17,0.35294117647058826
-RfYyzHpjk4$_$2,6,3,1,25,0.4
-RfYyzHpjk4$_$8,2,1,0,17,0.17647058823529413
-THoVjtIkeU$_$12,2,0,2,39,0.10256410256410256
-THoVjtIkeU$_$2,2,0,0,10,0.2
-THoVjtIkeU$_$6,1,2,1,30,0.13333333333333333
-UUCSKoHeMA$_$0,3,0,3,18,0.3333333333333333
-UacrmKiTn4$_$10,0,0,2,18,0.1111111111111111
-UacrmKiTn4$_$4,2,0,3,14,0.35714285714285715
-UuX1xuaiiE$_$0,1,1,0,9,0.2222222222222222
-UuX1xuaiiE$_$1,5,0,3,27,0.2962962962962963
-UuX1xuaiiE$_$3,2,0,2,9,0.4444444444444444
-UuX1xuaiiE$_$6,6,2,2,22,0.45454545454545453
-a55Q6RWvTA$_$3,7,2,1,65,0.15384615384615385
-aNfi7CP8vM$_$7,1,0,6,18,0.3888888888888889
-aqamKhZ1Ec$_$0,3,0,12,14,1.0714285714285714
-dxfTGcXJoc$_$0,12,0,4,45,0.35555555555555557
-dxfTGcXJoc$_$1,3,0,0,36,0.08333333333333333
-dxfTGcXJoc$_$2,3,0,0,35,0.08571428571428572
-dxfTGcXJoc$_$6,2,1,0,28,0.10714285714285714
-egA8-b7-3M$_$1,4,4,4,26,0.46153846153846156
-egA8-b7-3M$_$13,1,0,0,11,0.09090909090909091
-egA8-b7-3M$_$16,0,0,0,11,0.0
-egA8-b7-3M$_$17,0,0,0,16,0.0
-egA8-b7-3M$_$18,0,0,0,22,0.0
-egA8-b7-3M$_$20,0,0,0,20,0.0
-egA8-b7-3M$_$26,3,0,0,15,0.2
-egA8-b7-3M$_$6,1,0,0,12,0.08333333333333333
-egA8-b7-3M$_$9,0,0,0,10,0.0
-hnBHBN8p5A$_$6,11,1,0,13,0.9230769230769231
-hnBHBN8p5A$_$7,13,0,3,13,1.2307692307692308
-iRBcNs9oI8$_$3,8,0,6,8,1.75
-iRBcNs9oI8$_$6,5,0,4,5,1.8
-iRBcNs9oI8$_$7,9,0,2,9,1.2222222222222223
-iRBcNs9oI8$_$8,21,0,1,21,1.0476190476190477
-iRBcNs9oI8$_$9,3,2,0,5,1.0
-lzEya4AM_4$_$5,1,1,0,19,0.10526315789473684
-lzEya4AM_4$_$6,1,0,0,43,0.023255813953488372
-mJ2ud6oKI8$_$1,0,13,0,13,1.0
-mJ2ud6oKI8$_$2,0,11,0,11,1.0
-mJ2ud6oKI8$_$6,5,0,2,5,1.4
-mJ2ud6oKI8$_$8,11,0,3,11,1.2727272727272727
-mJ2ud6oKI8$_$9,21,0,3,22,1.0909090909090908
