sample_id,video_id,selection,group_cost,point_cost,group_D,point_D
-UacrmKiTn4$_$7,-UacrmKiTn4,key.T.p20.block3,5,5,0.042936633030573525,0.05805520713329315
-UacrmKiTn4$_$7,-UacrmKiTn4,key.T.p20.word,5,5,0.06895908713340759,0.05805520713329315
-UacrmKiTn4$_$7,-UacrmKiTn4,key.A.p20.block3,5,5,0.0037510941425959268,0.006120776136716207
-UacrmKiTn4$_$7,-UacrmKiTn4,key.V.p20.block3,5,5,0.003269339601198832,0.0029698510964711504
-qDkUB0GgYY$_$5,-qDkUB0GgYY,key.T.p20.block3,10,10,0.02717936287323634,0.08128185073534648
-qDkUB0GgYY$_$5,-qDkUB0GgYY,key.T.p20.word,10,10,0.08884865542252858,0.08128185073534648
-qDkUB0GgYY$_$5,-qDkUB0GgYY,key.A.p20.block3,10,10,0.005085460841655731,0.007312544931968054
-qDkUB0GgYY$_$5,-qDkUB0GgYY,key.V.p20.block3,10,10,0.004153162240982056,0.0004468485713005066
0utROiKxejc$_$1,0utROiKxejc,key.T.p20.block3,3,3,0.13994397471348444,0.18313971906900406
0utROiKxejc$_$1,0utROiKxejc,key.T.p20.word,3,3,0.18313971906900406,0.18313971906900406
0utROiKxejc$_$1,0utROiKxejc,key.A.p20.block3,3,3,0.003537222743034363,0.00138150155544281
0utROiKxejc$_$1,0utROiKxejc,key.V.p20.block3,3,3,0.0017520586649576821,0.001194879412651062
0utROiKxejc$_$4,0utROiKxejc,key.T.p20.block3,7,7,0.2869805966814359,0.4071199794610341
0utROiKxejc$_$4,0utROiKxejc,key.T.p20.word,7,7,0.32653824736674625,0.4071199794610341
0utROiKxejc$_$4,0utROiKxejc,key.A.p20.block3,7,7,0.0008016526699066162,0.004883716503779093
0utROiKxejc$_$4,0utROiKxejc,key.V.p20.block3,7,7,0.00074043869972229,0.0013886491457621257
0y022OlZ3W0$_$3,0y022OlZ3W0,key.T.p20.block3,3,3,0.31817930067578953,0.05686940004428228
0y022OlZ3W0$_$3,0y022OlZ3W0,key.T.p20.word,3,3,0.06568624824285507,0.05686940004428228
0y022OlZ3W0$_$3,0y022OlZ3W0,key.A.p20.block3,3,3,0.008119568228721619,0.004418315986792247
0y022OlZ3W0$_$3,0y022OlZ3W0,key.V.p20.block3,3,3,0.006148961683114369,0.00999841590722402
0y022OlZ3W0$_$5,0y022OlZ3W0,key.T.p20.block3,4,4,0.020311057567596436,0.054861828684806824
0y022OlZ3W0$_$5,0y022OlZ3W0,key.T.p20.word,4,4,0.07135008772214253,0.054861828684806824
0y022OlZ3W0$_$5,0y022OlZ3W0,key.A.p20.block3,4,4,0.006075998147328694,0.004001215100288391
0y022OlZ3W0$_$5,0y022OlZ3W0,key.V.p20.block3,4,4,0.0016676535209019978,0.0029904494682947793
0y022OlZ3W0$_$8,0y022OlZ3W0,key.T.p20.block3,3,3,0.1515686276058356,0.08692961434523265
0y022OlZ3W0$_$8,0y022OlZ3W0,key.T.p20.word,3,3,0.07690521826346715,0.08692961434523265
0y022OlZ3W0$_$8,0y022OlZ3W0,key.A.p20.block3,3,3,0.009482083221276602,0.004997765024503072
0y022OlZ3W0$_$8,0y022OlZ3W0,key.V.p20.block3,3,3,0.00942969818909963,0.027035847306251526
101787$_$11,101787,key.T.p20.block3,6,6,0.1760657069583734,0.24154039580995837
101787$_$11,101787,key.T.p20.word,6,6,0.24084155416737,0.24154039580995837
101787$_$11,101787,key.A.p20.block3,6,6,0.0014389455318450928,0.004964669545491536
101787$_$11,101787,key.V.p20.block3,6,6,0.0022102296352386475,0.0023492972056070966
101787$_$13,101787,key.T.p20.block3,4,4,0.3818662166595459,0.37278621767958003
101787$_$13,101787,key.T.p20.word,4,4,0.37278621767958003,0.37278621767958003
101787$_$13,101787,key.A.p20.block3,4,4,0.00923830270767212,0.007514139016469319
101787$_$13,101787,key.V.p20.block3,4,4,0.0019515752792358398,0.0025324424107869463
101787$_$1,101787,key.T.p20.block3,3,3,0.13095278292894363,0.16927454310158888
101787$_$1,101787,key.T.p20.word,3,3,0.16927454310158888,0.16927454310158888
101787$_$1,101787,key.A.p20.block3,3,3,0.00711415708065033,0.0052910397450129185
101787$_$1,101787,key.V.p20.block3,3,3,0.004774212837219238,0.0021090308825174966
101787$_$5,101787,key.T.p20.block3,3,3,0.06778865059216817,0.37016300360361737
101787$_$5,101787,key.T.p20.word,3,3,0.4062443946798643,0.37016300360361737
101787$_$5,101787,key.A.p20.block3,3,3,0.002710878849029541,0.00039577484130859375
101787$_$5,101787,key.V.p20.block3,2,2,0.0012755393981933594,0.0012755393981933594
101787$_$7,101787,key.T.p20.block3,2,2,0.02683730920155843,0.4322924787799517
101787$_$7,101787,key.T.p20.word,2,2,0.4322924787799517,0.4322924787799517
101787$_$7,101787,key.A.p20.block3,2,2,0.0047143300374348955,0.004002620776494345
101787$_$7,101787,key.V.p20.block3,2,2,0.001403878132502238,0.00017478068669637045
101787$_$9,101787,key.T.p20.block3,4,4,0.01616401846210162,0.09033570066094398
101787$_$9,101787,key.T.p20.word,4,4,0.09368970369299252,0.09033570066094398
101787$_$9,101787,key.A.p20.block3,4,4,0.005091419443488121,0.006027219196160634
101787$_$9,101787,key.V.p20.block3,4,4,0.0004872505863507589,0.0036023010810216265
102408$_$2,102408,key.T.p20.block3,0,1,0.0,0.28681228558222455
102408$_$2,102408,key.T.p20.word,1,1,0.28681228558222455,0.28681228558222455
102408$_$2,102408,key.A.p20.block3,0,1,0.0,0.003645949065685272
102408$_$2,102408,key.V.p20.block3,0,1,0.0,0.0014780834317207336
102408$_$5,102408,key.T.p20.block3,6,6,0.243769071996212,0.23928966869910556
102408$_$5,102408,key.T.p20.word,6,6,0.33651343050102395,0.23928966869910556
102408$_$5,102408,key.A.p20.block3,6,6,0.0028646265467007956,0.006540765364964803
102408$_$5,102408,key.V.p20.block3,6,6,0.006004102528095245,0.0037777399023373923
102408$_$9,102408,key.T.p20.block3,6,6,0.03272247066100439,0.015560418367385864
102408$_$9,102408,key.T.p20.word,6,6,0.21149643013874692,0.015560418367385864
102408$_$9,102408,key.A.p20.block3,6,6,0.004322064419587453,0.0038125962018966675
102408$_$9,102408,key.V.p20.block3,6,6,0.00032079219818115234,0.0003407398859659831
102858$_$20,102858,key.T.p20.block3,5,5,0.14971658447757363,0.03431920831402143
102858$_$20,102858,key.T.p20.word,5,5,0.25330970250070095,0.03431920831402143
102858$_$20,102858,key.A.p20.block3,5,5,0.017447999368111294,0.004860057185093562
102858$_$20,102858,key.V.p20.block3,5,5,0.0008264270921548207,0.00178586815794309
102858$_$21,102858,key.T.p20.block3,5,5,0.047440290451049805,0.32718831300735474
102858$_$21,102858,key.T.p20.word,5,5,0.37955768716832,0.32718831300735474
102858$_$21,102858,key.A.p20.block3,5,5,0.008117626110712687,0.0070882439613342285
102858$_$21,102858,key.V.p20.block3,5,5,0.0014399091402689617,0.0010837316513061523
102858$_$1,102858,key.T.p20.block3,4,4,0.01115961124499639,0.042071265478928886
102858$_$1,102858,key.T.p20.word,4,4,0.007498209675153097,0.042071265478928886
102858$_$1,102858,key.A.p20.block3,4,4,0.0014277088145414987,0.0026507402459780374
102858$_$1,102858,key.V.p20.block3,4,4,0.00022308528423309326,0.00022308528423309326
102858$_$0,102858,key.T.p20.block3,1,1,0.06489842136700948,0.2577596604824066
102858$_$0,102858,key.T.p20.word,1,1,0.06489842136700948,0.2577596604824066
102858$_$0,102858,key.A.p20.block3,1,1,0.020855809251467385,0.020855809251467385
102858$_$0,102858,key.V.p20.block3,1,1,0.0011773407459259033,0.0011773407459259033
102858$_$4,102858,key.T.p20.block3,10,10,0.053270384669303894,0.0542053480943044
102858$_$4,102858,key.T.p20.word,10,10,0.013116300106048584,0.0542053480943044
102858$_$4,102858,key.A.p20.block3,10,10,0.003689303994178772,0.004745692014694214
102858$_$4,102858,key.V.p20.block3,10,10,0.012477949261665344,0.014054889480272928
102858$_$6,102858,key.T.p20.block3,5,5,0.31831370169917744,0.3493132069706917
102858$_$6,102858,key.T.p20.word,5,5,0.36242002124587697,0.3493132069706917
102858$_$6,102858,key.A.p20.block3,5,5,0.004478057225545247,0.007026294867197672
102858$_$6,102858,key.V.p20.block3,5,5,0.0017336408297220867,0.003434548775355021
102858$_$10,102858,key.T.p20.block3,2,2,0.4606043125192324,0.5293049231792489
102858$_$10,102858,key.T.p20.word,2,2,0.4606043125192324,0.5293049231792489
102858$_$10,102858,key.A.p20.block3,2,2,0.004792739947636923,0.006978799899419149
102858$_$10,102858,key.V.p20.block3,2,2,0.001544952392578125,0.0015502572059631348
102858$_$17,102858,key.T.p20.block3,2,2,0.05778810288757086,0.04988125835855802
102858$_$17,102858,key.T.p20.word,2,2,0.04988125835855802,0.04988125835855802
102858$_$17,102858,key.A.p20.block3,2,2,0.0037646082540353136,0.001729554186264674
102858$_$17,102858,key.V.p20.block3,2,2,0.0032827742397785187,0.0022525936365127563
102858$_$19,102858,key.T.p20.block3,2,2,0.017684866363803547,0.02837144521375497
102858$_$19,102858,key.T.p20.word,2,2,0.02837144521375497,0.02837144521375497
102858$_$19,102858,key.A.p20.block3,2,2,0.0011267196387052536,0.005255417277415594
102858$_$19,102858,key.V.p20.block3,2,2,0.007843230540553728,0.013523304214080175
112433$_$10,112433,key.T.p20.block3,1,1,0.18105426927407584,0.18105426927407584
112433$_$10,112433,key.T.p20.word,1,1,0.18105426927407584,0.18105426927407584
112433$_$10,112433,key.A.p20.block3,1,1,0.02886906454417234,0.02886906454417234
112433$_$10,112433,key.V.p20.block3,1,1,0.057899075249830886,0.057899075249830886
112433$_$3,112433,key.T.p20.block3,6,6,0.16678192714850107,0.25657378633817035
112433$_$3,112433,key.T.p20.word,6,6,0.25657378633817035,0.25657378633817035
112433$_$3,112433,key.A.p20.block3,6,6,0.00906430681546529,0.01081952452659607
112433$_$3,112433,key.V.p20.block3,6,6,0.0007198850313822428,0.0015098253885904949
112433$_$7,112433,key.T.p20.block3,2,2,0.07996053000291188,0.1620677262544632
112433$_$7,112433,key.T.p20.word,2,2,0.34034988035758335,0.1620677262544632
112433$_$7,112433,key.A.p20.block3,2,2,0.0021789123614629107,0.006672576069831848
112433$_$7,112433,key.V.p20.block3,2,2,0.0005395660797754923,0.0023286938667297363
112433$_$6,112433,key.T.p20.block3,5,5,0.2788133919239044,0.335047110915184
112433$_$6,112433,key.T.p20.word,5,5,0.6230017772565285,0.335047110915184
112433$_$6,112433,key.A.p20.block3,5,5,0.004942586024602255,0.00047924121220906574
112433$_$6,112433,key.V.p20.block3,5,5,0.0012122193972269693,0.0006231764952341716
117tQqLjza4$_$6,117tQqLjza4,key.T.p20.block3,3,3,0.06173748771349589,0.1325391431649526
117tQqLjza4$_$6,117tQqLjza4,key.T.p20.word,3,3,0.06899215032656987,0.1325391431649526
117tQqLjza4$_$6,117tQqLjza4,key.A.p20.block3,3,3,0.0009153236945470173,0.0059573302666346235
117tQqLjza4$_$6,117tQqLjza4,key.V.p20.block3,3,3,0.007022733489672342,0.005915234486262004
11j7EfglCAs$_$2,11j7EfglCAs,key.T.p20.block3,5,5,0.04828742239624262,0.021891885437071323
11j7EfglCAs$_$2,11j7EfglCAs,key.T.p20.word,5,5,0.010148507232467333,0.021891885437071323
11j7EfglCAs$_$2,11j7EfglCAs,key.A.p20.block3,5,5,0.007186834079523881,0.006485209179421266
11j7EfglCAs$_$2,11j7EfglCAs,key.V.p20.block3,3,3,0.0033959712212284407,0.005556719067196052
121128$_$10,121128,key.T.p20.block3,3,3,0.25611602887511253,0.2661898396909237
121128$_$10,121128,key.T.p20.word,3,3,0.2661898396909237,0.2661898396909237
121128$_$10,121128,key.A.p20.block3,3,3,0.0027201982835928598,0.006189564863840739
121128$_$10,121128,key.V.p20.block3,3,3,0.0028488623599211373,0.0057906874765952425
121128$_$1,121128,key.T.p20.block3,6,6,0.09667911628882091,0.04061436404784521
121128$_$1,121128,key.T.p20.word,6,6,0.04061436404784521,0.04061436404784521
121128$_$1,121128,key.A.p20.block3,6,6,0.017429068684577942,0.01790931075811386
121128$_$1,121128,key.V.p20.block3,6,6,0.009137116372585297,0.011437535285949707
121128$_$0,121128,key.T.p20.block3,2,2,0.02650399630268415,0.058089323341846466
